y_tile,x_tile
28305,52560
28305,52561
28305,52562
28305,52563
28305,52564
28306,52559
28306,52560
28306,52561
28306,52562
28306,52563
28306,52564
28307,52551
28307,52552
28307,52553
28307,52554
28307,52558
28307,52559
28307,52560
28307,52561
28307,52562
28307,52563
28307,52564
28308,52551
28308,52552
28308,52553
28308,52554
28308,52555
28308,52556
28308,52557
28308,52558
28308,52559
28308,52560
28308,52561
28308,52562
28308,52563
28308,52564
28308,52565
28309,52551
28309,52552
28309,52553
28309,52554
28309,52555
28309,52556
28309,52557
28309,52558
28309,52559
28309,52560
28309,52561
28309,52562
28309,52563
28309,52564
28309,52565
28309,52566
28309,52567
28309,52568
28309,52569
28309,52570
28310,52548
28310,52549
28310,52550
28310,52551
28310,52552
28310,52553
28310,52554
28310,52555
28310,52556
28310,52557
28310,52558
28310,52559
28310,52560
28310,52561
28310,52562
28310,52563
28310,52564
28310,52565
28310,52566
28310,52567
28310,52568
28310,52569
28310,52570
28311,52543
28311,52544
28311,52545
28311,52546
28311,52547
28311,52548
28311,52549
28311,52550
28311,52551
28311,52552
28311,52553
28311,52554
28311,52555
28311,52556
28311,52557
28311,52558
28311,52559
28311,52560
28311,52561
28311,52562
28311,52563
28311,52564
28311,52565
28311,52566
28311,52567
28311,52568
28311,52569
28311,52570
28311,52571
28312,52542
28312,52543
28312,52544
28312,52545
28312,52546
28312,52547
28312,52548
28312,52549
28312,52550
28312,52551
28312,52552
28312,52553
28312,52554
28312,52555
28312,52556
28312,52557
28312,52558
28312,52559
28312,52560
28312,52561
28312,52562
28312,52563
28312,52564
28312,52565
28312,52566
28312,52567
28312,52568
28312,52569
28312,52570
28312,52571
28313,52542
28313,52543
28313,52544
28313,52545
28313,52546
28313,52547
28313,52548
28313,52549
28313,52550
28313,52551
28313,52552
28313,52553
28313,52554
28313,52555
28313,52556
28313,52557
28313,52558
28313,52559
28313,52560
28313,52561
28313,52562
28313,52563
28313,52564
28313,52565
28313,52566
28313,52567
28313,52568
28313,52569
28313,52570
28313,52571
28314,52539
28314,52540
28314,52541
28314,52542
28314,52543
28314,52544
28314,52545
28314,52546
28314,52547
28314,52548
28314,52549
28314,52550
28314,52551
28314,52552
28314,52553
28314,52554
28314,52555
28314,52556
28314,52557
28314,52558
28314,52559
28314,52560
28314,52561
28314,52562
28314,52563
