y_tile,x_tile
25778,51548
25779,51548
25779,51549
25780,51547
25780,51548
25780,51549
25781,51546
25781,51547
25781,51548
25781,51549
25781,51550
25782,51545
25782,51546
25782,51547
25782,51548
25782,51549
25782,51550
25783,51544
25783,51545
25783,51546
25783,51547
25783,51548
25783,51549
25783,51550
25783,51551
25784,51542
25784,51543
25784,51544
25784,51545
25784,51546
25784,51547
25784,51548
25784,51549
25784,51550
25784,51551
25784,51552
25785,51541
25785,51542
25785,51543
25785,51544
25785,51545
25785,51546
25785,51547
25785,51548
25785,51549
25785,51550
25785,51551
25785,51552
25786,51539
25786,51540
25786,51541
25786,51542
25786,51543
25786,51544
25786,51545
25786,51546
25786,51547
25786,51548
25786,51549
25786,51550
25786,51551
25786,51552
25786,51553
25787,51537
25787,51538
25787,51539
25787,51540
25787,51541
25787,51542
25787,51543
25787,51544
25787,51545
25787,51546
25787,51547
25787,51548
25787,51549
25787,51550
25787,51551
25787,51552
25787,51553
25788,51535
25788,51536
25788,51537
25788,51538
25788,51539
25788,51540
25788,51541
25788,51542
25788,51543
25788,51544
25788,51545
25788,51546
25788,51547
25788,51548
25788,51549
25788,51550
25788,51551
25788,51552
25788,51553
25788,51554
25789,51535
25789,51536
25789,51537
25789,51538
25789,51539
25789,51540
25789,51541
25789,51542
25789,51543
25789,51544
25789,51545
25789,51546
25789,51547
25789,51548
25789,51549
25789,51550
25789,51551
25789,51552
25789,51553
25789,51554
25789,51555
25790,51535
25790,51536
25790,51537
25790,51538
25790,51539
25790,51540
25790,51541
25790,51542
25790,51543
25790,51544
25790,51545
25790,51546
25790,51547
25790,51548
25790,51549
25790,51550
25790,51551
25790,51552
25790,51553
25790,51554
25790,51555
25791,51535
25791,51536
25791,51537
25791,51538
25791,51539
25791,51540
25791,51541
25791,51542
25791,51543
25791,51544
25791,51545
25791,51546
25791,51547
25791,51548
25791,51549
25791,51550
25791,51551
25791,51552
25791,51553
25791,51554
25791,51555
25791,51556
25792,51535
25792,51536
25792,51537
25792,51538
25792,51539
25792,51540
25792,51541
25792,51542
25792,51543
25792,51544
25792,51545
25792,51546
25792,51547
25792,51548
25792,51549
25792,51550
25792,51551
25792,51552
25792,51553
25792,51554
25792,51555
25792,51556
25792,51557
25793,51535
25793,51536
25793,51537
25793,51538
25793,51539
25793,51540
25793,51541
25793,51542
25793,51543
25793,51544
25793,51545
25793,51546
25793,51547
25793,51548
25793,51549
25793,51550
25793,51551
25793,51552
25793,51553
25793,51554
25793,51555
25793,51556
25793,51557
25793,51558
25794,51535
25794,51536
25794,51537
25794,51538
25794,51539
25794,51540
25794,51541
25794,51542
25794,51543
25794,51544
25794,51545
25794,51546
25794,51547
25794,51548
25794,51549
25794,51550
25794,51551
25794,51552
25794,51553
25794,51554
25794,51555
25794,51556
25794,51557
25794,51558
25795,51535
25795,51536
25795,51537
25795,51538
25795,51539
25795,51540
25795,51541
25795,51542
25795,51543
25795,51544
25795,51545
25795,51546
25795,51547
25795,51548
25795,51549
25795,51550
25795,51551
25795,51552
25795,51553
25795,51554
25795,51555
25795,51556
25795,51557
25795,51558
25795,51559
25796,51536
25796,51537
25796,51538
25796,51539
25796,51540
25796,51541
25796,51542
25796,51543
25796,51544
25796,51545
25796,51546
25796,51547
25796,51548
25796,51549
25796,51550
25796,51551
25796,51552
25796,51553
25796,51554
25796,51555
25796,51556
25796,51557
25796,51558
25796,51559
25796,51560
25797,51536
25797,51537
25797,51538
25797,51539
25797,51540
25797,51541
25797,51542
25797,51543
25797,51544
25797,51545
25797,51546
25797,51547
25797,51548
25797,51549
25797,51550
25797,51551
25797,51552
25797,51553
25797,51554
25797,51555
25797,51556
25797,51557
25797,51558
25797,51559
25797,51560
25797,51561
25798,51536
25798,51537
25798,51538
25798,51539
25798,51540
25798,51541
25798,51542
25798,51543
25798,51544
25798,51545
25798,51546
25798,51547
25798,51548
25798,51549
25798,51550
25798,51551
25798,51552
25798,51553
25798,51554
25798,51555
25798,51556
25798,51557
25798,51558
25798,51559
25798,51560
25798,51561
25798,51562
25799,51536
25799,51537
25799,51538
25799,51539
25799,51540
25799,51541
25799,51542
25799,51543
25799,51544
25799,51545
25799,51546
25799,51547
25799,51548
25799,51549
25799,51550
25799,51551
25799,51552
25799,51553
25799,51554
25799,51555
25799,51556
25799,51557
25799,51558
25799,51559
25799,51560
25799,51561
25799,51562
25800,51537
25800,51538
25800,51539
25800,51540
25800,51541
25800,51542
25800,51543
25800,51544
25800,51545
25800,51546
25800,51547
25800,51548
25800,51549
25800,51550
25800,51551
25800,51552
25800,51553
25800,51554
25800,51555
25800,51556
25800,51557
25800,51558
25800,51559
25800,51560
25800,51561
25800,51562
25800,51563
25801,51536
25801,51537
25801,51538
25801,51539
25801,51540
25801,51541
25801,51542
25801,51543
25801,51544
25801,51545
25801,51546
25801,51547
25801,51548
25801,51549
25801,51550
25801,51551
25801,51552
25801,51553
25801,51554
25801,51555
25801,51556
25801,51557
25801,51558
25801,51559
25801,51560
25801,51561
25801,51562
25801,51563
25801,51564
25801,51565
25801,51566
25802,51536
25802,51537
25802,51538
25802,51539
25802,51540
25802,51541
25802,51542
25802,51543
25802,51544
25802,51545
25802,51546
25802,51547
25802,51548
25802,51549
25802,51550
25802,51551
25802,51552
25802,51553
25802,51554
25802,51555
25802,51556
25802,51557
25802,51558
25802,51559
25802,51560
25802,51561
25802,51562
25802,51563
25802,51564
25802,51565
25802,51566
25802,51567
25803,51536
25803,51537
25803,51538
25803,51539
25803,51540
25803,51541
25803,51542
25803,51543
25803,51544
25803,51545
25803,51546
25803,51547
25803,51548
25803,51549
25803,51550
25803,51551
25803,51552
25803,51553
25803,51554
25803,51555
25803,51556
25803,51557
25803,51558
25803,51559
25803,51560
25803,51561
25803,51562
25803,51563
25803,51564
25803,51565
25803,51566
25803,51567
25803,51568
25804,51536
25804,51537
25804,51538
25804,51539
25804,51540
25804,51541
25804,51542
25804,51543
25804,51544
25804,51545
25804,51546
25804,51547
25804,51548
25804,51549
25804,51550
25804,51551
25804,51552
25804,51553
25804,51554
25804,51555
25804,51556
25804,51557
25804,51558
25804,51559
25804,51560
25804,51561
25804,51562
25804,51563
25804,51564
25804,51565
25804,51566
25804,51567
25804,51568
25805,51536
25805,51537
25805,51538
25805,51539
25805,51540
25805,51541
25805,51542
25805,51543
25805,51544
25805,51545
25805,51546
25805,51547
25805,51548
25805,51549
25805,51550
25805,51551
25805,51552
25805,51553
25805,51554
25805,51555
25805,51556
25805,51557
25805,51558
25805,51559
25805,51560
25805,51561
25805,51562
25805,51563
25805,51564
25805,51565
25805,51566
25805,51567
25805,51568
25806,51537
25806,51538
25806,51539
25806,51540
25806,51541
25806,51542
25806,51543
25806,51544
25806,51545
25806,51546
25806,51547
25806,51548
25806,51549
25806,51550
25806,51551
25806,51552
25806,51553
25806,51554
25806,51555
25806,51556
25806,51557
25806,51558
25806,51559
25806,51560
25806,51561
25806,51562
25806,51563
25806,51564
25806,51565
25806,51566
25806,51567
25806,51568
25807,51536
25807,51537
25807,51538
25807,51539
25807,51540
25807,51541
25807,51542
25807,51543
25807,51544
25807,51545
25807,51546
25807,51547
25807,51548
25807,51549
25807,51550
25807,51551
25807,51552
25807,51553
25807,51554
25807,51555
25807,51556
25807,51557
25807,51558
25807,51559
25807,51560
25807,51561
25807,51562
25807,51563
25807,51564
25807,51565
25807,51566
25807,51567
25808,51537
25808,51538
25808,51539
25808,51540
25808,51541
25808,51542
25808,51543
25808,51544
25808,51545
25808,51546
25808,51547
25808,51548
25808,51549
25808,51550
25808,51551
25808,51552
25808,51553
25808,51554
25808,51555
25808,51556
25808,51557
25808,51558
25808,51559
25808,51560
25808,51561
25808,51562
25808,51563
25808,51564
25808,51565
25808,51566
25808,51567
25809,51537
25809,51538
25809,51539
25809,51540
25809,51541
25809,51542
25809,51543
25809,51544
25809,51545
25809,51546
25809,51547
25809,51548
25809,51549
25809,51550
25809,51551
25809,51552
25809,51553
25809,51554
25809,51555
25809,51556
25809,51557
25809,51558
25809,51559
25809,51560
25809,51561
25809,51562
25809,51563
25809,51564
25809,51565
25809,51566
25809,51567
25810,51537
25810,51538
25810,51539
25810,51540
25810,51541
25810,51542
25810,51543
25810,51544
25810,51545
25810,51546
25810,51547
25810,51548
25810,51549
25810,51550
25810,51551
25810,51552
25810,51553
25810,51554
25810,51555
25810,51556
25810,51557
25810,51558
25810,51559
25810,51560
25810,51561
25810,51562
25810,51563
25810,51564
25810,51565
25810,51566
25810,51567
25811,51538
25811,51539
25811,51540
25811,51541
25811,51542
25811,51543
25811,51544
25811,51545
25811,51546
25811,51547
25811,51548
25811,51549
25811,51550
25811,51551
25811,51552
25811,51553
25811,51554
25811,51555
25811,51556
25811,51557
25811,51558
25811,51559
25811,51560
25811,51561
25811,51562
25811,51563
25811,51564
25811,51565
25811,51566
25812,51538
25812,51539
25812,51540
25812,51541
25812,51542
25812,51543
25812,51544
25812,51545
25812,51546
25812,51547
25812,51548
25812,51549
25812,51550
25812,51551
25812,51552
25812,51553
25812,51554
25812,51555
25812,51556
25812,51557
25812,51558
25812,51559
25812,51560
25812,51561
25812,51562
25812,51563
25812,51564
25812,51565
25813,51538
25813,51539
25813,51540
25813,51541
25813,51542
25813,51543
25813,51544
25813,51545
25813,51546
25813,51547
25813,51548
25813,51549
25813,51550
25813,51551
25813,51552
25813,51553
25813,51554
25813,51555
25813,51556
25813,51557
25813,51558
25813,51559
25813,51560
25813,51561
25813,51562
25813,51563
25813,51564
25814,51537
25814,51538
25814,51539
25814,51540
25814,51541
25814,51542
25814,51543
25814,51544
25814,51545
25814,51546
25814,51547
25814,51548
25814,51549
25814,51550
25814,51551
25814,51552
25814,51553
25814,51554
25814,51555
25814,51556
25814,51557
25814,51558
25814,51559
25814,51560
25814,51561
25814,51562
25815,51533
25815,51537
25815,51538
25815,51539
25815,51540
25815,51541
25815,51542
25815,51543
25815,51544
25815,51545
25815,51546
25815,51547
25815,51548
25815,51549
25815,51550
25815,51551
25815,51552
25815,51553
25815,51554
25815,51555
25815,51556
25815,51557
25815,51558
25815,51559
25815,51560
25815,51561
25816,51532
25816,51533
25816,51534
25816,51535
25816,51536
25816,51537
25816,51538
25816,51539
25816,51540
25816,51541
25816,51542
25816,51543
25816,51544
25816,51545
25816,51546
25816,51547
25816,51548
25816,51549
25816,51550
25816,51551
25816,51552
25816,51553
25816,51554
25816,51555
25816,51556
25816,51557
25816,51558
25816,51559
25816,51560
25817,51533
25817,51534
25817,51535
25817,51536
25817,51537
25817,51538
25817,51539
25817,51540
25817,51541
25817,51542
25817,51543
25817,51544
25817,51545
25817,51546
25817,51547
25817,51548
25817,51549
25817,51550
25817,51551
25817,51552
25817,51553
25817,51554
25817,51555
25817,51556
25817,51557
25817,51558
25817,51559
25818,51533
25818,51534
25818,51535
25818,51536
25818,51537
25818,51538
25818,51539
25818,51540
25818,51541
25818,51542
25818,51543
25818,51544
25818,51545
25818,51546
25818,51547
25818,51548
25818,51549
25818,51550
25818,51551
25818,51552
25818,51553
25818,51554
25818,51555
25818,51556
25818,51557
25818,51558
25819,51533
25819,51534
25819,51535
25819,51536
25819,51537
25819,51538
25819,51539
25819,51540
25819,51541
25819,51542
25819,51543
25819,51544
25819,51545
25819,51546
25819,51547
25819,51548
25819,51549
25819,51550
25819,51551
25819,51552
25819,51553
25819,51554
25819,51555
25819,51556
25819,51557
25820,51532
25820,51533
25820,51534
25820,51535
25820,51536
25820,51537
25820,51538
25820,51539
25820,51540
25820,51541
25820,51542
25820,51543
25820,51544
25820,51545
25820,51546
25820,51547
25820,51548
25820,51549
25820,51550
25820,51551
25820,51552
25820,51553
25820,51554
25820,51555
25820,51556
25820,51557
25821,51527
25821,51528
25821,51529
25821,51530
25821,51531
25821,51532
25821,51533
25821,51534
25821,51535
25821,51536
25821,51537
25821,51538
25821,51539
25821,51540
25821,51541
25821,51542
25821,51543
25821,51544
25821,51545
25821,51546
25821,51547
25821,51548
25821,51549
25821,51550
25821,51551
25821,51552
25821,51553
25821,51554
25821,51555
25821,51556
25822,51525
25822,51526
25822,51527
25822,51528
25822,51529
25822,51530
25822,51531
25822,51532
25822,51533
25822,51534
25822,51535
25822,51536
25822,51537
25822,51538
25822,51539
25822,51540
25822,51541
25822,51542
25822,51543
25822,51544
25822,51545
25822,51546
25822,51547
25822,51548
25822,51549
25822,51550
25822,51551
25822,51552
25822,51553
25822,51554
25822,51555
25822,51556
25823,51522
25823,51523
25823,51524
25823,51525
25823,51526
25823,51527
25823,51528
25823,51529
25823,51530
25823,51531
25823,51532
25823,51533
25823,51534
25823,51535
25823,51536
25823,51537
25823,51538
25823,51539
25823,51540
25823,51541
25823,51542
25823,51543
25823,51544
25823,51545
25823,51546
25823,51547
25823,51548
25823,51549
25823,51550
25823,51551
25823,51552
25823,51553
25823,51554
25823,51555
25824,51476
25824,51477
25824,51522
25824,51523
25824,51524
25824,51525
25824,51526
25824,51527
25824,51528
25824,51529
25824,51530
25824,51531
25824,51532
25824,51533
25824,51534
