y_tile,x_tile
26364,53690
26364,53691
26364,53692
26364,53693
26364,53694
26365,53690
26365,53691
26365,53692
26365,53693
26365,53694
26365,53695
26365,53696
26366,53690
26366,53691
26366,53692
26366,53693
26366,53694
26366,53695
26366,53696
26367,53688
26367,53689
26367,53690
26367,53691
26367,53692
26367,53693
26367,53694
26367,53695
26367,53696
26367,53697
26368,53686
26368,53687
26368,53688
26368,53689
26368,53690
26368,53691
26368,53692
26368,53693
26368,53694
26368,53695
26368,53696
26368,53697
26368,53747
26368,53748
26369,53685
26369,53686
26369,53687
26369,53688
26369,53689
26369,53690
26369,53691
26369,53692
26369,53693
26369,53694
26369,53695
26369,53696
26369,53697
26369,53698
26369,53699
26369,53746
26369,53747
26369,53748
26370,53685
26370,53686
26370,53687
26370,53688
26370,53689
26370,53690
26370,53691
26370,53692
26370,53693
26370,53694
26370,53695
26370,53696
26370,53697
26370,53698
26370,53699
26370,53700
26370,53742
26370,53743
26370,53744
26370,53745
26370,53746
26370,53747
26370,53748
26371,53685
26371,53686
26371,53687
26371,53688
26371,53689
26371,53690
26371,53691
26371,53692
26371,53693
26371,53694
26371,53695
26371,53696
26371,53697
26371,53698
26371,53699
26371,53700
26371,53701
26371,53737
26371,53738
26371,53739
26371,53740
26371,53742
26371,53743
26371,53744
26371,53745
26371,53746
26371,53747
26371,53748
26372,53685
26372,53686
26372,53687
26372,53688
26372,53689
26372,53690
26372,53691
26372,53692
26372,53693
26372,53694
26372,53695
26372,53696
26372,53697
26372,53698
26372,53699
26372,53700
26372,53701
26372,53736
26372,53737
26372,53738
26372,53739
26372,53740
26372,53741
26372,53742
26372,53743
26372,53744
26372,53745
26372,53746
26372,53747
26372,53748
26373,53685
26373,53686
26373,53687
26373,53688
26373,53689
26373,53690
26373,53691
26373,53692
26373,53693
26373,53694
26373,53695
26373,53696
26373,53697
26373,53698
26373,53699
26373,53700
26373,53701
26373,53734
26373,53735
26373,53736
26373,53737
26373,53738
26373,53739
26373,53740
26373,53741
26373,53742
26373,53743
26373,53744
26373,53745
26373,53746
26373,53747
26373,53748
26374,53685
26374,53686
26374,53687
26374,53688
26374,53689
26374,53690
26374,53691
26374,53692
26374,53693
26374,53694
26374,53695
26374,53696
26374,53697
