y_tile,x_tile
24932,47728
24932,47729
24932,47730
24932,47731
24932,47732
24932,47733
24932,47734
24932,47735
24932,47736
24932,47737
24932,47738
24932,47739
24932,47740
24932,47741
24932,47742
24932,47743
24932,47744
24932,47745
24932,47746
24932,47747
24932,47748
24932,47749
24932,47750
24932,47751
24932,47752
24932,47753
24932,47754
24932,47755
24932,47756
24932,47757
24932,47758
24932,47759
24932,47760
24932,47761
24932,47762
24932,47763
24932,47764
24932,47765
24932,47766
24932,47767
24932,47768
24932,47769
24932,47770
24932,47771
24932,47772
24932,47773
24932,47774
24932,47775
24932,47776
24932,47777
24932,47778
24932,47779
24932,47780
24932,47781
24932,47782
24932,47783
24932,47784
24932,47785
24932,47786
24932,47787
24932,47788
24932,47789
24933,47728
24933,47729
24933,47730
24933,47731
24933,47732
24933,47733
24933,47734
24933,47735
24933,47736
24933,47737
24933,47738
24933,47739
24933,47740
24933,47741
24933,47742
24933,47743
24933,47744
24933,47745
24933,47746
24933,47747
24933,47748
24933,47749
24933,47750
24933,47751
24933,47752
24933,47753
24933,47754
24933,47755
24933,47756
24933,47757
24933,47758
24933,47759
24933,47760
24933,47761
24933,47762
24933,47763
24933,47764
24933,47765
24933,47766
24933,47767
24933,47768
24933,47769
24933,47770
24933,47771
24933,47772
24933,47773
24933,47774
24933,47775
24933,47776
24933,47777
24933,47778
24933,47779
24933,47780
24933,47781
24933,47782
24933,47783
24933,47784
24933,47785
24933,47786
24933,47787
24933,47788
24933,47789
24934,47727
24934,47728
24934,47729
24934,47730
24934,47731
24934,47732
24934,47733
24934,47734
24934,47735
24934,47736
24934,47737
24934,47738
24934,47739
24934,47740
24934,47741
24934,47742
24934,47743
24934,47744
24934,47745
24934,47746
24934,47747
24934,47748
24934,47749
24934,47750
24934,47751
24934,47752
24934,47753
24934,47754
24934,47755
24934,47756
24934,47757
24934,47758
24934,47759
24934,47760
24934,47761
24934,47762
24934,47763
24934,47764
24934,47765
24934,47766
24934,47767
24934,47768
24934,47769
24934,47770
24934,47771
24934,47772
24934,47773
24934,47774
24934,47775
24934,47776
24934,47777
24934,47778
24934,47779
24934,47780
24934,47781
24934,47782
24934,47783
24934,47784
24934,47785
24934,47786
24934,47787
24934,47788
24934,47789
24935,47727
24935,47728
24935,47729
24935,47730
24935,47731
24935,47732
24935,47733
24935,47734
24935,47735
24935,47736
24935,47737
24935,47738
24935,47739
24935,47740
24935,47741
24935,47742
24935,47743
24935,47744
24935,47745
24935,47746
24935,47747
24935,47748
24935,47749
24935,47750
24935,47751
24935,47752
24935,47753
24935,47754
24935,47755
24935,47756
24935,47757
24935,47758
24935,47759
24935,47760
24935,47761
24935,47762
24935,47763
24935,47764
24935,47765
24935,47766
24935,47767
24935,47768
24935,47769
24935,47770
24935,47771
24935,47772
24935,47773
24935,47774
24935,47775
24935,47776
24935,47777
24935,47778
24935,47779
24935,47780
24935,47781
24935,47782
24935,47783
24935,47784
24935,47785
24935,47786
24935,47787
24935,47788
24935,47789
24936,47727
24936,47728
24936,47729
24936,47730
24936,47731
24936,47732
24936,47733
24936,47734
24936,47735
24936,47736
24936,47737
24936,47738
24936,47739
24936,47740
24936,47741
24936,47742
24936,47743
24936,47744
24936,47745
24936,47746
24936,47747
24936,47748
24936,47749
24936,47750
24936,47751
24936,47752
24936,47753
