y_tile,x_tile
27856,52560
27856,52561
27856,52562
27856,52564
27856,52565
27856,52566
27856,52567
27856,52568
27857,52560
27857,52561
27857,52562
27857,52563
27857,52564
27857,52565
27857,52566
27857,52567
27857,52568
27857,52569
27858,52560
27858,52561
27858,52562
27858,52563
27858,52564
27858,52565
27858,52566
27858,52567
27858,52568
27858,52569
27859,52559
27859,52560
27859,52561
27859,52562
27859,52563
27859,52564
27859,52565
27859,52566
27859,52567
27859,52568
27860,52559
27860,52560
27860,52561
27860,52562
27860,52563
27860,52564
27860,52565
27860,52566
27860,52567
27860,52568
27860,52569
27861,52558
27861,52559
27861,52560
27861,52561
27861,52562
27861,52563
27861,52564
27861,52565
27861,52566
27861,52567
27861,52568
27861,52569
27862,52558
27862,52559
27862,52560
27862,52561
27862,52562
27862,52563
27862,52564
27862,52565
27862,52566
27862,52567
27862,52568
27863,52558
27863,52559
27863,52560
27863,52561
27863,52562
27863,52563
27863,52564
27863,52565
27863,52566
27863,52567
27863,52568
27864,52558
27864,52559
27864,52560
27864,52561
27864,52562
27864,52563
27864,52564
27864,52565
27864,52566
27864,52567
27864,52568
27864,52619
27864,52620
27865,52557
27865,52558
27865,52559
27865,52560
27865,52561
27865,52562
27865,52563
27865,52564
27865,52565
27865,52566
27865,52567
27865,52617
27865,52618
27865,52619
27865,52620
27865,52621
27865,52622
27866,52549
27866,52555
27866,52556
27866,52557
27866,52558
27866,52559
27866,52560
27866,52561
27866,52562
27866,52563
27866,52564
27866,52565
27866,52566
27866,52567
27866,52613
27866,52614
27866,52615
27866,52616
27866,52617
27866,52618
27866,52619
27866,52620
27866,52621
27866,52622
27867,52547
27867,52548
27867,52549
27867,52550
27867,52552
27867,52553
27867,52554
27867,52555
27867,52556
27867,52557
27867,52558
27867,52559
27867,52560
27867,52561
27867,52562
27867,52563
27867,52564
27867,52565
27867,52566
27867,52567
27867,52613
27867,52614
27867,52615
27867,52616
27867,52617
27867,52618
27867,52619
27867,52620
27867,52621
27867,52622
27867,52624
27867,52625
27867,52626
27867,52627
27867,52628
27868,52547
27868,52548
27868,52549
27868,52550
27868,52551
27868,52552
27868,52553
27868,52554
27868,52555
27868,52556
27868,52557
27868,52558
27868,52559
27868,52560
27868,52561
27868,52562
27868,52563
27868,52564
27868,52565
27868,52566
27868,52567
27868,52613
27868,52614
27868,52615
27868,52616
27868,52617
27868,52618
27868,52619
27868,52620
27868,52621
27868,52622
27868,52623
27868,52624
27868,52625
27868,52626
27868,52627
27868,52628
27869,52547
27869,52548
27869,52549
27869,52550
27869,52551
27869,52552
27869,52553
27869,52554
27869,52555
27869,52556
27869,52557
27869,52558
27869,52559
27869,52560
27869,52561
27869,52562
27869,52563
27869,52564
27869,52565
27869,52566
27869,52567
27869,52614
27869,52615
27869,52616
27869,52617
27869,52618
27869,52619
27869,52620
27869,52621
27869,52622
27869,52623
27869,52624
27869,52625
27869,52626
27869,52627
27869,52628
27869,52629
27870,52547
27870,52548
27870,52549
27870,52550
27870,52551
27870,52552
27870,52553
27870,52554
27870,52555
27870,52556
27870,52557
27870,52558
27870,52559
27870,52560
27870,52561
27870,52562
27870,52563
27870,52564
27870,52565
27870,52566
27870,52567
27870,52614
27870,52615
27870,52616
27870,52617
27870,52618
27870,52619
27870,52620
27870,52621
27870,52622
27870,52623
27870,52624
27870,52625
27870,52626
27870,52627
27870,52628
27870,52629
27870,52630
27870,52631
27871,52541
27871,52542
27871,52543
27871,52544
27871,52545
27871,52546
27871,52547
27871,52548
27871,52549
27871,52550
27871,52551
27871,52552
27871,52553
27871,52554
27871,52555
27871,52556
27871,52557
27871,52558
27871,52559
27871,52560
27871,52561
27871,52562
27871,52563
27871,52564
27871,52565
27871,52566
27871,52567
27871,52568
27871,52613
27871,52614
27871,52615
27871,52616
27871,52617
27871,52618
27871,52619
27871,52620
27871,52621
27871,52622
27871,52623
27871,52624
27871,52625
27871,52626
27871,52627
27871,52628
27871,52629
27871,52630
27871,52631
27871,52632
27872,52540
27872,52541
27872,52542
27872,52543
27872,52544
27872,52545
27872,52546
27872,52547
27872,52548
27872,52549
27872,52550
27872,52551
27872,52552
27872,52553
27872,52554
27872,52555
27872,52556
27872,52557
27872,52558
27872,52559
27872,52560
27872,52561
27872,52562
27872,52563
27872,52564
27872,52565
27872,52566
27872,52567
27872,52568
27872,52569
27872,52570
27872,52587
27872,52588
27872,52589
27872,52590
27872,52591
27872,52613
27872,52614
27872,52615
27872,52616
27872,52617
27872,52618
27872,52619
27872,52620
27872,52621
27872,52622
27872,52623
27872,52624
27872,52625
27872,52626
27872,52627
27872,52628
27872,52629
27872,52630
27872,52631
27872,52632
27873,52540
27873,52541
27873,52542
27873,52543
27873,52544
27873,52545
27873,52546
27873,52547
27873,52548
27873,52549
27873,52550
27873,52551
27873,52552
27873,52553
27873,52554
27873,52555
27873,52556
27873,52557
27873,52558
27873,52559
27873,52560
27873,52561
27873,52562
27873,52563
27873,52564
27873,52565
27873,52566
27873,52567
27873,52568
27873,52569
27873,52570
27873,52582
27873,52583
27873,52584
27873,52585
27873,52587
27873,52588
27873,52589
27873,52590
27873,52591
27873,52592
27873,52593
27873,52613
27873,52614
27873,52615
27873,52616
27873,52617
27873,52618
27873,52619
27873,52620
27873,52621
27873,52622
27873,52623
27873,52624
27873,52625
27873,52626
27873,52627
27873,52628
27873,52629
27873,52630
27873,52631
27873,52632
27874,52538
27874,52539
27874,52540
27874,52541
27874,52542
27874,52543
27874,52544
27874,52545
27874,52546
27874,52547
27874,52548
27874,52549
27874,52550
27874,52551
27874,52552
27874,52553
27874,52554
27874,52555
27874,52556
27874,52557
27874,52558
27874,52559
27874,52560
27874,52561
27874,52562
27874,52563
27874,52564
27874,52565
27874,52566
27874,52567
27874,52568
27874,52569
27874,52570
27874,52582
27874,52583
27874,52584
27874,52585
27874,52586
27874,52587
27874,52588
27874,52589
27874,52590
27874,52591
27874,52592
27874,52593
27874,52594
27874,52612
27874,52613
27874,52614
27874,52615
27874,52616
27874,52617
27874,52618
27874,52619
27874,52620
27874,52621
27874,52622
27874,52623
27874,52624
27874,52625
27874,52626
27874,52627
27874,52628
27874,52629
27874,52630
27874,52631
27874,52632
27875,52537
27875,52538
27875,52539
27875,52540
27875,52541
27875,52542
27875,52543
27875,52544
