y_tile,x_tile
25468,50857
25468,50858
25469,50856
25469,50857
25469,50858
25469,50859
25469,50861
25469,50864
25469,50865
25470,50856
25470,50857
25470,50858
25470,50859
25470,50860
25470,50861
25470,50862
25470,50863
25470,50864
25470,50865
25471,50856
25471,50857
25471,50858
25471,50859
25471,50860
25471,50861
25471,50862
25471,50863
25471,50864
25471,50865
25471,50866
25471,50867
25471,50868
25471,50869
25472,50856
25472,50857
25472,50858
25472,50859
25472,50860
25472,50861
25472,50862
25472,50863
25472,50864
25472,50865
25472,50866
25472,50867
25472,50868
25472,50869
25472,50870
25472,50871
25472,50872
25472,50873
25473,50856
25473,50857
25473,50858
25473,50859
25473,50860
25473,50861
25473,50862
25473,50863
25473,50864
25473,50865
25473,50866
25473,50867
25473,50868
25473,50869
25473,50870
25473,50871
25473,50872
25473,50873
25473,50874
25473,50875
25473,50876
25473,50877
25473,50878
25473,50879
25474,50856
25474,50857
25474,50858
25474,50859
25474,50860
25474,50861
25474,50862
25474,50863
25474,50864
25474,50865
25474,50866
25474,50867
25474,50868
25474,50869
25474,50870
25474,50871
25474,50872
25474,50873
25474,50874
25474,50875
25474,50876
25474,50877
25474,50878
25474,50879
25474,50880
25474,50881
25474,50882
25475,50855
25475,50856
25475,50857
25475,50858
25475,50859
25475,50860
25475,50861
25475,50862
25475,50863
25475,50864
25475,50865
25475,50866
25475,50867
25475,50868
25475,50869
25475,50870
25475,50871
25475,50872
25475,50873
25475,50874
25475,50875
25475,50876
25475,50877
25475,50878
25475,50879
25475,50880
25475,50881
25475,50882
25475,50883
25476,50855
25476,50856
25476,50857
25476,50858
25476,50859
25476,50860
25476,50861
25476,50862
25476,50863
25476,50864
25476,50865
25476,50866
25476,50867
25476,50868
25476,50869
25476,50870
25476,50871
25476,50872
25476,50873
25476,50874
25476,50875
25476,50876
25476,50877
25476,50878
25476,50879
25476,50880
25476,50881
25476,50882
25476,50883
25476,50884
25477,50855
25477,50856
25477,50857
25477,50858
25477,50859
25477,50860
25477,50861
25477,50862
25477,50863
25477,50864
25477,50865
25477,50866
25477,50867
25477,50868
25477,50869
25477,50870
25477,50871
25477,50872
25477,50873
25477,50874
25477,50875
25477,50876
25477,50877
25477,50878
25477,50879
25477,50880
25477,50881
25477,50882
25477,50883
25477,50884
25477,50885
25478,50855
25478,50856
25478,50857
25478,50858
25478,50859
25478,50860
25478,50861
25478,50862
25478,50863
25478,50864
25478,50865
25478,50866
25478,50867
25478,50868
25478,50869
25478,50870
25478,50871
25478,50872
25478,50873
25478,50874
25478,50875
25478,50876
25478,50877
25478,50878
25478,50879
25478,50880
25478,50881
25478,50882
25478,50883
25478,50884
25478,50885
25478,50886
25478,50887
25479,50854
25479,50855
25479,50856
25479,50857
25479,50858
25479,50859
25479,50860
25479,50861
25479,50862
25479,50863
25479,50864
25479,50865
25479,50866
25479,50867
25479,50868
25479,50869
25479,50870
25479,50871
25479,50872
25479,50873
25479,50874
25479,50875
25479,50876
25479,50877
25479,50878
25479,50879
25479,50880
25479,50881
25479,50882
25479,50883
25479,50884
25479,50885
25479,50886
25479,50887
25479,50888
25480,50848
25480,50849
25480,50850
25480,50851
25480,50852
25480,50853
25480,50854
25480,50855
25480,50856
25480,50857
25480,50858
25480,50859
25480,50860
25480,50861
25480,50862
25480,50863
25480,50864
25480,50865
25480,50866
25480,50867
25480,50868
25480,50869
25480,50870
25480,50871
25480,50872
25480,50873
25480,50874
25480,50875
25480,50876
25480,50877
25480,50878
25480,50879
25480,50880
25480,50881
25480,50882
25480,50883
25480,50884
25480,50885
25480,50886
25480,50887
25480,50888
25480,50889
25481,50846
25481,50847
25481,50848
25481,50849
25481,50850
25481,50851
25481,50852
25481,50853
25481,50854
25481,50855
25481,50856
25481,50857
25481,50858
25481,50859
25481,50860
25481,50861
25481,50862
25481,50863
25481,50864
25481,50865
25481,50866
25481,50867
25481,50868
25481,50869
25481,50870
25481,50871
25481,50872
25481,50873
25481,50874
25481,50875
25481,50876
25481,50877
25481,50878
25481,50879
25481,50880
25481,50881
25481,50882
25481,50883
25481,50884
25481,50885
25481,50886
25481,50887
25481,50888
25481,50889
25481,50890
25481,50891
25481,50892
25481,50893
25482,50846
25482,50847
25482,50848
25482,50849
25482,50850
25482,50851
25482,50852
25482,50853
25482,50854
25482,50855
25482,50856
25482,50857
25482,50858
25482,50859
25482,50860
25482,50861
25482,50862
25482,50863
25482,50864
25482,50865
25482,50866
25482,50867
25482,50868
25482,50869
25482,50870
25482,50871
25482,50872
25482,50873
25482,50874
25482,50875
25482,50876
25482,50877
25482,50878
25482,50879
25482,50880
25482,50881
25482,50882
25482,50883
25482,50884
25482,50885
25482,50886
25482,50887
25482,50888
25482,50889
25482,50890
25482,50891
25482,50892
25482,50893
25482,50894
25483,50843
25483,50844
25483,50845
25483,50846
25483,50847
25483,50848
25483,50849
25483,50850
25483,50851
25483,50852
25483,50853
25483,50854
25483,50855
25483,50856
25483,50857
25483,50858
25483,50859
25483,50860
25483,50861
25483,50862
25483,50863
25483,50864
25483,50865
25483,50866
25483,50867
25483,50868
25483,50869
25483,50870
25483,50871
25483,50872
25483,50873
25483,50874
25483,50875
25483,50876
25483,50877
25483,50878
25483,50879
25483,50880
25483,50881
25483,50882
25483,50883
25483,50884
25483,50885
25483,50886
25483,50887
25483,50888
25483,50889
25483,50890
25483,50891
25483,50892
25483,50893
25483,50894
25483,50895
25484,50842
25484,50843
25484,50844
25484,50845
25484,50846
25484,50847
25484,50848
25484,50849
25484,50850
25484,50851
25484,50852
25484,50853
25484,50854
25484,50855
25484,50856
25484,50857
25484,50858
25484,50859
25484,50860
25484,50861
25484,50862
25484,50863
25484,50864
25484,50865
25484,50866
25484,50867
25484,50868
25484,50869
25484,50870
25484,50871
25484,50872
25484,50873
25484,50874
25484,50875
25484,50876
25484,50877
25484,50878
25484,50879
25484,50880
25484,50881
25484,50882
25484,50883
25484,50884
25484,50885
25484,50886
25484,50887
25484,50888
25484,50889
25484,50890
25484,50891
25484,50892
25484,50893
25484,50894
25484,50895
25484,50896
25484,50897
25485,50842
25485,50843
25485,50844
25485,50845
25485,50846
25485,50847
25485,50848
25485,50849
25485,50850
25485,50851
25485,50852
25485,50853
25485,50854
25485,50855
25485,50856
25485,50857
25485,50858
25485,50859
25485,50860
25485,50861
25485,50862
25485,50863
25485,50864
25485,50865
25485,50866
25485,50867
25485,50868
25485,50869
25485,50870
25485,50871
25485,50872
25485,50873
25485,50874
25485,50875
25485,50876
25485,50877
25485,50878
25485,50879
25485,50880
25485,50881
25485,50882
25485,50883
25485,50884
25485,50885
25485,50886
25485,50887
25485,50888
25485,50889
25485,50890
25485,50891
25485,50892
25485,50893
25485,50894
25485,50895
25485,50896
25485,50897
25485,50898
25485,50899
25485,50900
25486,50841
25486,50842
25486,50843
25486,50844
25486,50845
25486,50846
25486,50847
25486,50848
25486,50849
25486,50850
25486,50851
25486,50852
25486,50853
25486,50854
25486,50855
25486,50856
25486,50857
25486,50858
25486,50859
25486,50860
25486,50861
25486,50862
25486,50863
25486,50864
25486,50865
25486,50866
25486,50867
25486,50868
25486,50869
25486,50870
25486,50871
25486,50872
25486,50873
25486,50874
25486,50875
25486,50876
25486,50877
25486,50878
25486,50879
25486,50880
25486,50881
25486,50882
25486,50883
25486,50884
25486,50885
25486,50886
25486,50887
25486,50888
25486,50889
25486,50890
25486,50891
25486,50892
25486,50893
25486,50894
25486,50895
25486,50896
25486,50897
25486,50898
25486,50899
25486,50900
25486,50901
25486,50902
25487,50840
25487,50841
25487,50842
