y_tile,x_tile
24733,52918
24734,52916
24734,52917
24734,52918
24734,52919
24735,52915
24735,52916
24735,52917
24735,52918
24735,52919
24735,52922
24735,52923
24735,52924
24736,52914
24736,52915
24736,52916
24736,52917
24736,52918
24736,52919
24736,52920
24736,52921
24736,52922
24736,52923
24736,52924
24737,52913
24737,52914
24737,52915
24737,52916
24737,52917
24737,52918
24737,52919
24737,52920
24737,52921
24737,52922
24737,52923
24737,52924
24737,52928
24737,52929
24737,52930
24737,52931
24737,52932
24737,52933
24738,52909
24738,52910
24738,52911
24738,52912
24738,52913
24738,52914
24738,52915
24738,52916
24738,52917
24738,52918
24738,52919
24738,52920
24738,52921
24738,52922
24738,52923
24738,52928
24738,52929
24738,52930
24738,52931
24738,52932
24738,52933
24738,52934
24739,52909
24739,52910
24739,52911
24739,52912
24739,52913
24739,52914
24739,52915
24739,52916
24739,52917
24739,52918
24739,52919
24739,52920
24739,52921
24739,52922
24739,52923
24739,52924
24739,52925
24739,52926
24739,52927
24739,52928
24739,52929
24739,52930
24739,52931
24739,52932
24739,52933
24739,52934
24739,52944
24739,52945
24739,52946
24739,52947
24739,52983
24739,52984
24740,52909
24740,52910
24740,52911
24740,52912
24740,52913
24740,52914
24740,52915
24740,52916
24740,52917
24740,52918
24740,52919
24740,52920
24740,52921
24740,52922
24740,52923
24740,52924
24740,52925
24740,52926
24740,52927
24740,52928
24740,52929
24740,52930
24740,52931
24740,52932
24740,52933
24740,52934
24740,52944
24740,52945
24740,52946
24740,52947
24740,52948
24740,52949
24740,52950
24740,52981
24740,52982
24740,52983
24740,52984
24741,52910
24741,52911
24741,52912
24741,52913
24741,52914
24741,52915
24741,52916
24741,52917
24741,52918
24741,52919
24741,52920
24741,52921
24741,52922
24741,52923
24741,52924
24741,52925
24741,52926
24741,52927
24741,52928
24741,52929
24741,52930
24741,52931
24741,52932
24741,52933
24741,52945
24741,52946
24741,52947
24741,52948
24741,52949
24741,52950
24741,52951
24741,52981
24741,52982
24741,52983
24741,52984
24742,52910
24742,52911
24742,52912
24742,52913
24742,52914
24742,52915
24742,52916
24742,52917
24742,52918
24742,52919
24742,52920
24742,52921
24742,52922
24742,52923
24742,52924
24742,52925
24742,52926
24742,52927
24742,52928
24742,52929
24742,52930
24742,52931
24742,52932
24742,52945
24742,52946
24742,52947
24742,52948
24742,52949
24742,52950
24742,52951
24742,52980
24742,52981
24742,52982
24742,52983
24742,52984
24743,52910
24743,52911
24743,52912
24743,52913
24743,52914
24743,52915
24743,52916
24743,52917
24743,52918
24743,52919
24743,52920
24743,52921
24743,52922
24743,52923
24743,52924
24743,52925
24743,52926
24743,52927
24743,52928
24743,52929
24743,52930
24743,52931
24743,52932
24743,52946
24743,52947
24743,52948
24743,52949
24743,52950
24743,52979
24743,52980
24743,52981
24743,52982
24743,52983
24744,52910
24744,52911
24744,52912
24744,52913
24744,52914
24744,52915
24744,52916
24744,52917
24744,52918
24744,52919
24744,52920
24744,52921
24744,52922
24744,52923
24744,52924
24744,52925
24744,52926
24744,52927
24744,52928
24744,52929
24744,52930
24744,52931
24744,52932
24744,52946
24744,52947
24744,52948
24744,52949
24744,52967
24744,52968
24744,52969
24744,52977
24744,52978
24744,52979
24744,52980
24744,52981
24744,52982
24744,52983
24745,52912
24745,52913
24745,52914
24745,52915
24745,52916
24745,52917
24745,52918
24745,52919
24745,52920
24745,52921
24745,52922
24745,52923
24745,52924
24745,52925
24745,52926
24745,52927
24745,52928
24745,52929
24745,52930
24745,52931
24745,52932
24745,52933
24745,52934
24745,52935
24745,52936
24745,52937
24745,52947
24745,52948
24745,52966
24745,52967
24745,52968
24745,52969
24745,52976
24745,52977
24745,52978
24745,52979
24745,52980
24745,52981
24745,52982
24745,52983
24746,52912
24746,52913
24746,52914
24746,52915
24746,52916
24746,52917
24746,52918
24746,52919
24746,52920
24746,52921
24746,52922
24746,52923
24746,52924
24746,52925
24746,52926
24746,52927
24746,52928
24746,52929
24746,52930
24746,52931
24746,52932
24746,52933
24746,52934
24746,52935
24746,52936
24746,52937
24746,52946
24746,52947
24746,52948
24746,52966
24746,52967
24746,52968
24746,52969
24746,52975
24746,52976
24746,52977
24746,52978
24746,52979
24746,52980
24746,52981
24746,52982
24746,52983
24746,52984
24747,52913
24747,52914
24747,52915
24747,52916
24747,52917
24747,52918
24747,52919
24747,52920
24747,52921
24747,52922
24747,52923
24747,52924
24747,52925
24747,52926
24747,52927
24747,52928
24747,52929
24747,52930
24747,52931
24747,52932
24747,52933
24747,52934
24747,52935
24747,52936
24747,52937
24747,52938
24747,52944
24747,52945
24747,52946
24747,52947
24747,52948
24747,52950
24747,52951
24747,52952
24747,52965
24747,52966
24747,52967
24747,52968
24747,52969
24747,52974
24747,52975
24747,52976
24747,52977
24747,52978
24747,52979
24747,52980
24747,52981
24747,52982
24747,52983
24747,52984
24747,52985
24747,52986
24747,52987
24747,52988
24747,52989
24747,52990
24748,52915
24748,52916
24748,52917
24748,52918
24748,52919
24748,52920
24748,52921
24748,52922
24748,52923
24748,52924
24748,52925
24748,52926
24748,52927
24748,52928
24748,52929
24748,52930
24748,52931
24748,52932
24748,52933
24748,52934
24748,52935
24748,52936
24748,52937
24748,52938
24748,52939
24748,52940
24748,52941
24748,52942
24748,52943
24748,52944
24748,52945
24748,52946
24748,52947
24748,52948
24748,52949
24748,52950
24748,52951
24748,52952
24748,52953
24748,52954
24748,52955
24748,52964
24748,52965
24748,52966
24748,52967
24748,52968
24748,52969
24748,52972
24748,52973
24748,52974
24748,52975
24748,52976
24748,52977
24748,52978
24748,52979
24748,52980
24748,52981
24748,52982
24748,52983
24748,52984
24748,52985
24748,52986
24748,52987
24748,52988
24748,52989
24748,52990
24748,52991
24748,52992
24748,52993
24748,52994
24749,52915
24749,52916
24749,52917
24749,52918
24749,52919
24749,52920
24749,52921
24749,52922
24749,52923
24749,52924
24749,52925
24749,52926
24749,52927
24749,52928
24749,52929
24749,52930
24749,52931
24749,52932
24749,52933
24749,52934
24749,52935
24749,52936
24749,52937
24749,52938
24749,52939
24749,52940
24749,52941
24749,52942
24749,52943
24749,52944
24749,52945
24749,52946
24749,52947
24749,52948
24749,52949
24749,52950
24749,52951
24749,52952
