y_tile,x_tile
27348,51397
27348,51398
27348,51399
27349,51394
27349,51395
27349,51396
27349,51397
27349,51398
27349,51399
27349,51400
27349,51401
27349,51404
27349,51405
27349,51406
27349,51407
27350,51392
27350,51393
27350,51394
27350,51395
27350,51396
27350,51397
27350,51398
27350,51399
27350,51400
27350,51401
27350,51402
27350,51403
27350,51404
27350,51405
27350,51406
27350,51407
27350,51408
27351,51392
27351,51393
27351,51394
27351,51395
27351,51396
27351,51397
27351,51398
27351,51399
27351,51400
27351,51401
27351,51402
27351,51403
27351,51404
27351,51405
27351,51406
27351,51407
27351,51408
27351,51409
27352,51391
27352,51392
27352,51393
27352,51394
27352,51395
27352,51396
27352,51397
27352,51398
27352,51399
27352,51400
27352,51401
27352,51402
27352,51403
27352,51404
27352,51405
27352,51406
27352,51407
27352,51408
27352,51409
27353,51390
27353,51391
27353,51392
27353,51393
27353,51394
27353,51395
27353,51396
27353,51397
27353,51398
27353,51399
27353,51400
27353,51401
27353,51402
27353,51403
27353,51404
27353,51405
27353,51406
27353,51407
27353,51408
27353,51409
27354,51389
27354,51390
27354,51391
27354,51392
27354,51393
27354,51394
27354,51395
27354,51396
27354,51397
27354,51398
27354,51399
27354,51400
27354,51401
27354,51402
27354,51403
27354,51404
27354,51405
27354,51406
27354,51407
27354,51408
27354,51409
27355,51389
27355,51390
27355,51391
27355,51392
27355,51393
27355,51394
27355,51395
27355,51396
27355,51397
27355,51398
27355,51399
27355,51400
27355,51401
27355,51402
27355,51403
27355,51404
27355,51405
27355,51406
27355,51407
27355,51408
27355,51409
27355,51410
27356,51389
27356,51390
27356,51391
27356,51392
27356,51393
27356,51394
27356,51395
27356,51396
27356,51397
27356,51398
27356,51399
27356,51400
27356,51401
27356,51402
27356,51403
27356,51404
27356,51405
27356,51406
27356,51407
27356,51408
27356,51409
27356,51410
27356,51411
27357,51389
27357,51390
27357,51391
27357,51392
27357,51393
27357,51394
27357,51395
27357,51396
27357,51397
27357,51398
27357,51399
27357,51400
27357,51401
27357,51402
27357,51403
27357,51404
27357,51405
27357,51406
27357,51407
27357,51408
27357,51409
27357,51410
27357,51411
27357,51412
27358,51388
27358,51389
27358,51390
27358,51391
27358,51392
27358,51393
27358,51394
27358,51395
27358,51396
27358,51397
27358,51398
27358,51399
27358,51400
27358,51401
27358,51402
27358,51403
27358,51404
27358,51405
27358,51406
27358,51407
27358,51408
27358,51409
27358,51410
27358,51411
27358,51412
27358,51413
27359,51388
27359,51389
27359,51390
27359,51391
27359,51392
27359,51393
27359,51394
27359,51395
27359,51396
27359,51397
27359,51398
27359,51399
27359,51400
27359,51401
27359,51402
27359,51403
27359,51404
27359,51405
27359,51406
27359,51407
27359,51408
27359,51409
27359,51410
27359,51411
27359,51412
27359,51413
27359,51414
27360,51388
27360,51389
27360,51390
27360,51391
27360,51392
27360,51393
27360,51394
27360,51395
27360,51396
27360,51397
27360,51398
27360,51399
27360,51400
27360,51401
27360,51402
27360,51403
27360,51404
27360,51405
27360,51406
27360,51407
27360,51408
27360,51409
27360,51410
27360,51411
27360,51412
27360,51413
27360,51414
27361,51388
27361,51389
27361,51390
27361,51391
27361,51392
27361,51393
27361,51394
27361,51395
27361,51396
27361,51397
27361,51398
27361,51399
27361,51400
27361,51401
27361,51402
27361,51403
27361,51404
27361,51405
27361,51406
27361,51407
27361,51408
27361,51409
27361,51410
27361,51411
27361,51412
27361,51413
27361,51414
27361,51415
27362,51388
27362,51389
27362,51390
27362,51391
27362,51392
27362,51393
27362,51394
27362,51395
27362,51396
27362,51397
27362,51398
27362,51399
27362,51400
27362,51401
27362,51402
27362,51403
27362,51404
27362,51405
27362,51406
27362,51407
27362,51408
27362,51409
27362,51410
27362,51411
27362,51412
27362,51413
27362,51414
27362,51415
27362,51416
27363,51388
27363,51389
27363,51390
27363,51391
27363,51392
27363,51393
27363,51394
27363,51395
27363,51396
27363,51397
27363,51398
27363,51399
27363,51400
27363,51401
27363,51402
27363,51403
27363,51404
27363,51405
27363,51406
27363,51407
27363,51408
27363,51409
27363,51410
27363,51411
27363,51412
27363,51413
27363,51414
27363,51415
27363,51416
27364,51388
27364,51389
27364,51390
27364,51391
27364,51392
27364,51393
27364,51394
27364,51395
27364,51396
27364,51397
27364,51398
27364,51399
27364,51400
27364,51401
27364,51402
27364,51403
27364,51404
27364,51405
27364,51406
27364,51407
27364,51408
27364,51409
27364,51410
27364,51411
27364,51412
27364,51413
27364,51414
27364,51415
27364,51416
27365,51387
27365,51388
27365,51389
27365,51390
27365,51391
27365,51392
27365,51393
27365,51394
27365,51395
27365,51396
27365,51397
27365,51398
27365,51399
27365,51400
27365,51401
27365,51402
27365,51403
27365,51404
27365,51405
27365,51406
27365,51407
27365,51408
27365,51409
27365,51410
27365,51411
27365,51412
27365,51413
27365,51414
27365,51415
27365,51416
27365,51417
27366,51387
27366,51388
27366,51389
27366,51390
27366,51391
27366,51392
27366,51393
27366,51394
27366,51395
27366,51396
27366,51397
27366,51398
27366,51399
27366,51400
27366,51401
27366,51402
27366,51403
27366,51404
27366,51405
27366,51406
27366,51407
27366,51408
27366,51409
27366,51410
27366,51411
27366,51412
27366,51413
27366,51414
27366,51415
27366,51416
27366,51417
27367,51386
27367,51387
27367,51388
27367,51389
27367,51390
27367,51391
27367,51392
27367,51393
27367,51394
27367,51395
27367,51396
27367,51397
27367,51398
27367,51399
27367,51400
27367,51401
27367,51402
27367,51403
27367,51404
27367,51405
27367,51406
27367,51407
27367,51408
27367,51409
27367,51410
27367,51411
27367,51412
27367,51413
27367,51414
27367,51415
27367,51416
27367,51417
27367,51418
27368,51385
27368,51386
27368,51387
27368,51388
27368,51389
27368,51390
27368,51391
27368,51392
27368,51393
27368,51394
27368,51395
27368,51396
27368,51397
27368,51398
27368,51399
27368,51400
27368,51401
27368,51402
27368,51403
27368,51404
27368,51405
27368,51406
27368,51407
27368,51408
27368,51409
27368,51410
27368,51411
27368,51412
27368,51413
27368,51414
27368,51415
27368,51416
27368,51417
27368,51418
27368,51419
27369,51385
27369,51386
27369,51387
27369,51388
27369,51389
27369,51390
27369,51391
27369,51392
27369,51393
27369,51394
27369,51395
27369,51396
27369,51397
27369,51398
27369,51399
27369,51400
27369,51401
27369,51402
27369,51403
27369,51404
27369,51405
27369,51406
27369,51407
27369,51408
27369,51409
27369,51410
27369,51411
27369,51412
27369,51413
27369,51414
27369,51415
27369,51416
27369,51417
27369,51418
27369,51419
27369,51420
27369,51421
27370,51384
27370,51385
27370,51386
27370,51387
27370,51388
27370,51389
27370,51390
27370,51391
27370,51392
27370,51393
27370,51394
27370,51395
27370,51396
27370,51397
27370,51398
27370,51399
27370,51400
27370,51401
27370,51402
27370,51403
27370,51404
27370,51405
27370,51406
27370,51407
27370,51408
27370,51409
27370,51410
27370,51411
27370,51412
27370,51413
27370,51414
27370,51415
27370,51416
27370,51417
27370,51418
27370,51419
27370,51420
27370,51421
27370,51422
27370,51423
27370,51424
27370,51425
27371,51384
27371,51385
27371,51386
27371,51387
27371,51388
27371,51389
27371,51390
27371,51391
27371,51392
27371,51393
27371,51394
27371,51395
27371,51396
27371,51397
27371,51398
27371,51399
27371,51400
27371,51401
27371,51402
27371,51403
27371,51404
27371,51405
27371,51406
27371,51407
27371,51408
27371,51409
27371,51410
27371,51411
27371,51412
27371,51413
27371,51414
27371,51415
27371,51416
27371,51417
27371,51418
27371,51419
27371,51420
27371,51421
27371,51422
27371,51423
27371,51424
27371,51425
27371,51426
27372,51383
27372,51384
27372,51385
27372,51386
27372,51387
27372,51388
27372,51389
27372,51390
27372,51391
27372,51392
27372,51393
27372,51394
27372,51395
27372,51396
27372,51397
27372,51398
27372,51399
27372,51400
27372,51401
27372,51402
27372,51403
27372,51404
27372,51405
27372,51406
27372,51407
27372,51408
27372,51409
27372,51410
27372,51411
27372,51412
27372,51413
27372,51414
27372,51415
27372,51416
27372,51417
27372,51418
27372,51419
27372,51420
27372,51421
27372,51422
27372,51423
27372,51424
27372,51425
27372,51426
27372,51427
27372,51432
27372,51433
27372,51434
27372,51435
27372,51436
27372,51437
27372,51438
27372,51439
27373,51383
27373,51384
27373,51385
27373,51386
27373,51387
27373,51388
27373,51389
27373,51390
27373,51391
27373,51392
27373,51393
27373,51394
27373,51395
27373,51396
27373,51397
27373,51398
27373,51399
27373,51400
27373,51401
27373,51402
27373,51403
27373,51404
27373,51405
27373,51406
27373,51407
27373,51408
27373,51409
27373,51410
27373,51411
27373,51412
27373,51413
27373,51414
27373,51415
27373,51416
27373,51417
27373,51418
27373,51419
27373,51420
27373,51421
27373,51422
27373,51423
27373,51424
27373,51425
27373,51426
27373,51427
27373,51428
27373,51429
27373,51430
27373,51431
27373,51432
27373,51433
27373,51434
27373,51435
27373,51436
27373,51437
27373,51438
27373,51439
27373,51440
27373,51441
27374,51383
27374,51384
27374,51385
27374,51386
27374,51387
27374,51388
27374,51389
27374,51390
27374,51391
27374,51392
27374,51393
27374,51394
27374,51395
27374,51396
27374,51397
27374,51398
27374,51399
27374,51400
27374,51401
27374,51402
27374,51403
27374,51404
27374,51405
27374,51406
27374,51407
27374,51408
27374,51409
27374,51410
27374,51411
27374,51412
27374,51413
27374,51414
27374,51415
27374,51416
27374,51417
27374,51418
27374,51419
27374,51420
27374,51421
27374,51422
27374,51423
27374,51424
27374,51425
27374,51426
27374,51427
27374,51428
27374,51429
27374,51430
27374,51431
27374,51432
27374,51433
27374,51434
27374,51435
27374,51436
27374,51437
27374,51438
27374,51439
27374,51440
27374,51441
27374,51442
27375,51383
27375,51384
27375,51385
27375,51386
27375,51387
27375,51388
27375,51389
27375,51390
27375,51391
27375,51392
27375,51393
27375,51394
27375,51395
27375,51396
