y_tile,x_tile
26664,54813
26664,54814
26664,54815
26665,54812
26665,54813
26665,54814
26665,54815
26665,54816
26665,54817
26665,54818
26665,54819
26665,54820
26666,54812
26666,54813
26666,54814
26666,54815
26666,54816
26666,54817
26666,54818
26666,54819
26666,54820
26666,54821
26666,54822
26667,54811
26667,54812
26667,54813
26667,54814
26667,54815
26667,54816
26667,54817
26667,54818
26667,54819
26667,54820
26667,54821
26667,54822
26667,54823
26668,54810
26668,54811
26668,54812
26668,54813
26668,54814
26668,54815
26668,54816
26668,54817
26668,54818
26668,54819
26668,54820
26668,54821
26668,54822
26668,54823
26668,54824
26669,54809
26669,54810
26669,54811
26669,54812
26669,54813
26669,54814
26669,54815
26669,54816
26669,54817
26669,54818
26669,54819
26669,54820
26669,54821
26669,54822
26669,54823
26669,54824
26670,54809
26670,54810
26670,54811
26670,54812
26670,54813
26670,54814
26670,54815
26670,54816
26670,54817
26670,54818
26670,54819
26670,54820
26670,54821
26670,54822
26670,54823
26670,54824
26670,54825
26671,54808
26671,54809
26671,54810
26671,54811
26671,54812
26671,54813
26671,54814
26671,54815
26671,54816
26671,54817
26671,54818
26671,54819
26671,54820
26671,54821
26671,54822
26671,54823
26671,54824
26671,54825
26671,54826
26672,54807
26672,54808
26672,54809
26672,54810
26672,54811
26672,54812
26672,54813
26672,54814
26672,54815
26672,54816
26672,54817
26672,54818
26672,54819
26672,54820
26672,54821
26672,54822
26672,54823
26672,54824
26672,54825
26672,54826
26672,54827
26673,54806
26673,54807
26673,54808
26673,54809
26673,54810
26673,54811
26673,54812
26673,54813
26673,54814
26673,54815
26673,54816
26673,54817
26673,54818
26673,54819
26673,54820
26673,54821
26673,54822
26673,54823
26673,54824
26673,54825
26673,54826
26673,54827
26673,54828
26674,54806
26674,54807
26674,54808
26674,54809
26674,54810
26674,54811
26674,54812
26674,54813
26674,54814
26674,54815
26674,54816
26674,54817
26674,54818
26674,54819
26674,54820
26674,54821
26674,54822
26674,54823
26674,54824
26674,54825
26674,54826
26674,54827
26674,54828
26674,54829
26675,54805
26675,54806
26675,54807
26675,54808
26675,54809
26675,54810
26675,54811
26675,54812
26675,54813
26675,54814
26675,54815
26675,54816
26675,54817
26675,54818
26675,54819
26675,54820
26675,54821
26675,54822
26675,54823
26675,54824
26675,54825
26675,54826
26675,54827
26675,54828
26675,54829
26675,54830
26676,54805
26676,54806
26676,54807
26676,54808
26676,54809
26676,54810
26676,54811
26676,54812
26676,54813
26676,54814
26676,54815
26676,54816
26676,54817
26676,54818
26676,54819
26676,54820
26676,54821
26676,54822
