y_tile,x_tile
26878,53846
26878,53847
26878,53848
26878,53849
26878,53850
26878,53851
26878,53854
26878,53855
26878,53856
26878,53857
26878,53858
26879,53845
26879,53846
26879,53847
26879,53848
26879,53849
26879,53850
26879,53851
26879,53852
26879,53853
26879,53854
26879,53855
26879,53856
26879,53857
26879,53858
26880,53845
26880,53846
26880,53847
26880,53848
26880,53849
26880,53850
26880,53851
26880,53852
26880,53853
26880,53854
26880,53855
26880,53856
26880,53857
26880,53858
26881,53845
26881,53846
26881,53847
26881,53848
26881,53849
26881,53850
26881,53851
26881,53852
26881,53853
26881,53854
26881,53855
26881,53856
26881,53857
26881,53858
26882,53844
26882,53845
26882,53846
26882,53847
26882,53848
26882,53849
26882,53850
26882,53851
26882,53852
26882,53853
26882,53854
26882,53855
26882,53856
26882,53857
26882,53858
26883,53844
26883,53845
26883,53846
26883,53847
26883,53848
26883,53849
26883,53850
26883,53851
26883,53852
26883,53853
26883,53854
26883,53855
26883,53856
26883,53857
26883,53858
26884,53844
26884,53845
26884,53846
26884,53847
26884,53848
26884,53849
26884,53850
26884,53851
26884,53852
26884,53853
26884,53854
26884,53855
26884,53856
26884,53857
26884,53858
26885,53843
26885,53844
26885,53845
26885,53846
26885,53847
26885,53848
26885,53849
26885,53850
26885,53851
26885,53852
26885,53853
26885,53854
26885,53855
26885,53856
26885,53857
26885,53858
26885,53859
26885,53860
26886,53843
26886,53844
26886,53845
26886,53846
26886,53847
26886,53848
26886,53849
26886,53850
26886,53851
26886,53852
26886,53853
26886,53854
26886,53855
26886,53856
26886,53857
26886,53858
26886,53859
26887,53842
26887,53843
26887,53844
26887,53845
26887,53846
26887,53847
26887,53848
26887,53849
26887,53850
26887,53851
26887,53852
26887,53853
26887,53854
26887,53855
26887,53856
26887,53857
26887,53858
26887,53859
26888,53842
26888,53843
26888,53844
26888,53845
26888,53846
26888,53847
26888,53848
26888,53849
26888,53850
26888,53851
26888,53852
26888,53853
26888,53854
26888,53855
26888,53856
26888,53857
26888,53858
26888,53859
26889,53842
26889,53843
26889,53844
26889,53845
26889,53846
26889,53847
26889,53848
26889,53849
26889,53850
26889,53851
26889,53852
26889,53853
26889,53854
26889,53855
26889,53856
26889,53857
26889,53858
26889,53859
26889,53860
26890,53842
26890,53843
26890,53844
26890,53845
26890,53846
26890,53847
26890,53848
26890,53849
26890,53850
26890,53851
26890,53852
26890,53853
26890,53854
26890,53855
26890,53856
26890,53857
26890,53858
26890,53859
26890,53860
26890,53861
26890,53882
26890,53883
26890,53884
26891,53842
26891,53843
26891,53844
26891,53845
26891,53846
26891,53847
26891,53848
26891,53849
26891,53850
26891,53851
