y_tile,x_tile
27138,54867
27139,54866
27139,54867
27139,54868
27139,54869
27139,54870
27139,54876
27139,54877
27140,54866
27140,54867
27140,54868
27140,54869
27140,54870
27140,54875
27140,54876
27140,54877
27140,54878
27140,54879
27140,54904
27140,54905
27140,54906
27140,54907
27140,54908
27140,54909
27140,54910
27141,54865
27141,54866
27141,54867
27141,54868
27141,54869
27141,54870
27141,54871
27141,54872
27141,54873
27141,54874
27141,54875
27141,54876
27141,54877
27141,54878
27141,54879
27141,54880
27141,54881
27141,54901
27141,54902
27141,54903
27141,54904
27141,54905
27141,54906
27141,54907
27141,54908
27141,54909
27141,54910
27141,54911
27142,54864
27142,54865
27142,54866
27142,54867
27142,54868
27142,54869
27142,54870
27142,54871
27142,54872
27142,54873
27142,54874
27142,54875
27142,54876
27142,54877
27142,54878
27142,54879
27142,54880
27142,54881
27142,54882
27142,54900
27142,54901
27142,54902
27142,54903
27142,54904
27142,54905
27142,54906
27142,54907
27142,54908
27142,54909
27142,54910
27142,54911
27143,54855
27143,54864
27143,54865
27143,54866
27143,54867
27143,54868
27143,54869
27143,54870
27143,54871
27143,54872
27143,54873
27143,54874
27143,54875
27143,54876
27143,54877
27143,54878
27143,54879
27143,54880
27143,54881
27143,54882
27143,54899
27143,54900
27143,54901
27143,54902
27143,54903
27143,54904
27143,54905
27143,54906
27143,54907
27143,54908
27143,54909
27143,54910
27144,54855
27144,54856
27144,54857
27144,54858
27144,54863
27144,54864
27144,54865
27144,54866
27144,54867
27144,54868
27144,54869
27144,54870
27144,54871
27144,54872
27144,54873
27144,54874
27144,54875
27144,54876
27144,54877
27144,54878
27144,54879
27144,54880
27144,54881
27144,54882
27144,54883
27144,54884
27144,54885
27144,54886
27144,54887
27144,54888
27144,54889
27144,54890
27144,54891
27144,54892
27144,54893
27144,54894
27144,54895
27144,54898
27144,54899
27144,54900
27144,54901
27144,54902
27144,54903
27144,54904
27144,54905
27144,54906
27144,54907
27144,54908
27144,54909
27145,54854
27145,54855
27145,54856
27145,54857
27145,54858
27145,54859
