y_tile,x_tile
26653,52442
26653,52443
26654,52414
26654,52415
26654,52416
26654,52417
26654,52418
26654,52432
26654,52437
26654,52438
26654,52439
26654,52440
26654,52441
26654,52442
26654,52443
26655,52413
26655,52414
26655,52415
26655,52416
26655,52417
26655,52418
26655,52419
26655,52425
26655,52426
26655,52427
26655,52428
26655,52429
26655,52431
26655,52432
26655,52433
26655,52434
26655,52435
26655,52436
26655,52437
26655,52438
26655,52439
26655,52440
26655,52441
26655,52442
26655,52443
26655,52444
26656,52412
26656,52413
26656,52414
26656,52415
26656,52416
26656,52417
26656,52418
26656,52419
26656,52420
26656,52421
26656,52425
26656,52426
26656,52427
26656,52428
26656,52429
26656,52430
26656,52431
26656,52432
26656,52433
26656,52434
26656,52435
26656,52436
26656,52437
26656,52438
26656,52439
26656,52440
26656,52441
26656,52442
26656,52443
26656,52444
26656,52445
26657,52412
26657,52413
26657,52414
26657,52415
26657,52416
26657,52417
26657,52418
26657,52419
26657,52420
26657,52421
26657,52422
26657,52423
26657,52424
26657,52425
26657,52426
26657,52427
26657,52428
26657,52429
26657,52430
26657,52431
26657,52432
26657,52433
26657,52434
26657,52435
26657,52436
26657,52437
26657,52438
26657,52439
26657,52440
26657,52441
26657,52442
26657,52443
26657,52444
26657,52445
26658,52412
26658,52413
26658,52414
26658,52415
26658,52416
26658,52417
26658,52418
26658,52419
26658,52420
26658,52421
26658,52422
26658,52423
26658,52424
26658,52425
26658,52426
26658,52427
26658,52428
26658,52429
26658,52430
26658,52431
26658,52432
26658,52433
26658,52434
26658,52435
26658,52436
26658,52437
26658,52438
26658,52439
26658,52440
26658,52441
26658,52442
26658,52443
26658,52444
26658,52445
26659,52411
26659,52412
26659,52413
26659,52414
26659,52415
26659,52416
26659,52417
26659,52418
26659,52419
26659,52420
26659,52421
26659,52422
26659,52423
26659,52424
26659,52425
26659,52426
26659,52427
26659,52428
26659,52429
26659,52430
26659,52431
26659,52432
26659,52433
26659,52434
26659,52435
26659,52436
26659,52437
26659,52438
26659,52439
26659,52440
26659,52441
26659,52442
26659,52443
26659,52444
26659,52445
26659,52505
26659,52511
26660,52409
26660,52410
26660,52411
26660,52412
26660,52413
26660,52414
26660,52415
26660,52416
26660,52417
26660,52418
26660,52419
26660,52420
26660,52421
26660,52422
26660,52423
26660,52424
26660,52425
26660,52426
26660,52427
26660,52428
26660,52429
26660,52430
26660,52431
26660,52432
26660,52433
26660,52434
26660,52435
26660,52436
26660,52437
26660,52438
26660,52439
26660,52440
26660,52441
26660,52442
26660,52443
26660,52444
26660,52445
26660,52504
26660,52505
26660,52506
26660,52507
26660,52508
26660,52509
26660,52510
26660,52511
26660,52512
26660,52513
26660,52514
26660,52515
26660,52516
26660,52517
26661,52409
26661,52410
26661,52411
26661,52412
26661,52413
26661,52414
26661,52415
26661,52416
26661,52417
26661,52418
26661,52419
26661,52420
26661,52421
26661,52422
26661,52423
26661,52424
26661,52425
26661,52426
26661,52427
26661,52428
26661,52429
26661,52430
26661,52431
26661,52432
26661,52433
26661,52434
26661,52435
26661,52436
26661,52437
26661,52438
26661,52439
26661,52440
26661,52441
26661,52442
26661,52443
26661,52444
26661,52445
26661,52446
26661,52503
26661,52504
26661,52505
26661,52506
26661,52507
26661,52508
26661,52509
26661,52510
26661,52511
26661,52512
26661,52513
26661,52514
26661,52515
26661,52516
26661,52517
26662,52409
26662,52410
26662,52411
26662,52412
26662,52413
26662,52414
26662,52415
26662,52416
26662,52417
26662,52418
26662,52419
26662,52420
26662,52421
26662,52422
26662,52423
26662,52424
26662,52425
26662,52426
26662,52427
26662,52428
26662,52429
26662,52430
26662,52431
26662,52432
26662,52433
26662,52434
26662,52435
26662,52436
26662,52437
26662,52438
26662,52439
26662,52440
26662,52441
26662,52442
26662,52443
26662,52444
26662,52445
26662,52446
26662,52447
26662,52493
26662,52494
26662,52498
26662,52499
26662,52500
26662,52501
26662,52502
26662,52503
