y_tile,x_tile
24440,53539
24440,53540
24441,53537
24441,53538
24441,53539
24441,53540
24441,53541
24441,53542
24441,53543
24441,53544
24442,53526
24442,53527
24442,53528
24442,53529
24442,53532
24442,53533
24442,53534
24442,53535
24442,53536
24442,53537
24442,53538
24442,53539
24442,53540
24442,53541
24442,53542
24442,53543
24442,53544
24442,53545
24442,53546
24442,53547
24443,53525
24443,53526
24443,53527
24443,53528
24443,53529
24443,53530
24443,53531
24443,53532
24443,53533
24443,53534
24443,53535
24443,53536
24443,53537
24443,53538
24443,53539
24443,53540
24443,53541
24443,53542
24443,53543
24443,53544
24443,53545
24443,53546
24443,53547
24443,53548
24443,53549
24443,53550
24443,53551
24444,53524
24444,53525
24444,53526
24444,53527
24444,53528
24444,53529
24444,53530
24444,53531
24444,53532
24444,53533
24444,53534
24444,53535
24444,53536
24444,53537
24444,53538
24444,53539
24444,53540
24444,53541
24444,53542
24444,53543
24444,53544
24444,53545
24444,53546
24444,53547
24444,53548
24444,53549
24444,53550
24444,53551
24444,53552
24444,53553
24444,53554
24444,53555
24445,53521
24445,53522
24445,53523
24445,53524
24445,53525
24445,53526
24445,53527
24445,53528
24445,53529
24445,53530
24445,53531
24445,53532
24445,53533
24445,53534
24445,53535
24445,53536
24445,53537
24445,53538
24445,53539
24445,53540
24445,53541
24445,53542
24445,53543
24445,53544
24445,53545
24445,53546
24445,53547
24445,53548
24445,53549
24445,53550
24445,53551
24445,53552
24445,53553
24445,53554
24445,53555
24445,53556
24445,53557
24445,53558
24446,53520
24446,53521
24446,53522
24446,53523
24446,53524
24446,53525
24446,53526
24446,53527
24446,53528
24446,53529
24446,53530
24446,53531
24446,53532
24446,53533
24446,53534
24446,53535
24446,53536
24446,53537
24446,53538
24446,53539
24446,53540
24446,53541
24446,53542
24446,53543
24446,53544
24446,53545
24446,53546
24446,53547
24446,53548
24446,53549
24446,53550
24446,53551
24446,53552
24446,53553
24446,53554
24446,53555
24446,53556
24446,53557
24446,53558
24446,53559
24447,53518
24447,53519
24447,53520
24447,53521
24447,53522
24447,53523
24447,53524
24447,53525
24447,53526
24447,53527
24447,53528
24447,53529
24447,53530
24447,53531
24447,53532
24447,53533
24447,53534
24447,53535
24447,53536
24447,53537
24447,53538
24447,53539
24447,53540
24447,53541
24447,53542
24447,53543
24447,53544
24447,53545
24447,53546
24447,53547
24447,53548
24447,53549
24447,53550
24447,53551
24447,53552
24447,53553
24447,53554
24447,53555
24447,53556
24447,53557
24447,53558
24447,53559
24447,53560
24448,53516
24448,53517
24448,53518
24448,53519
24448,53520
24448,53521
24448,53522
24448,53523
24448,53524
24448,53525
24448,53526
24448,53527
24448,53528
24448,53529
24448,53530
24448,53531
24448,53532
24448,53533
24448,53534
24448,53535
24448,53536
24448,53537
24448,53538
24448,53539
24448,53540
24448,53541
24448,53542
24448,53543
24448,53544
24448,53545
24448,53546
24448,53547
24448,53548
24448,53549
24448,53550
24448,53551
24448,53552
24448,53553
24448,53554
24448,53555
24448,53556
24448,53557
24448,53558
24448,53559
24449,53516
24449,53517
24449,53518
24449,53519
24449,53520
24449,53521
24449,53522
24449,53523
24449,53524
24449,53525
24449,53526
24449,53527
24449,53528
24449,53529
24449,53530
24449,53531
24449,53532
24449,53533
24449,53534
24449,53535
24449,53536
24449,53537
24449,53538
24449,53539
24449,53540
24449,53541
24449,53542
24449,53543
24449,53544
24449,53545
24449,53546
24449,53547
24449,53548
24449,53549
24449,53550
24449,53551
24449,53552
24449,53553
24449,53554
24449,53555
24449,53556
24449,53557
24449,53558
24450,53515
24450,53516
24450,53517
24450,53518
24450,53519
24450,53520
24450,53521
24450,53522
24450,53523
24450,53524
24450,53525
24450,53526
24450,53527
24450,53528
24450,53529
24450,53530
24450,53531
24450,53532
24450,53533
24450,53534
24450,53535
24450,53536
24450,53537
24450,53538
24450,53539
24450,53540
24450,53541
24450,53542
24450,53543
24450,53544
24450,53545
24450,53546
24450,53547
24450,53548
24450,53549
24450,53550
24450,53551
24450,53552
24450,53553
24450,53554
24450,53555
24450,53556
24450,53557
24450,53558
24451,53514
24451,53515
24451,53516
24451,53517
24451,53518
24451,53519
24451,53520
24451,53521
24451,53522
24451,53523
24451,53524
24451,53525
24451,53526
24451,53527
24451,53528
24451,53529
24451,53530
24451,53531
24451,53532
24451,53533
24451,53534
24451,53535
24451,53536
24451,53537
24451,53538
24451,53539
24451,53540
24451,53541
24451,53542
24451,53543
24451,53544
24451,53545
24451,53546
24451,53547
24451,53548
24451,53549
24451,53550
24451,53551
24451,53552
24451,53553
24451,53554
24451,53555
24451,53556
24451,53557
24452,53513
24452,53514
24452,53515
24452,53516
24452,53517
24452,53518
24452,53519
24452,53520
24452,53521
24452,53522
24452,53523
24452,53524
24452,53525
24452,53526
24452,53527
24452,53528
24452,53529
24452,53530
24452,53531
24452,53532
24452,53533
24452,53534
24452,53535
24452,53536
24452,53537
24452,53538
24452,53539
24452,53540
24452,53541
24452,53542
24452,53543
24452,53544
24452,53545
24452,53546
24452,53547
24452,53548
24452,53549
24452,53550
24452,53551
24452,53552
24452,53553
24452,53554
24452,53555
24452,53556
24453,53508
24453,53509
24453,53510
24453,53512
24453,53513
24453,53514
24453,53515
24453,53516
24453,53517
24453,53518
24453,53519
24453,53520
24453,53521
24453,53522
24453,53523
24453,53524
24453,53525
24453,53526
24453,53527
24453,53528
24453,53529
24453,53530
24453,53531
24453,53532
24453,53533
24453,53534
24453,53535
24453,53536
24453,53537
24453,53538
24453,53539
24453,53540
24453,53541
24453,53542
24453,53543
24453,53544
24453,53545
24453,53546
24453,53547
24453,53548
24453,53549
24453,53550
24453,53551
24453,53552
24453,53553
24453,53554
24453,53555
24453,53556
24454,53508
24454,53509
24454,53510
24454,53511
24454,53512
24454,53513
24454,53514
24454,53515
24454,53516
24454,53517
24454,53518
24454,53519
24454,53520
24454,53521
24454,53522
24454,53523
24454,53524
24454,53525
24454,53526
24454,53527
24454,53528
24454,53529
24454,53530
24454,53531
24454,53532
24454,53533
24454,53534
24454,53535
24454,53536
24454,53537
24454,53538
24454,53539
24454,53540
24454,53541
24454,53542
24454,53543
24454,53544
24454,53545
24454,53546
24454,53547
24454,53548
24454,53549
24454,53550
24454,53551
24454,53552
24454,53553
24454,53554
24454,53555
24454,53556
24454,53557
24455,53507
24455,53508
24455,53509
24455,53510
24455,53511
24455,53512
24455,53513
24455,53514
24455,53515
24455,53516
24455,53517
24455,53518
24455,53519
24455,53520
24455,53521
24455,53522
24455,53523
24455,53524
24455,53525
24455,53526
24455,53527
24455,53528
24455,53529
24455,53530
24455,53531
24455,53532
24455,53533
24455,53534
24455,53535
24455,53536
24455,53537
24455,53538
24455,53539
24455,53540
24455,53541
24455,53542
24455,53543
24455,53544
24455,53545
24455,53546
24455,53547
24455,53548
24455,53549
24455,53550
24455,53551
24455,53552
24455,53553
24455,53554
24455,53555
24455,53556
24455,53557
24456,53507
24456,53508
