y_tile,x_tile
26671,52710
26671,52711
26671,52712
26671,52715
26671,52716
26672,52651
26672,52652
26672,52706
26672,52707
26672,52708
26672,52709
26672,52710
26672,52711
26672,52712
26672,52713
26672,52714
26672,52715
26672,52716
26672,52717
26672,52718
26673,52651
26673,52652
26673,52653
26673,52654
26673,52655
26673,52686
26673,52687
26673,52688
26673,52689
26673,52690
26673,52691
26673,52692
26673,52693
26673,52694
26673,52697
26673,52698
26673,52699
26673,52700
26673,52701
26673,52703
26673,52704
26673,52705
26673,52706
26673,52707
26673,52708
26673,52709
26673,52710
26673,52711
26673,52712
26673,52713
26673,52714
26673,52715
26673,52716
26673,52717
26673,52718
26673,52719
26673,52720
26673,52727
26673,52728
26673,52729
26673,52730
26673,52734
26673,52735
26674,52652
26674,52653
26674,52654
26674,52655
26674,52656
26674,52657
26674,52658
26674,52659
26674,52660
26674,52661
26674,52662
26674,52663
26674,52686
26674,52687
26674,52688
26674,52689
26674,52690
26674,52691
26674,52692
26674,52693
26674,52694
26674,52695
26674,52696
26674,52697
26674,52698
26674,52699
26674,52700
26674,52701
26674,52702
26674,52703
26674,52704
26674,52705
26674,52706
26674,52707
26674,52708
26674,52709
26674,52710
26674,52711
26674,52712
26674,52713
26674,52714
26674,52715
26674,52716
26674,52717
26674,52718
26674,52719
26674,52720
26674,52721
26674,52724
26674,52725
26674,52726
26674,52727
26674,52728
26674,52729
26674,52730
26674,52731
26674,52732
26674,52733
26674,52734
26674,52735
26674,52736
26674,52737
26675,52651
26675,52652
26675,52653
26675,52654
26675,52655
26675,52656
26675,52657
26675,52658
26675,52659
26675,52660
26675,52661
26675,52662
26675,52663
26675,52664
26675,52665
26675,52666
26675,52667
26675,52668
26675,52686
26675,52687
26675,52688
26675,52689
26675,52690
26675,52691
26675,52692
26675,52693
26675,52694
26675,52695
26675,52696
26675,52697
26675,52698
26675,52699
26675,52700
26675,52701
26675,52702
26675,52703
26675,52704
26675,52705
26675,52706
26675,52707
26675,52708
26675,52709
26675,52710
26675,52711
26675,52712
26675,52713
26675,52714
26675,52715
26675,52716
26675,52717
26675,52718
26675,52719
26675,52720
26675,52721
26675,52722
26675,52723
26675,52724
26675,52725
26675,52726
26675,52727
26675,52728
26675,52729
26675,52730
26675,52731
26675,52732
26675,52733
26675,52734
26675,52735
26675,52736
26675,52737
26676,52622
26676,52634
26676,52635
26676,52636
26676,52637
26676,52651
26676,52652
26676,52653
26676,52654
26676,52655
26676,52656
26676,52657
26676,52658
26676,52659
26676,52660
26676,52661
26676,52662
26676,52663
26676,52664
26676,52665
26676,52666
26676,52667
26676,52668
26676,52669
26676,52670
26676,52671
26676,52672
26676,52673
26676,52674
26676,52675
26676,52676
26676,52677
26676,52678
26676,52679
26676,52680
26676,52681
26676,52682
26676,52683
26676,52684
26676,52685
26676,52686
26676,52687
26676,52688
26676,52689
26676,52690
26676,52691
26676,52692
26676,52693
26676,52694
26676,52695
26676,52696
26676,52697
26676,52698
26676,52699
26676,52700
26676,52701
26676,52702
26676,52703
26676,52704
26676,52705
26676,52706
26676,52707
26676,52708
26676,52709
26676,52710
26676,52711
26676,52712
26676,52713
26676,52714
26676,52715
26676,52716
26676,52717
26676,52718
26676,52719
26676,52720
26676,52721
26676,52722
26676,52723
26676,52724
26676,52725
26676,52726
26676,52727
26676,52728
26676,52729
26676,52730
26676,52731
26676,52732
26676,52733
26676,52734
26676,52735
26676,52736
26676,52737
26676,52738
26676,52739
26677,52620
