y_tile,x_tile
27470,51501
27470,51502
27470,51503
27470,51504
27470,51505
27470,51506
27471,51500
27471,51501
27471,51502
27471,51503
27471,51504
27471,51505
27471,51506
27471,51507
27471,51508
27472,51498
27472,51499
27472,51500
27472,51501
27472,51502
27472,51503
27472,51504
27472,51505
27472,51506
27472,51507
27472,51508
27472,51509
27473,51497
27473,51498
27473,51499
27473,51500
27473,51501
27473,51502
27473,51503
27473,51504
27473,51505
27473,51506
27473,51507
27473,51508
27473,51509
27473,51510
27473,51511
27474,51496
27474,51497
27474,51498
27474,51499
27474,51500
27474,51501
27474,51502
27474,51503
27474,51504
27474,51505
27474,51506
27474,51507
27474,51508
27474,51509
27474,51510
27474,51511
27474,51512
27475,51496
27475,51497
27475,51498
27475,51499
27475,51500
27475,51501
27475,51502
27475,51503
27475,51504
27475,51505
27475,51506
27475,51507
27475,51508
27475,51509
27475,51510
27475,51511
27475,51512
27475,51513
27476,51496
27476,51497
27476,51498
27476,51499
27476,51500
27476,51501
27476,51502
27476,51503
27476,51504
27476,51505
27476,51506
27476,51507
27476,51508
27476,51509
27476,51510
27476,51511
27476,51512
27476,51513
27477,51496
27477,51497
27477,51498
27477,51499
27477,51500
27477,51501
27477,51502
27477,51503
27477,51504
27477,51505
27477,51506
27477,51507
27477,51508
27477,51509
27477,51510
27477,51511
27477,51512
27477,51513
27477,51514
27478,51497
27478,51498
27478,51499
27478,51500
27478,51501
27478,51502
27478,51503
27478,51504
27478,51505
27478,51506
27478,51507
27478,51508
27478,51509
27478,51510
27478,51511
27478,51512
27478,51513
27478,51514
27479,51496
27479,51497
27479,51498
27479,51499
27479,51500
27479,51501
27479,51502
27479,51503
27479,51504
27479,51505
27479,51506
27479,51507
27479,51508
27479,51509
27479,51510
27479,51511
27479,51512
27479,51513
27479,51514
27480,51496
27480,51497
27480,51498
27480,51499
27480,51500
27480,51501
27480,51502
27480,51503
27480,51504
27480,51505
27480,51506
27480,51507
27480,51508
27480,51509
27480,51510
27480,51511
27480,51512
27480,51513
27480,51514
27481,51496
27481,51497
27481,51498
27481,51499
27481,51500
27481,51501
27481,51502
27481,51503
27481,51504
27481,51505
27481,51506
27481,51507
27481,51508
27481,51509
27481,51510
27481,51511
27481,51512
27481,51513
27481,51514
27482,51497
27482,51498
27482,51499
27482,51500
27482,51501
27482,51502
27482,51503
27482,51504
27482,51505
27482,51506
27482,51507
27482,51508
27482,51509
27482,51510
27482,51511
27482,51512
27482,51513
27482,51514
27483,51497
27483,51498
27483,51499
27483,51500
27483,51501
27483,51502
27483,51503
27483,51504
27483,51505
27483,51506
27483,51507
27483,51508
27483,51509
27483,51510
27483,51511
27483,51512
27483,51513
27483,51514
27483,51515
27484,51497
27484,51498
27484,51499
27484,51500
27484,51501
27484,51502
27484,51503
27484,51504
27484,51505
27484,51506
27484,51507
27484,51508
27484,51509
27484,51510
27484,51511
27484,51512
27484,51513
27484,51514
27484,51515
27484,51516
27485,51497
27485,51498
27485,51499
27485,51500
27485,51501
27485,51502
27485,51503
27485,51504
27485,51505
27485,51506
27485,51507
27485,51508
27485,51509
27485,51510
27485,51511
27485,51512
27485,51513
27485,51514
27485,51515
27485,51516
27486,51497
27486,51498
27486,51499
27486,51500
27486,51501
27486,51502
27486,51503
27486,51504
27486,51505
27486,51506
27486,51507
27486,51508
27486,51509
27486,51510
27486,51511
27486,51512
27486,51513
27486,51514
27486,51515
27486,51516
27486,51517
27487,51496
27487,51497
27487,51498
27487,51499
27487,51500
27487,51501
27487,51502
27487,51503
27487,51504
27487,51505
27487,51506
27487,51507
27487,51508
27487,51509
27487,51510
27487,51511
27487,51512
27487,51513
27487,51514
27487,51515
27487,51516
27487,51517
27488,51497
27488,51498
27488,51499
27488,51500
27488,51501
27488,51502
27488,51503
27488,51504
27488,51505
27488,51506
27488,51507
27488,51508
27488,51509
27488,51510
27488,51511
27488,51512
27488,51513
27488,51514
27488,51515
27488,51516
27488,51517
27489,51498
27489,51499
27489,51500
27489,51501
27489,51502
27489,51503
27489,51504
27489,51505
27489,51506
27489,51507
27489,51508
27489,51509
27489,51510
27489,51511
27489,51512
27489,51513
27489,51514
27489,51515
27489,51516
27489,51517
27489,51518
27490,51469
27490,51497
27490,51498
27490,51499
27490,51500
27490,51501
27490,51502
27490,51503
27490,51504
27490,51505
27490,51506
27490,51507
27490,51508
27490,51509
27490,51510
27490,51511
27490,51512
27490,51513
27490,51514
27490,51515
27490,51516
27490,51517
27490,51518
27491,51468
27491,51469
27491,51470
27491,51471
27491,51472
27491,51495
27491,51496
27491,51497
27491,51498
27491,51499
27491,51500
27491,51501
27491,51502
27491,51503
27491,51504
27491,51505
27491,51506
27491,51507
27491,51508
27491,51509
27491,51510
27491,51511
27491,51512
27491,51513
27491,51514
27491,51515
27491,51516
27491,51517
27491,51518
27492,51468
27492,51469
27492,51470
27492,51471
27492,51472
27492,51473
27492,51474
27492,51475
27492,51476
27492,51477
27492,51478
27492,51479
27492,51480
27492,51481
27492,51482
27492,51483
27492,51484
27492,51493
27492,51494
27492,51495
27492,51496
27492,51497
27492,51498
27492,51499
27492,51500
27492,51501
27492,51502
27492,51503
27492,51504
27492,51505
27492,51506
27492,51507
27492,51508
27492,51509
27492,51510
27492,51511
27492,51512
27492,51513
27492,51514
27492,51515
27492,51516
27492,51517
27492,51518
27493,51467
27493,51468
27493,51469
27493,51470
27493,51471
27493,51472
27493,51473
27493,51474
27493,51475
27493,51476
27493,51477
27493,51478
27493,51479
27493,51480
27493,51481
27493,51482
27493,51483
27493,51484
27493,51485
27493,51492
27493,51493
27493,51494
27493,51495
27493,51496
27493,51497
27493,51498
27493,51499
27493,51500
27493,51501
27493,51502
27493,51503
27493,51504
27493,51505
27493,51506
27493,51507
27493,51508
27493,51509
27493,51510
27493,51511
