y_tile,x_tile
25817,51654
25817,51655
25818,51653
25818,51654
25818,51655
25818,51656
25819,51652
25819,51653
25819,51654
25819,51655
25819,51656
25819,51657
25820,51651
25820,51652
25820,51653
25820,51654
25820,51655
25820,51656
25820,51657
25820,51658
25820,51659
25821,51650
25821,51651
25821,51652
25821,51653
25821,51654
25821,51655
25821,51656
25821,51657
25821,51658
25821,51659
25822,51649
25822,51650
25822,51651
25822,51652
25822,51653
25822,51654
25822,51655
25822,51656
25822,51657
25822,51658
25822,51659
25822,51660
25823,51648
25823,51649
25823,51650
25823,51651
25823,51652
25823,51653
25823,51654
25823,51655
25823,51656
25823,51657
25823,51658
25823,51659
25823,51660
25824,51647
25824,51648
25824,51649
25824,51650
25824,51651
25824,51652
25824,51653
25824,51654
25824,51655
25824,51656
25824,51657
25824,51658
25824,51659
25824,51660
25824,51661
25825,51647
25825,51648
25825,51649
25825,51650
25825,51651
25825,51652
25825,51653
25825,51654
25825,51655
25825,51656
25825,51657
25825,51658
25825,51659
25825,51660
25825,51661
25826,51647
25826,51648
25826,51649
25826,51650
25826,51651
25826,51652
25826,51653
25826,51654
25826,51655
25826,51656
25826,51657
25826,51658
25826,51659
25826,51660
25826,51661
25827,51647
25827,51648
25827,51649
25827,51650
25827,51651
25827,51652
25827,51653
25827,51654
25827,51655
25827,51656
25827,51657
25827,51658
25827,51659
25827,51660
25827,51661
25827,51662
25828,51648
25828,51649
25828,51650
25828,51651
25828,51652
25828,51653
25828,51654
25828,51655
25828,51656
25828,51657
25828,51658
25828,51659
25828,51660
25828,51661
25828,51662
25829,51648
25829,51649
25829,51650
25829,51651
25829,51652
25829,51653
25829,51654
25829,51655
25829,51656
25829,51657
25829,51658
25829,51659
25829,51660
25829,51661
25829,51662
25830,51648
25830,51649
25830,51650
25830,51651
25830,51652
25830,51653
25830,51654
25830,51655
25830,51656
25830,51657
25830,51658
25830,51659
25830,51660
25830,51661
25830,51662
25831,51648
25831,51649
25831,51650
25831,51651
25831,51652
25831,51653
25831,51654
25831,51655
25831,51656
25831,51657
25831,51658
25831,51659
25831,51660
25831,51661
25831,51662
25832,51649
25832,51650
25832,51651
25832,51652
25832,51653
25832,51654
25832,51655
25832,51656
25832,51657
25832,51658
25832,51659
25832,51660
25832,51661
25832,51662
25832,51663
25833,51649
25833,51650
25833,51651
25833,51652
25833,51653
25833,51654
25833,51655
25833,51656
25833,51657
25833,51658
25833,51659
25833,51660
25833,51661
25833,51662
25833,51663
25834,51649
25834,51650
25834,51651
25834,51652
25834,51653
25834,51654
25834,51655
25834,51656
25834,51657
25834,51658
25834,51659
25834,51660
25834,51661
25834,51662
25834,51663
25834,51664
25835,51648
25835,51649
25835,51650
25835,51651
25835,51652
25835,51653
25835,51654
25835,51655
25835,51656
25835,51657
25835,51658
25835,51659
25835,51660
25835,51661
25835,51662
25835,51663
25835,51664
25836,51647
25836,51648
25836,51649
25836,51650
25836,51651
25836,51652
25836,51653
25836,51654
25836,51655
25836,51656
25836,51657
25836,51658
25836,51659
25836,51660
25836,51661
25836,51662
25836,51663
25836,51664
25836,51665
25837,51644
25837,51645
25837,51646
25837,51647
25837,51648
25837,51649
25837,51650
25837,51651
25837,51652
25837,51653
25837,51654
25837,51655
25837,51656
25837,51657
25837,51658
25837,51659
25837,51660
25837,51661
25837,51662
25837,51663
25837,51664
25837,51665
25838,51639
25838,51640
25838,51641
25838,51642
25838,51643
25838,51644
25838,51645
25838,51646
25838,51647
25838,51648
25838,51649
25838,51650
25838,51651
25838,51652
25838,51653
25838,51654
25838,51655
25838,51656
25838,51657
25838,51658
25838,51659
25838,51660
25838,51661
25838,51662
25838,51663
25838,51664
25838,51665
25839,51636
25839,51637
25839,51638
25839,51639
25839,51640
25839,51641
25839,51642
25839,51643
25839,51644
25839,51645
25839,51646
25839,51647
25839,51648
25839,51649
25839,51650
25839,51651
25839,51652
25839,51653
25839,51654
25839,51655
25839,51656
25839,51657
25839,51658
25839,51659
25839,51660
25839,51661
25839,51662
25839,51663
25839,51664
25839,51665
25839,51666
25839,51667
25839,51668
25840,51633
25840,51634
25840,51635
25840,51636
25840,51637
25840,51638
25840,51639
25840,51640
25840,51641
25840,51642
25840,51643
25840,51644
25840,51645
25840,51646
25840,51647
25840,51648
25840,51649
25840,51650
25840,51651
25840,51652
25840,51653
25840,51654
25840,51655
25840,51656
25840,51657
25840,51658
25840,51659
25840,51660
25840,51661
25840,51662
25840,51663
25840,51664
25840,51665
25840,51666
25840,51667
25840,51668
25841,51631
25841,51632
25841,51633
25841,51634
25841,51635
25841,51636
25841,51637
25841,51638
25841,51639
25841,51640
25841,51641
25841,51642
25841,51643
25841,51644
25841,51645
25841,51646
25841,51647
25841,51648
25841,51649
25841,51650
25841,51651
25841,51652
25841,51653
25841,51654
25841,51655
25841,51656
25841,51657
25841,51658
25841,51659
25841,51660
25841,51661
25841,51662
25841,51663
25841,51664
25841,51665
25841,51666
25841,51667
25841,51668
25841,51669
25842,51629
25842,51630
25842,51631
25842,51632
25842,51633
25842,51634
25842,51635
25842,51636
25842,51637
25842,51638
25842,51639
25842,51640
25842,51641
25842,51642
25842,51643
25842,51644
25842,51645
25842,51646
25842,51647
25842,51648
25842,51649
25842,51650
25842,51651
25842,51652
25842,51653
25842,51654
25842,51655
25842,51656
25842,51657
25842,51658
25842,51659
25842,51660
25842,51661
25842,51662
25842,51663
25842,51664
25842,51665
25842,51666
25842,51667
25842,51668
25842,51669
25843,51627
25843,51628
25843,51629
25843,51630
25843,51631
25843,51632
25843,51633
25843,51634
25843,51635
25843,51636
25843,51637
25843,51638
25843,51639
25843,51640
25843,51641
25843,51642
25843,51643
25843,51644
25843,51645
25843,51646
25843,51647
25843,51648
25843,51649
25843,51650
25843,51651
25843,51652
25843,51653
25843,51654
25843,51655
25843,51656
25843,51657
25843,51658
25843,51659
25843,51660
25843,51661
25843,51662
25843,51663
25843,51664
25843,51665
25843,51666
25843,51667
25843,51668
25843,51669
25844,51617
25844,51618
25844,51619
25844,51620
25844,51621
25844,51622
25844,51623
25844,51624
25844,51625
25844,51626
25844,51627
25844,51628
25844,51629
25844,51630
25844,51631
25844,51632
25844,51633
25844,51634
25844,51635
25844,51636
25844,51637
25844,51638
25844,51639
25844,51640
25844,51641
25844,51642
25844,51643
25844,51644
25844,51645
25844,51646
25844,51647
25844,51648
25844,51649
25844,51650
25844,51651
25844,51652
25844,51653
25844,51654
25844,51655
25844,51656
25844,51657
25844,51658
25844,51659
25844,51660
25844,51661
25844,51662
25844,51663
25844,51664
25844,51665
25844,51666
25844,51667
25844,51668
25844,51669
25845,51604
25845,51605
25845,51606
25845,51607
25845,51608
25845,51609
25845,51614
25845,51615
25845,51616
25845,51617
25845,51618
25845,51619
25845,51620
25845,51621
25845,51622
25845,51623
25845,51624
25845,51625
25845,51626
25845,51627
25845,51628
25845,51629
25845,51630
25845,51631
25845,51632
25845,51633
25845,51634
25845,51635
25845,51636
25845,51637
25845,51638
25845,51639
25845,51640
25845,51641
25845,51642
25845,51643
25845,51644
25845,51645
25845,51646
25845,51647
25845,51648
25845,51649
25845,51650
25845,51651
25845,51652
25845,51653
25845,51654
25845,51655
25845,51656
25845,51657
25845,51658
25845,51659
25845,51660
25845,51661
25845,51662
25845,51663
25845,51664
25845,51665
25845,51666
25845,51667
25845,51668
25845,51669
25845,51670
25846,51601
25846,51602
25846,51603
25846,51604
25846,51605
25846,51606
25846,51607
25846,51608
25846,51609
25846,51610
25846,51611
25846,51612
25846,51613
25846,51614
25846,51615
25846,51616
25846,51617
25846,51618
25846,51619
25846,51620
25846,51621
25846,51622
25846,51623
25846,51624
25846,51625
25846,51626
25846,51627
25846,51628
25846,51629
25846,51630
25846,51631
25846,51632
25846,51633
25846,51634
25846,51635
25846,51636
25846,51637
25846,51638
25846,51639
25846,51640
25846,51641
25846,51642
25846,51643
25846,51644
25846,51645
25846,51646
25846,51647
25846,51648
25846,51649
25846,51650
25846,51651
25846,51652
25846,51653
25846,51654
25846,51655
25846,51656
25846,51657
25846,51658
25846,51659
25846,51660
25846,51661
25846,51662
25846,51663
25846,51664
25846,51665
25846,51666
25846,51667
25846,51668
25846,51669
25846,51670
25846,51671
25846,51672
25846,51673
25847,51598
25847,51599
25847,51600
25847,51601
25847,51602
25847,51603
25847,51604
25847,51605
25847,51606
25847,51607
25847,51608
25847,51609
25847,51610
25847,51611
25847,51612
25847,51613
25847,51614
25847,51615
25847,51616
25847,51617
25847,51618
25847,51619
25847,51620
25847,51621
