y_tile,x_tile
24827,53521
24827,53522
24827,53523
24827,53524
24827,53525
24828,53520
24828,53521
24828,53522
24828,53523
24828,53524
24828,53525
24828,53526
24829,53518
24829,53519
24829,53520
24829,53521
24829,53522
24829,53523
24829,53524
24829,53525
24829,53526
24829,53527
24829,53530
24829,53531
24829,53532
24829,53533
24829,53534
24829,53559
24830,53516
24830,53517
24830,53518
24830,53519
24830,53520
24830,53521
24830,53522
24830,53523
24830,53524
24830,53525
24830,53526
24830,53527
24830,53528
24830,53529
24830,53530
24830,53531
24830,53532
24830,53533
24830,53534
24830,53535
24830,53558
24830,53559
24830,53560
24830,53561
24831,53515
24831,53516
24831,53517
24831,53518
24831,53519
24831,53520
24831,53521
24831,53522
24831,53523
24831,53524
24831,53525
24831,53526
24831,53527
24831,53528
24831,53529
24831,53530
24831,53531
24831,53532
24831,53533
24831,53534
24831,53535
24831,53536
24831,53537
24831,53538
24831,53539
24831,53540
24831,53541
24831,53542
24831,53558
24831,53559
24831,53560
24831,53561
24832,53514
24832,53515
24832,53516
24832,53517
24832,53518
24832,53519
24832,53520
24832,53521
24832,53522
24832,53523
24832,53524
24832,53525
24832,53526
24832,53527
24832,53528
24832,53529
24832,53530
24832,53531
24832,53532
24832,53533
24832,53534
24832,53535
24832,53536
24832,53537
24832,53538
24832,53539
24832,53540
24832,53541
24832,53542
24832,53543
24832,53544
24832,53545
24832,53555
24832,53556
24832,53557
24832,53558
24832,53559
24832,53560
24832,53561
24832,53562
24833,53513
24833,53514
24833,53515
24833,53516
24833,53517
24833,53518
24833,53519
24833,53520
24833,53521
24833,53522
24833,53523
24833,53524
24833,53525
24833,53526
24833,53527
24833,53528
24833,53529
24833,53530
24833,53531
24833,53532
24833,53533
24833,53534
24833,53535
24833,53536
24833,53537
24833,53538
24833,53539
24833,53540
24833,53541
24833,53542
24833,53543
24833,53544
24833,53545
24833,53546
24833,53547
24833,53548
24833,53554
24833,53555
24833,53556
24833,53557
24833,53558
24833,53559
24833,53560
24833,53561
24833,53562
24834,53513
24834,53514
24834,53515
24834,53516
24834,53517
24834,53518
24834,53519
24834,53520
24834,53521
24834,53522
24834,53523
24834,53524
24834,53525
24834,53526
24834,53527
24834,53528
24834,53529
24834,53530
24834,53531
24834,53532
24834,53533
24834,53534
24834,53535
24834,53536
24834,53537
24834,53538
24834,53539
24834,53540
24834,53541
24834,53542
24834,53543
24834,53544
24834,53545
24834,53546
24834,53547
24834,53548
24834,53549
24834,53550
24834,53551
24834,53552
24834,53553
24834,53554
24834,53555
24834,53556
24834,53557
24834,53558
24834,53559
24834,53560
24834,53561
24834,53562
24835,53512
24835,53513
24835,53514
24835,53515
24835,53516
24835,53517
24835,53518
24835,53519
24835,53520
24835,53521
24835,53522
24835,53523
24835,53524
24835,53525
24835,53526
24835,53527
24835,53528
24835,53529
24835,53530
24835,53531
24835,53532
24835,53533
24835,53534
24835,53535
24835,53536
24835,53537
24835,53538
24835,53539
24835,53540
24835,53541
24835,53542
24835,53543
24835,53544
24835,53545
24835,53546
24835,53547
24835,53548
24835,53549
24835,53550
24835,53551
24835,53552
24835,53553
24835,53554
24835,53555
24835,53556
24835,53557
24835,53558
24835,53559
24835,53560
24835,53561
24835,53562
24836,53512
24836,53513
24836,53514
24836,53515
24836,53516
24836,53517
24836,53518
24836,53519
24836,53520
24836,53521
24836,53522
24836,53523
24836,53524
24836,53525
24836,53526
24836,53527
24836,53528
24836,53529
24836,53530
24836,53531
24836,53532
24836,53533
24836,53534
24836,53535
24836,53536
24836,53537
24836,53538
24836,53539
24836,53540
24836,53541
24836,53542
24836,53543
24836,53544
24836,53545
24836,53546
24836,53547
24836,53548
24836,53549
24836,53550
