y_tile,x_tile
26603,54697
26603,54698
26604,54696
26604,54697
26604,54698
26604,54699
26604,54700
26604,54701
26604,54702
26604,54703
26604,54704
26604,54705
26605,54694
26605,54695
26605,54696
26605,54697
26605,54698
26605,54699
26605,54700
26605,54701
26605,54702
26605,54703
26605,54704
26605,54705
26605,54706
26606,54692
26606,54693
26606,54694
26606,54695
26606,54696
26606,54697
26606,54698
26606,54699
26606,54700
26606,54701
26606,54702
26606,54703
26606,54704
26606,54705
26606,54706
26606,54707
26606,54708
26607,54690
26607,54691
26607,54692
26607,54693
26607,54694
26607,54695
26607,54696
26607,54697
26607,54698
26607,54699
26607,54700
26607,54701
26607,54702
26607,54703
26607,54704
26607,54705
26607,54706
26607,54707
26607,54708
26607,54709
26607,54710
26608,54689
26608,54690
26608,54691
26608,54692
26608,54693
26608,54694
26608,54695
26608,54696
26608,54697
26608,54698
26608,54699
26608,54700
26608,54701
26608,54702
26608,54703
26608,54704
26608,54705
26608,54706
26608,54707
26608,54708
26608,54709
26608,54710
26608,54711
26608,54712
26608,54713
26609,54687
26609,54688
26609,54689
26609,54690
26609,54691
26609,54692
26609,54693
26609,54694
26609,54695
26609,54696
26609,54697
26609,54698
26609,54699
26609,54700
26609,54701
26609,54702
26609,54703
26609,54704
26609,54705
26609,54706
26609,54707
26609,54708
26609,54709
26609,54710
26609,54711
26609,54712
26609,54713
26609,54714
26609,54715
26609,54716
26609,54747
26609,54748
26609,54749
26609,54750
26609,54751
26609,54752
26609,54753
26609,54754
26609,54755
26610,54685
26610,54686
26610,54687
26610,54688
26610,54689
26610,54690
26610,54691
26610,54692
26610,54693
26610,54694
26610,54695
26610,54696
26610,54697
26610,54698
26610,54699
26610,54700
26610,54701
26610,54702
26610,54703
26610,54704
26610,54705
26610,54706
26610,54707
26610,54708
26610,54709
26610,54710
26610,54711
26610,54712
26610,54713
26610,54714
26610,54715
26610,54716
26610,54717
26610,54718
26610,54740
26610,54741
26610,54742
26610,54743
26610,54744
26610,54745
26610,54746
26610,54747
26610,54748
26610,54749
26610,54750
26610,54751
26610,54752
26610,54753
26610,54754
26610,54755
26611,54684
26611,54685
26611,54686
26611,54687
26611,54688
26611,54689
26611,54690
26611,54691
26611,54692
26611,54693
26611,54694
26611,54695
26611,54696
26611,54697
26611,54698
26611,54699
26611,54700
26611,54701
26611,54702
26611,54703
26611,54704
26611,54705
26611,54706
26611,54707
26611,54708
26611,54709
26611,54710
26611,54711
26611,54712
26611,54713
26611,54714
26611,54715
26611,54716
26611,54717
26611,54718
26611,54719
26611,54720
26611,54721
26611,54722
26611,54736
26611,54737
26611,54738
26611,54739
26611,54740
26611,54741
26611,54742
26611,54743
26611,54744
26611,54745
26611,54746
26611,54747
26611,54748
26611,54749
26611,54750
26611,54751
26611,54752
26611,54753
26611,54754
26611,54755
26611,54756
26612,54683
26612,54684
26612,54685
26612,54686
26612,54687
26612,54688
26612,54689
26612,54690
26612,54691
26612,54692
26612,54693
26612,54694
26612,54695
26612,54696
26612,54697
26612,54698
26612,54699
26612,54700
26612,54701
26612,54702
26612,54703
26612,54704
26612,54705
26612,54706
26612,54707
26612,54708
26612,54709
26612,54710
26612,54711
26612,54712
26612,54713
26612,54714
26612,54715
26612,54716
26612,54717
26612,54718
26612,54719
26612,54720
26612,54721
26612,54722
26612,54723
26612,54724
26612,54725
26612,54726
26612,54732
26612,54733
26612,54734
26612,54735
26612,54736
26612,54737
26612,54738
26612,54739
26612,54740
26612,54741
26612,54742
26612,54743
26612,54744
26612,54745
26612,54746
26612,54747
26612,54748
26612,54749
26612,54750
26612,54751
26612,54752
26612,54753
26612,54754
26612,54755
26612,54756
26613,54682
26613,54683
26613,54684
26613,54685
26613,54686
26613,54687
26613,54688
26613,54689
26613,54690
26613,54691
26613,54692
26613,54693
26613,54694
26613,54695
26613,54696
26613,54697
26613,54698
26613,54699
26613,54700
26613,54701
26613,54702
26613,54703
26613,54704
26613,54705
26613,54706
26613,54707
26613,54708
26613,54709
26613,54710
26613,54711
26613,54712
26613,54713
26613,54714
26613,54715
26613,54716
26613,54717
26613,54718
26613,54719
26613,54720
26613,54721
26613,54722
26613,54723
26613,54724
26613,54725
26613,54726
26613,54727
26613,54728
26613,54729
26613,54730
26613,54731
26613,54732
26613,54733
26613,54734
26613,54735
26613,54736
26613,54737
26613,54738
26613,54739
26613,54740
26613,54741
26613,54742
26613,54743
26613,54744
26613,54745
26613,54746
26613,54747
26613,54748
26613,54749
26613,54750
26613,54751
26613,54752
26613,54753
26613,54754
26613,54755
26613,54756
26613,54757
26614,54681
26614,54682
26614,54683
26614,54684
26614,54685
26614,54686
26614,54687
26614,54688
26614,54689
26614,54690
26614,54691
26614,54692
26614,54693
26614,54694
26614,54695
26614,54696
26614,54697
26614,54698
26614,54699
26614,54700
26614,54701
26614,54702
26614,54703
26614,54704
26614,54705
26614,54706
26614,54707
26614,54708
26614,54709
26614,54710
26614,54711
26614,54712
26614,54713
26614,54714
26614,54715
26614,54716
26614,54717
26614,54718
26614,54719
26614,54720
26614,54721
26614,54722
26614,54723
26614,54724
26614,54725
26614,54726
26614,54727
26614,54728
26614,54729
26614,54730
26614,54731
26614,54732
26614,54733
26614,54734
26614,54735
26614,54736
26614,54737
26614,54738
26614,54739
26614,54740
26614,54741
26614,54742
26614,54743
26614,54744
26614,54745
26614,54746
26614,54747
26614,54748
26614,54749
26614,54750
26614,54751
26614,54752
26614,54753
26614,54754
26614,54755
26614,54756
26614,54757
26614,54758
26615,54680
26615,54681
26615,54682
26615,54683
26615,54684
26615,54685
26615,54686
26615,54687
26615,54688
26615,54689
26615,54690
26615,54691
26615,54692
26615,54693
26615,54694
26615,54695
26615,54696
26615,54697
26615,54698
26615,54699
26615,54700
26615,54701
26615,54702
26615,54703
26615,54704
26615,54705
26615,54706
26615,54707
26615,54708
26615,54709
26615,54710
26615,54711
26615,54712
26615,54713
26615,54714
26615,54715
26615,54716
26615,54717
26615,54718
26615,54719
26615,54720
26615,54721
26615,54722
26615,54723
26615,54724
26615,54725
26615,54726
26615,54727
26615,54728
26615,54729
26615,54730
26615,54731
26615,54732
26615,54733
26615,54734
26615,54735
26615,54736
26615,54737
26615,54738
26615,54739
26615,54740
26615,54741
26615,54742
26615,54743
26615,54744
26615,54745
26615,54746
26615,54747
26615,54748
26615,54749
26615,54750
26615,54751
26615,54752
26615,54753
26615,54754
26615,54755
26615,54756
26615,54757
26615,54758
26615,54759
26616,54680
26616,54681
26616,54682
26616,54683
26616,54684
26616,54685
26616,54686
26616,54687
26616,54688
26616,54689
26616,54690
26616,54691
26616,54692
26616,54693
26616,54694
26616,54695
26616,54696
26616,54697
26616,54698
26616,54699
26616,54700
26616,54701
26616,54702
26616,54703
26616,54704
26616,54705
26616,54706
26616,54707
26616,54708
26616,54709
26616,54710
26616,54711
26616,54712
26616,54713
26616,54714
26616,54715
26616,54716
26616,54717
26616,54718
26616,54719
26616,54720
26616,54721
26616,54722
26616,54723
26616,54724
26616,54725
26616,54726
26616,54727
26616,54728
26616,54729
26616,54730
26616,54731
26616,54732
26616,54733
26616,54734
26616,54735
26616,54736
26616,54737
26616,54738
26616,54739
26616,54740
26616,54741
26616,54742
26616,54743
26616,54744
26616,54745
26616,54746
26616,54747
26616,54748
26616,54749
26616,54750
26616,54751
26616,54752
26616,54753
26616,54754
26616,54755
26616,54756
26616,54757
26616,54758
26616,54759
26617,54680
26617,54681
26617,54682
26617,54683
26617,54684
26617,54685
26617,54686
26617,54687
26617,54688
26617,54689
26617,54690
26617,54691
26617,54692
26617,54693
26617,54694
26617,54695
26617,54696
26617,54697
26617,54698
26617,54699
26617,54700
26617,54701
26617,54702
26617,54703
26617,54704
26617,54705
26617,54706
26617,54707
26617,54708
26617,54709
26617,54710
26617,54711
26617,54712
26617,54713
26617,54714
26617,54715
26617,54716
26617,54717
26617,54718
26617,54719
26617,54720
26617,54721
26617,54722
