y_tile,x_tile
27423,52463
27423,52464
27423,52465
27424,52462
27424,52463
27424,52464
27424,52465
27424,52466
27424,52467
27424,52468
27425,52461
27425,52462
27425,52463
27425,52464
27425,52465
27425,52466
27425,52467
27425,52468
27426,52461
27426,52462
27426,52463
27426,52464
27426,52465
27426,52466
27426,52467
27426,52468
27427,52461
27427,52462
27427,52463
27427,52464
27427,52465
27427,52466
27427,52467
27428,52460
27428,52461
27428,52462
27428,52463
27428,52464
27428,52465
27428,52466
27428,52467
27429,52460
27429,52461
27429,52462
27429,52463
27429,52464
27429,52465
27429,52466
27429,52467
27430,52450
27430,52451
27430,52452
27430,52453
27430,52454
27430,52460
27430,52461
27430,52462
27430,52463
27430,52464
27430,52465
27430,52466
27430,52467
27431,52449
27431,52450
27431,52451
27431,52452
27431,52453
27431,52454
27431,52455
27431,52460
27431,52461
27431,52462
27431,52463
27431,52464
27431,52465
27431,52466
27431,52467
27432,52448
27432,52449
27432,52450
27432,52451
27432,52452
27432,52453
27432,52454
27432,52455
27432,52461
27432,52462
27432,52463
27432,52464
27432,52465
27432,52466
27432,52467
27433,52447
27433,52448
27433,52449
27433,52450
27433,52451
27433,52452
27433,52453
27433,52454
27433,52455
27433,52456
27433,52461
27433,52462
27433,52463
27433,52464
27433,52465
27433,52466
27433,52467
27434,52447
27434,52448
27434,52449
27434,52450
27434,52451
27434,52452
27434,52453
27434,52454
27434,52455
27434,52456
27434,52457
27434,52458
27434,52459
27434,52460
27434,52461
27434,52462
27434,52463
27434,52464
27434,52465
27434,52466
27434,52467
27434,52468
27434,52469
27434,52470
27435,52446
27435,52447
27435,52448
27435,52449
27435,52450
27435,52451
27435,52452
27435,52453
27435,52454
27435,52455
27435,52456
27435,52457
27435,52458
27435,52459
27435,52460
27435,52461
27435,52462
27435,52463
27435,52464
27435,52465
27435,52466
27435,52467
27435,52468
27435,52469
27435,52470
27436,52445
27436,52446
27436,52447
27436,52448
27436,52449
27436,52450
27436,52451
27436,52452
27436,52453
27436,52454
27436,52455
27436,52456
27436,52457
27436,52458
27436,52459
27436,52460
27436,52461
27436,52462
27436,52463
27436,52464
27436,52465
27436,52466
27436,52467
27436,52468
27436,52469
27436,52470
27437,52444
27437,52445
27437,52446
27437,52447
27437,52448
27437,52449
27437,52450
27437,52451
27437,52452
27437,52453
27437,52454
27437,52455
27437,52456
27437,52457
27437,52458
27437,52459
27437,52460
27437,52461
27437,52462
27437,52463
27437,52464
27437,52465
27437,52466
27437,52467
27437,52468
27437,52469
27437,52470
27438,52443
27438,52444
27438,52445
27438,52446
27438,52447
27438,52448
27438,52449
27438,52450
27438,52451
27438,52452
27438,52453
27438,52454
27438,52455
27438,52456
27438,52457
27438,52458
27438,52459
27438,52460
27438,52461
27438,52462
27438,52463
27438,52464
27438,52465
27438,52466
27438,52467
27438,52468
27438,52469
27438,52470
27438,52480
27438,52481
27438,52482
27438,52483
27439,52442
27439,52443
27439,52444
27439,52445
27439,52446
27439,52447
27439,52448
27439,52449
27439,52450
27439,52451
27439,52452
27439,52453
27439,52454
27439,52455
27439,52456
27439,52457
27439,52458
27439,52459
27439,52460
27439,52461
27439,52462
27439,52463
27439,52464
27439,52465
27439,52466
27439,52467
27439,52468
27439,52469
27439,52470
27439,52471
27439,52479
27439,52480
27439,52481
27439,52482
27439,52483
27440,52440
27440,52441
27440,52442
27440,52443
27440,52444
27440,52445
27440,52446
27440,52447
27440,52448
27440,52449
27440,52450
27440,52451
27440,52452
27440,52453
27440,52454
27440,52455
27440,52456
27440,52457
27440,52458
27440,52459
27440,52460
27440,52461
27440,52462
27440,52463
27440,52464
27440,52465
27440,52466
27440,52467
27440,52468
27440,52469
27440,52470
27440,52471
27440,52472
27440,52473
27440,52474
27440,52478
27440,52479
27440,52480
27440,52481
27440,52482
27440,52483
27440,52484
27441,52439
27441,52440
27441,52441
27441,52442
27441,52443
27441,52444
27441,52445
27441,52446
27441,52447
27441,52448
27441,52449
27441,52450
27441,52451
27441,52452
27441,52453
27441,52454
27441,52455
27441,52456
27441,52457
27441,52458
27441,52459
27441,52460
27441,52461
27441,52462
27441,52463
27441,52464
27441,52465
27441,52466
27441,52467
27441,52468
27441,52469
27441,52470
27441,52471
27441,52472
27441,52473
27441,52474
27441,52475
27441,52476
27441,52477
27441,52478
27441,52479
27441,52480
27441,52481
27441,52482
27441,52483
27441,52484
27442,52431
27442,52432
27442,52433
27442,52434
27442,52435
27442,52436
27442,52437
27442,52438
27442,52439
27442,52440
27442,52441
27442,52442
27442,52443
27442,52444
27442,52445
27442,52446
27442,52447
27442,52448
27442,52449
27442,52450
27442,52451
27442,52452
27442,52453
27442,52454
27442,52455
27442,52456
27442,52457
27442,52458
27442,52459
27442,52460
27442,52461
27442,52462
27442,52463
27442,52464
27442,52465
27442,52466
27442,52467
27442,52468
27442,52469
27442,52470
27442,52471
27442,52472
27442,52473
27442,52474
27442,52475
27442,52476
27442,52477
27442,52478
27442,52479
27442,52480
27442,52481
27442,52482
27442,52483
27442,52484
27443,52427
27443,52428
27443,52429
27443,52430
27443,52431
27443,52432
27443,52433
27443,52434
27443,52435
27443,52436
27443,52437
27443,52438
27443,52439
27443,52440
27443,52441
27443,52442
27443,52443
27443,52444
27443,52445
27443,52446
27443,52447
27443,52448
27443,52449
27443,52450
27443,52451
27443,52452
27443,52453
27443,52454
27443,52455
27443,52456
27443,52457
27443,52458
27443,52459
27443,52460
27443,52461
27443,52462
27443,52463
27443,52464
27443,52465
27443,52466
27443,52467
27443,52468
27443,52469
27443,52470
27443,52471
27443,52472
27443,52473
27443,52474
27443,52475
27443,52476
27443,52477
27443,52478
27443,52479
27443,52480
27443,52481
27443,52482
27443,52483
27443,52484
27444,52424
27444,52425
27444,52426
27444,52427
27444,52428
27444,52429
27444,52430
27444,52431
27444,52432
27444,52433
27444,52434
27444,52435
27444,52436
27444,52437
27444,52438
27444,52439
27444,52440
27444,52441
27444,52442
27444,52443
27444,52444
27444,52445
27444,52446
27444,52447
27444,52448
27444,52449
27444,52450
27444,52451
27444,52452
27444,52453
27444,52454
27444,52455
27444,52456
27444,52457
27444,52458
27444,52459
27444,52460
27444,52461
27444,52462
27444,52463
27444,52464
27444,52465
27444,52466
27444,52467
27444,52468
27444,52469
27444,52470
27444,52471
27444,52472
27444,52473
27444,52474
27444,52475
27444,52476
27444,52477
27444,52478
27444,52479
27444,52480
27444,52481
27444,52482
27444,52483
27444,52484
27445,52421
27445,52422
27445,52423
27445,52424
27445,52425
27445,52426
27445,52427
27445,52428
27445,52429
27445,52430
27445,52431
27445,52432
27445,52433
27445,52434
27445,52435
27445,52436
27445,52437
27445,52438
27445,52439
27445,52440
27445,52441
27445,52442
27445,52443
27445,52444
27445,52445
27445,52446
27445,52447
27445,52448
27445,52449
27445,52450
27445,52451
27445,52452
27445,52453
27445,52454
27445,52455
27445,52456
