y_tile,x_tile
24073,54678
24074,54677
24074,54678
24074,54679
24075,54677
24075,54678
24075,54679
24075,54680
24076,54677
24076,54678
24076,54679
24076,54680
24077,54677
24077,54678
24077,54679
24077,54680
24078,54671
24078,54672
24078,54676
24078,54677
24078,54678
24078,54679
24078,54680
24078,54681
24079,54610
24079,54611
24079,54612
24079,54671
24079,54672
24079,54673
24079,54675
24079,54676
24079,54677
24079,54678
24079,54679
24079,54680
24079,54681
24080,54609
24080,54610
24080,54611
24080,54612
24080,54670
24080,54671
24080,54672
24080,54673
24080,54674
24080,54675
24080,54676
24080,54677
24080,54678
24080,54679
24080,54680
24080,54681
24080,54682
24081,54601
24081,54602
24081,54603
24081,54604
24081,54605
24081,54607
24081,54608
24081,54609
24081,54610
24081,54611
24081,54612
24081,54668
24081,54669
24081,54670
24081,54671
24081,54672
24081,54673
24081,54674
24081,54675
24081,54676
24081,54677
24081,54678
24081,54679
24081,54680
24081,54681
24081,54682
24082,54599
24082,54600
24082,54601
24082,54602
24082,54603
24082,54604
24082,54605
24082,54606
24082,54607
24082,54608
24082,54609
24082,54610
24082,54611
24082,54612
24082,54668
24082,54669
24082,54670
24082,54671
24082,54672
24082,54673
24082,54674
24082,54675
24082,54676
24082,54677
24082,54678
24082,54679
24082,54680
24082,54681
24082,54682
24083,54592
24083,54593
24083,54594
24083,54597
24083,54598
24083,54599
24083,54600
24083,54601
24083,54602
24083,54603
24083,54604
24083,54605
24083,54606
24083,54607
24083,54608
24083,54609
24083,54610
24083,54611
24083,54612
24083,54668
24083,54669
24083,54670
24083,54671
24083,54672
24083,54673
24083,54674
24083,54675
24083,54676
24083,54677
24083,54678
24083,54679
24083,54680
24083,54681
24083,54682
24083,54683
24084,54591
24084,54592
24084,54593
24084,54594
24084,54595
24084,54596
24084,54597
24084,54598
24084,54599
24084,54600
24084,54601
24084,54602
24084,54603
24084,54604
24084,54605
24084,54606
24084,54607
24084,54608
24084,54609
24084,54610
24084,54611
24084,54612
24084,54613
24084,54668
24084,54669
24084,54670
24084,54671
24084,54672
24084,54673
24084,54674
24084,54675
24084,54676
24084,54677
24084,54678
24084,54679
24084,54680
24084,54681
24084,54682
24084,54683
24084,54684
24084,54685
24084,54686
24084,54687
24084,54688
24084,54689
24084,54690
24084,54691
24085,54590
24085,54591
24085,54592
24085,54593
24085,54594
24085,54595
24085,54596
24085,54597
24085,54598
24085,54599
24085,54600
24085,54601
24085,54602
24085,54603
24085,54604
24085,54605
24085,54606
24085,54607
24085,54608
24085,54609
24085,54610
24085,54611
24085,54612
24085,54613
24085,54614
24085,54665
24085,54666
24085,54667
24085,54668
24085,54669
24085,54670
24085,54671
24085,54672
24085,54673
24085,54674
24085,54675
24085,54676
24085,54677
24085,54678
24085,54679
24085,54680
24085,54681
24085,54682
24085,54683
24085,54684
24085,54685
24085,54686
24085,54687
24085,54688
24085,54689
24085,54690
24085,54691
24086,54589
24086,54590
24086,54591
24086,54592
24086,54593
24086,54594
24086,54595
24086,54596
24086,54597
24086,54598
24086,54599
24086,54600
24086,54601
24086,54602
24086,54603
24086,54604
24086,54605
24086,54606
24086,54607
24086,54608
24086,54609
24086,54610
24086,54611
24086,54612
24086,54613
24086,54614
24086,54615
24086,54616
24086,54617
24086,54618
24086,54664
24086,54665
24086,54666
24086,54667
24086,54668
24086,54669
24086,54670
24086,54671
24086,54672
24086,54673
24086,54674
24086,54675
24086,54676
24086,54677
24086,54678
24086,54679
24086,54680
24086,54681
