y_tile,x_tile
27840,53197
27840,53198
27841,53196
27841,53197
27841,53198
27842,53195
27842,53196
27842,53197
27842,53198
27842,53199
27842,53208
27842,53209
27843,53191
27843,53192
27843,53193
27843,53194
27843,53195
27843,53196
27843,53197
27843,53198
27843,53199
27843,53200
27843,53207
27843,53208
27843,53209
27843,53210
27843,53212
27843,53213
27843,53214
27843,53215
27844,53189
27844,53190
27844,53191
27844,53192
27844,53193
27844,53194
27844,53195
27844,53196
27844,53197
27844,53198
27844,53199
27844,53200
27844,53201
27844,53202
27844,53203
27844,53204
27844,53205
27844,53206
27844,53207
27844,53208
27844,53209
27844,53210
27844,53211
27844,53212
27844,53213
27844,53214
27844,53215
27845,53188
27845,53189
27845,53190
27845,53191
27845,53192
27845,53193
27845,53194
27845,53195
27845,53196
27845,53197
27845,53198
27845,53199
27845,53200
27845,53201
27845,53202
27845,53203
27845,53204
27845,53205
27845,53206
27845,53207
27845,53208
27845,53209
27845,53210
27845,53211
27845,53212
27845,53213
27845,53214
27845,53215
27845,53216
27846,53187
27846,53188
27846,53189
27846,53190
27846,53191
27846,53192
27846,53193
27846,53194
27846,53195
27846,53196
27846,53197
27846,53198
27846,53199
27846,53200
27846,53201
27846,53202
27846,53203
27846,53204
27846,53205
27846,53206
27846,53207
27846,53208
27846,53209
27846,53210
27846,53211
27846,53212
27846,53213
27846,53214
27846,53215
27846,53216
27846,53217
27847,53186
27847,53187
27847,53188
27847,53189
27847,53190
27847,53191
27847,53192
27847,53193
27847,53194
27847,53195
27847,53196
27847,53197
27847,53198
27847,53199
27847,53200
27847,53201
27847,53202
27847,53203
27847,53204
27847,53205
27847,53206
27847,53207
27847,53208
27847,53209
27847,53210
27847,53211
27847,53212
27847,53213
27847,53214
27847,53215
27847,53216
27847,53217
27847,53218
27848,53185
27848,53186
27848,53187
27848,53188
27848,53189
27848,53190
27848,53191
27848,53192
27848,53193
27848,53194
27848,53195
27848,53196
27848,53197
27848,53198
27848,53199
27848,53200
27848,53201
27848,53202
27848,53203
27848,53204
27848,53205
27848,53206
27848,53207
27848,53208
27848,53209
27848,53210
27848,53211
27848,53212
27848,53213
27848,53214
27848,53215
27848,53216
27848,53217
27848,53218
27849,53183
27849,53184
27849,53185
27849,53186
27849,53187
27849,53188
27849,53189
27849,53190
27849,53191
27849,53192
27849,53193
27849,53194
27849,53195
27849,53196
27849,53197
27849,53198
27849,53199
27849,53200
27849,53201
27849,53202
27849,53203
27849,53204
27849,53205
27849,53206
27849,53207
27849,53208
27849,53209
27849,53210
27849,53211
27849,53212
27849,53213
27849,53214
27849,53215
27849,53216
