y_tile,x_tile
28084,54337
28084,54338
28084,54339
28085,54337
28085,54338
28085,54339
28085,54340
28085,54341
28086,54337
28086,54338
28086,54339
28086,54340
28086,54341
28086,54342
28087,54337
28087,54338
28087,54339
28087,54340
28087,54341
28087,54342
28087,54343
28087,54352
28087,54353
28087,54354
28087,54355
28087,54356
28088,54336
28088,54337
28088,54338
28088,54339
28088,54340
28088,54341
28088,54342
28088,54343
28088,54344
28088,54345
28088,54346
28088,54347
28088,54351
28088,54352
28088,54353
28088,54354
28088,54355
28088,54356
28089,54336
28089,54337
28089,54338
28089,54339
28089,54340
28089,54341
28089,54342
28089,54343
28089,54344
28089,54345
28089,54346
28089,54347
28089,54350
28089,54351
28089,54352
28089,54353
28089,54354
28089,54355
28089,54356
28089,54357
28090,54336
28090,54337
28090,54338
28090,54339
28090,54340
28090,54341
28090,54342
28090,54343
28090,54344
28090,54345
28090,54346
28090,54347
28090,54349
28090,54350
28090,54351
28090,54352
28090,54353
28090,54354
28090,54355
28090,54356
28090,54357
28090,54358
28090,54359
28091,54336
28091,54337
28091,54338
28091,54339
28091,54340
28091,54341
28091,54342
28091,54343
28091,54344
28091,54345
28091,54346
28091,54347
28091,54348
28091,54349
28091,54350
28091,54351
28091,54352
28091,54353
28091,54354
28091,54355
28091,54356
28091,54357
28091,54358
28091,54359
28091,54360
28091,54361
28091,54362
28091,54363
28091,54364
28092,54337
28092,54338
28092,54339
28092,54340
28092,54341
28092,54342
28092,54343
28092,54344
28092,54345
28092,54346
28092,54347
28092,54348
28092,54349
28092,54350
28092,54351
28092,54352
28092,54353
28092,54354
28092,54355
28092,54356
28092,54357
28092,54358
28092,54359
28092,54360
28092,54361
28092,54362
28092,54363
28092,54364
28092,54365
28092,54366
28093,54336
28093,54337
28093,54338
28093,54339
28093,54340
28093,54341
28093,54342
28093,54343
28093,54344
28093,54345
28093,54346
28093,54347
28093,54348
28093,54349
28093,54350
28093,54351
28093,54352
28093,54353
28093,54354
28093,54355
28093,54356
28093,54357
28093,54358
28093,54359
28093,54360
28093,54361
28093,54362
28093,54363
28093,54364
28093,54365
28093,54366
28094,54334
28094,54335
28094,54336
28094,54337
28094,54338
28094,54339
28094,54340
28094,54341
28094,54342
28094,54343
28094,54344
28094,54345
28094,54346
28094,54347
28094,54348
28094,54349
28094,54350
28094,54351
28094,54352
28094,54353
28094,54354
28094,54355
28094,54356
28094,54357
28094,54358
28094,54359
28094,54360
28094,54361
28094,54362
28094,54363
28094,54364
28094,54365
28094,54366
28094,54367
28095,54328
28095,54329
28095,54330
28095,54331
28095,54332
28095,54333
28095,54334
28095,54335
28095,54336
28095,54337
28095,54338
28095,54339
28095,54340
28095,54341
28095,54342
28095,54343
28095,54344
28095,54345
28095,54346
28095,54347
28095,54348
28095,54349
28095,54350
28095,54351
28095,54352
28095,54353
28095,54354
28095,54355
28095,54356
28095,54357
28095,54358
28095,54359
28095,54360
28095,54361
28095,54362
28095,54363
28095,54364
28095,54365
28095,54366
28095,54367
28096,54328
28096,54329
28096,54330
28096,54331
28096,54332
28096,54333
28096,54334
28096,54335
28096,54336
28096,54337
28096,54338
28096,54339
28096,54340
28096,54341
28096,54342
28096,54343
28096,54344
28096,54345
28096,54346
28096,54347
28096,54348
28096,54349
28096,54350
28096,54351
28096,54352
28096,54353
28096,54354
28096,54355
28096,54356
28096,54357
28096,54358
28096,54359
28096,54360
28096,54361
28096,54362
28096,54363
28096,54364
28096,54365
28096,54366
28096,54367
28097,54329
28097,54330
28097,54331
28097,54332
28097,54333
28097,54334
28097,54335
28097,54336
28097,54337
28097,54338
28097,54339
28097,54340
28097,54341
28097,54342
28097,54343
28097,54344
28097,54345
28097,54346
28097,54347
28097,54348
28097,54349
28097,54350
28097,54351
28097,54352
28097,54353
28097,54354
28097,54355
28097,54356
28097,54357
28097,54358
28097,54359
28097,54360
28097,54361
28097,54362
28097,54363
28097,54364
28097,54365
28097,54366
28097,54367
28098,54328
28098,54329
28098,54330
28098,54331
28098,54332
28098,54333
28098,54334
28098,54335
28098,54336
28098,54337
28098,54338
28098,54339
28098,54340
28098,54341
28098,54342
28098,54343
28098,54344
28098,54345
28098,54346
28098,54347
28098,54348
28098,54349
28098,54350
28098,54351
28098,54352
28098,54353
28098,54354
28098,54355
28098,54356
28098,54357
28098,54358
28098,54359
28098,54360
28098,54361
28098,54362
28098,54363
28098,54364
28098,54365
28098,54366
28099,54329
28099,54330
28099,54331
28099,54332
28099,54333
28099,54334
28099,54335
28099,54336
28099,54337
28099,54338
28099,54339
28099,54340
28099,54341
28099,54342
28099,54343
28099,54344
28099,54345
28099,54346
28099,54347
28099,54348
28099,54349
28099,54350
28099,54351
28099,54352
28099,54353
28099,54354
28099,54355
28099,54356
28099,54357
28099,54358
28099,54359
28099,54360
28099,54361
28099,54362
28099,54363
28099,54364
28099,54365
28099,54366
28100,54329
28100,54330
28100,54331
28100,54332
28100,54333
28100,54334
28100,54335
28100,54336
28100,54337
28100,54338
28100,54339
28100,54340
28100,54341
28100,54342
28100,54343
28100,54344
28100,54345
28100,54346
28100,54347
28100,54348
28100,54349
28100,54350
28100,54351
28100,54352
28100,54353
28100,54354
28100,54355
28100,54356
28100,54357
28100,54358
28100,54359
28100,54360
28100,54361
28100,54362
28100,54363
28100,54364
28100,54365
28100,54366
28100,54367
28100,54376
28100,54377
28101,54329
28101,54330
28101,54331
28101,54332
28101,54333
28101,54334
28101,54335
28101,54336
28101,54337
28101,54338
28101,54339
28101,54340
28101,54341
28101,54342
28101,54343
28101,54344
28101,54345
28101,54346
28101,54347
28101,54348
28101,54349
28101,54350
28101,54351
28101,54352
28101,54353
28101,54354
28101,54355
28101,54356
28101,54357
28101,54358
28101,54359
28101,54360
28101,54361
28101,54362
28101,54363
28101,54364
28101,54365
28101,54366
28101,54367
28101,54375
28101,54376
28102,54329
28102,54330
28102,54331
28102,54332
28102,54333
28102,54334
28102,54335
28102,54336
28102,54337
28102,54338
28102,54339
28102,54340
28102,54341
28102,54342
28102,54343
28102,54344
28102,54345
28102,54346
28102,54347
28102,54348
28102,54349
28102,54350
28102,54351
28102,54352
28102,54353
28102,54354
28102,54355
28102,54356
