y_tile,x_tile
27199,49052
27199,49053
27199,49054
27199,49055
27199,49056
27199,49057
27199,49058
27199,49059
27199,49062
27199,49063
27200,49052
27200,49053
27200,49054
27200,49055
27200,49056
27200,49057
27200,49058
27200,49059
27200,49060
27200,49061
27200,49062
27200,49063
27200,49064
27201,49050
27201,49051
27201,49052
27201,49053
27201,49054
27201,49055
27201,49056
27201,49057
27201,49058
27201,49059
27201,49060
27201,49061
27201,49062
27201,49063
27201,49064
27201,49065
27202,49049
27202,49050
27202,49051
27202,49052
27202,49053
27202,49054
27202,49055
27202,49056
27202,49057
27202,49058
27202,49059
27202,49060
27202,49061
27202,49062
27202,49063
27202,49064
27202,49065
27202,49066
27202,49067
27202,49068
27202,49085
27202,49086
27202,49087
27202,49088
27203,49048
27203,49049
27203,49050
27203,49051
27203,49052
27203,49053
27203,49054
27203,49055
27203,49056
27203,49057
27203,49058
27203,49059
27203,49060
27203,49061
27203,49062
27203,49063
27203,49064
27203,49065
27203,49066
27203,49067
27203,49068
27203,49083
27203,49084
27203,49085
27203,49086
27203,49087
27203,49088
27203,49089
27204,49046
27204,49047
27204,49048
27204,49049
27204,49050
27204,49051
27204,49052
27204,49053
27204,49054
27204,49055
27204,49056
27204,49057
27204,49058
27204,49059
27204,49060
27204,49061
27204,49062
27204,49063
27204,49064
27204,49065
27204,49066
27204,49067
27204,49068
27204,49079
27204,49080
27204,49081
27204,49082
27204,49083
27204,49084
27204,49085
27204,49086
27204,49087
27204,49088
27204,49089
27204,49090
27205,49043
27205,49044
27205,49045
27205,49046
27205,49047
27205,49048
27205,49049
27205,49050
27205,49051
27205,49052
27205,49053
27205,49054
27205,49055
27205,49056
27205,49057
27205,49058
27205,49059
27205,49060
27205,49061
27205,49062
27205,49063
27205,49064
27205,49065
27205,49066
27205,49067
27205,49068
27205,49069
27205,49077
27205,49078
27205,49079
27205,49080
27205,49081
27205,49082
27205,49083
27205,49084
27205,49085
27205,49086
27205,49087
27205,49088
27205,49089
27205,49090
27206,49043
27206,49044
27206,49045
27206,49046
27206,49047
27206,49048
27206,49049
27206,49050
27206,49051
27206,49052
27206,49053
27206,49054
27206,49055
27206,49056
27206,49057
27206,49058
27206,49059
27206,49060
27206,49061
27206,49062
27206,49063
27206,49064
27206,49065
27206,49066
27206,49067
27206,49068
27206,49069
27206,49076
27206,49077
27206,49078
27206,49079
27206,49080
27206,49081
27206,49082
27206,49083
27206,49084
27206,49085
27206,49086
27206,49087
27206,49088
27206,49089
27206,49090
27206,49091
27207,49043
27207,49044
27207,49045
27207,49046
27207,49047
27207,49048
27207,49049
27207,49050
27207,49051
27207,49052
27207,49053
27207,49054
27207,49055
27207,49056
27207,49057
27207,49058
27207,49059
27207,49060
27207,49061
27207,49062
27207,49063
27207,49064
27207,49065
27207,49066
27207,49067
27207,49068
27207,49069
27207,49075
27207,49076
27207,49077
27207,49078
27207,49079
27207,49080
27207,49081
27207,49082
27207,49083
27207,49084
27207,49085
27207,49086
27207,49087
27207,49088
27207,49089
27207,49090
27207,49091
27208,49044
27208,49045
27208,49046
27208,49047
27208,49048
27208,49049
27208,49050
27208,49051
27208,49052
27208,49053
27208,49054
27208,49055
27208,49056
27208,49057
27208,49058
27208,49059
27208,49060
27208,49061
27208,49062
27208,49063
27208,49064
27208,49065
27208,49066
27208,49067
27208,49068
27208,49069
27208,49070
27208,49074
27208,49075
27208,49076
27208,49077
27208,49078
27208,49079
27208,49080
27208,49081
27208,49082
27208,49083
27208,49084
27208,49085
27208,49086
27208,49087
27208,49088
27208,49089
27208,49090
27208,49091
27208,49092
27208,49094
27208,49095
27208,49096
27208,49097
27208,49098
27208,49099
27209,49044
27209,49045
27209,49046
27209,49047
27209,49048
27209,49049
27209,49050
27209,49051
27209,49052
27209,49053
27209,49054
27209,49055
27209,49056
27209,49057
27209,49058
27209,49059
27209,49060
27209,49061
27209,49062
27209,49063
27209,49064
27209,49065
27209,49066
27209,49067
27209,49068
27209,49069
27209,49070
27209,49071
27209,49072
27209,49073
27209,49074
27209,49075
27209,49076
27209,49077
27209,49078
27209,49079
27209,49080
27209,49081
27209,49082
27209,49083
27209,49084
27209,49085
27209,49086
27209,49087
27209,49088
27209,49089
27209,49090
27209,49091
27209,49092
27209,49093
27209,49094
27209,49095
27209,49096
27209,49097
27209,49098
27209,49099
27210,49044
27210,49045
27210,49046
27210,49047
27210,49048
27210,49049
27210,49050
27210,49051
27210,49052
27210,49053
27210,49054
27210,49055
27210,49056
27210,49057
27210,49058
27210,49059
27210,49060
27210,49061
27210,49062
27210,49063
27210,49064
27210,49065
27210,49066
27210,49067
27210,49068
27210,49069
27210,49070
27210,49071
27210,49072
27210,49073
27210,49074
27210,49075
27210,49076
27210,49077
27210,49078
27210,49079
27210,49080
27210,49081
27210,49082
27210,49083
27210,49084
27210,49085
27210,49086
27210,49087
27210,49088
27210,49089
27210,49090
27210,49091
27210,49092
27210,49093
27210,49094
27210,49095
27210,49096
27210,49097
27210,49098
27211,49044
27211,49045
27211,49046
27211,49047
27211,49048
27211,49049
27211,49050
27211,49051
27211,49052
27211,49053
27211,49054
27211,49055
27211,49056
27211,49057
27211,49058
27211,49059
27211,49060
27211,49061
27211,49062
27211,49063
27211,49064
27211,49065
27211,49066
27211,49067
27211,49068
27211,49069
27211,49070
27211,49071
27211,49072
27211,49073
27211,49074
27211,49075
27211,49076
27211,49077
27211,49078
27211,49079
27211,49080
27211,49081
27211,49082
27211,49083
27211,49084
27211,49085
27211,49086
27211,49087
27211,49088
27211,49089
27211,49090
27211,49091
27211,49092
27211,49093
27211,49094
27211,49095
27211,49096
27211,49097
27211,49098
27212,49044
27212,49045
27212,49046
27212,49047
27212,49048
27212,49049
27212,49050
27212,49051
27212,49052
27212,49053
27212,49054
27212,49055
27212,49056
27212,49057
27212,49058
27212,49059
27212,49060
27212,49061
27212,49062
27212,49063
27212,49064
27212,49065
27212,49066
27212,49067
27212,49068
27212,49069
27212,49070
27212,49071
27212,49072
27212,49073
27212,49074
27212,49075
27212,49076
27212,49077
27212,49078
27212,49079
27212,49080
27212,49081
27212,49082
27212,49083
27212,49084
27212,49085
27212,49086
27212,49087
27212,49088
27212,49089
27212,49090
27212,49091
27212,49092
27212,49093
27212,49094
27212,49095
27212,49096
27212,49097
27212,49098
27213,49044
27213,49045
27213,49046
27213,49047
27213,49048
27213,49049
27213,49050
27213,49051
27213,49052
27213,49053
27213,49054
27213,49055
27213,49056
27213,49057
27213,49058
27213,49059
27213,49060
27213,49061
27213,49062
27213,49063
27213,49064
27213,49065
27213,49066
27213,49067
27213,49068
27213,49069
27213,49070
27213,49071
27213,49072
27213,49073
27213,49074
27213,49075
27213,49076
27213,49077
27213,49078
27213,49079
27213,49080
27213,49081
27213,49082
27213,49083
27213,49084
27213,49085
27213,49086
27213,49087
27213,49088
27213,49089
27213,49090
27213,49091
27213,49092
27213,49093
27213,49094
27213,49095
27213,49096
27213,49097
27213,49098
27213,49099
27214,49044
