y_tile,x_tile
23817,56496
23817,56497
23817,56498
23818,56495
23818,56496
23818,56497
23818,56498
23818,56499
23818,56500
23819,56493
23819,56494
23819,56495
23819,56496
23819,56497
23819,56498
23819,56499
23819,56500
23820,56491
23820,56492
23820,56493
23820,56494
23820,56495
23820,56496
23820,56497
23820,56498
23820,56499
23820,56500
23821,56491
23821,56492
23821,56493
23821,56494
23821,56495
23821,56496
23821,56497
23821,56498
23821,56499
23821,56500
23822,56490
23822,56491
23822,56492
23822,56493
23822,56494
23822,56495
23822,56496
23822,56497
23822,56498
23822,56499
23823,56417
23823,56418
23823,56421
23823,56422
23823,56423
23823,56424
23823,56425
23823,56490
23823,56491
23823,56492
23823,56493
23823,56494
23823,56495
23823,56496
23823,56497
23823,56498
23823,56499
23824,56416
23824,56417
23824,56418
23824,56420
23824,56421
23824,56422
23824,56423
23824,56424
23824,56425
23824,56426
23824,56489
23824,56490
23824,56491
23824,56492
23824,56493
23824,56494
23824,56495
23824,56496
23824,56497
23824,56498
23824,56499
23825,56416
23825,56417
23825,56418
23825,56419
23825,56420
23825,56421
23825,56422
23825,56423
23825,56424
23825,56425
23825,56426
23825,56427
23825,56428
23825,56429
23825,56489
23825,56490
23825,56491
23825,56492
23825,56493
23825,56494
23825,56495
23825,56496
23825,56497
23825,56498
23825,56499
23826,56409
23826,56414
23826,56415
23826,56416
23826,56417
23826,56418
23826,56419
23826,56420
23826,56421
23826,56422
23826,56423
23826,56424
23826,56425
23826,56426
23826,56427
23826,56428
23826,56429
23826,56430
23826,56489
23826,56490
23826,56491
23826,56492
23826,56493
23826,56494
23826,56495
23826,56496
23826,56497
23826,56498
23826,56499
23826,56500
23827,56408
23827,56409
23827,56410
23827,56413
23827,56414
23827,56415
23827,56416
23827,56417
23827,56418
23827,56419
23827,56420
23827,56421
23827,56422
23827,56423
23827,56424
23827,56425
23827,56426
23827,56427
23827,56428
23827,56429
23827,56430
23827,56489
23827,56490
23827,56491
23827,56492
23827,56493
23827,56494
23827,56495
23827,56496
23827,56497
23827,56498
23827,56499
23827,56500
23828,56408
23828,56409
23828,56410
23828,56412
23828,56413
23828,56414
23828,56415
23828,56416
23828,56417
23828,56418
23828,56419
23828,56420
23828,56421
23828,56422
23828,56423
23828,56424
23828,56425
23828,56426
23828,56427
23828,56428
23828,56429
23828,56430
23828,56431
23828,56489
23828,56490
23828,56491
23828,56492
23828,56493
23828,56494
23828,56495
23828,56496
23828,56497
23828,56498
23828,56499
23828,56500
23829,56407
23829,56408
23829,56409
23829,56410
23829,56411
23829,56412
23829,56413
23829,56414
23829,56415
23829,56416
23829,56417
23829,56418
23829,56419
23829,56420
23829,56421
23829,56422
23829,56423
23829,56424
23829,56425
23829,56426
23829,56427
23829,56428
23829,56429
23829,56430
23829,56431
23829,56432
23829,56433
23829,56488
23829,56489
23829,56490
23829,56491
23829,56492
23829,56493
23829,56494
23829,56495
23829,56496
23829,56497
23829,56498
23829,56499
23830,56405
23830,56406
23830,56407
23830,56408
23830,56409
23830,56410
23830,56411
23830,56412
23830,56413
23830,56414
23830,56415
23830,56416
23830,56417
23830,56418
23830,56419
23830,56420
23830,56421
23830,56422
23830,56423
23830,56424
23830,56425
23830,56426
23830,56427
23830,56428
23830,56429
23830,56430
23830,56431
23830,56432
23830,56433
23830,56487
23830,56488
23830,56489
23830,56490
23830,56491
23830,56492
23830,56493
23830,56494
23830,56495
23830,56496
23830,56497
23830,56498
23830,56499
23831,56404
23831,56405
23831,56406
23831,56407
23831,56408
23831,56409
23831,56410
23831,56411
23831,56412
23831,56413
23831,56414
23831,56415
23831,56416
23831,56417
23831,56418
23831,56419
23831,56420
23831,56421
23831,56422
23831,56423
23831,56424
23831,56425
23831,56426
23831,56427
23831,56428
23831,56429
23831,56430
23831,56431
23831,56432
23831,56433
23831,56486
23831,56487
23831,56488
23831,56489
23831,56490
23831,56491
23831,56492
23831,56493
23831,56494
23831,56495
23831,56496
23831,56497
23831,56498
23831,56499
23831,56500
23832,56403
23832,56404
23832,56405
23832,56406
23832,56407
23832,56408
23832,56409
23832,56410
23832,56411
23832,56412
23832,56413
23832,56414
23832,56415
23832,56416
23832,56417
23832,56418
23832,56419
23832,56420
23832,56421
23832,56422
23832,56423
23832,56424
23832,56425
23832,56426
23832,56427
23832,56428
23832,56429
23832,56430
23832,56431
23832,56432
23832,56433
23832,56434
23832,56485
23832,56486
23832,56487
23832,56488
23832,56489
23832,56490
23832,56491
23832,56492
23832,56493
23832,56494
23832,56495
23832,56496
23832,56497
23832,56498
23832,56499
23832,56500
23833,56402
23833,56403
23833,56404
23833,56405
23833,56406
23833,56407
23833,56408
23833,56409
23833,56410
23833,56411
23833,56412
23833,56413
23833,56414
23833,56415
23833,56416
23833,56417
23833,56418
23833,56419
23833,56420
23833,56421
23833,56422
23833,56423
23833,56424
23833,56425
23833,56426
23833,56427
23833,56428
23833,56429
23833,56430
23833,56431
23833,56432
23833,56433
23833,56434
23833,56484
23833,56485
23833,56486
23833,56487
23833,56488
23833,56489
23833,56490
23833,56491
23833,56492
23833,56493
23833,56494
23833,56495
23833,56496
23833,56497
23833,56498
23833,56499
23834,56401
23834,56402
23834,56403
23834,56404
23834,56405
23834,56406
23834,56407
23834,56408
23834,56409
23834,56410
23834,56411
23834,56412
23834,56413
23834,56414
23834,56415
23834,56416
23834,56417
23834,56418
23834,56419
23834,56420
23834,56421
23834,56422
23834,56423
23834,56424
23834,56425
23834,56426
23834,56427
23834,56428
23834,56429
23834,56430
23834,56431
23834,56432
23834,56483
23834,56484
23834,56485
23834,56486
23834,56487
23834,56488
23834,56489
23834,56490
23834,56491
23834,56492
23834,56493
23834,56494
23834,56495
23834,56496
23834,56497
23834,56498
23835,56401
23835,56402
23835,56403
23835,56404
23835,56405
23835,56406
23835,56407
23835,56408
23835,56409
23835,56410
23835,56411
23835,56412
23835,56413
23835,56414
23835,56415
23835,56416
23835,56417
23835,56418
23835,56419
23835,56420
23835,56421
23835,56422
23835,56423
23835,56424
23835,56425
23835,56426
23835,56427
23835,56428
23835,56429
23835,56430
23835,56431
23835,56432
23835,56433
23835,56483
23835,56484
23835,56485
23835,56486
23835,56487
23835,56488
23835,56489
23835,56490
23835,56491
23835,56492
23835,56493
23835,56494
23835,56495
23835,56496
23835,56497
23835,56498
23836,56400
23836,56401
23836,56402
23836,56403
23836,56404
23836,56405
23836,56406
23836,56407
23836,56408
23836,56409
23836,56410
23836,56411
23836,56412
23836,56413
23836,56414
23836,56415
23836,56416
23836,56417
23836,56418
23836,56419
23836,56420
23836,56421
23836,56422
23836,56423
23836,56424
23836,56425
23836,56426
23836,56427
23836,56428
23836,56429
23836,56430
23836,56431
23836,56432
23836,56433
23836,56483
23836,56484
23836,56485
23836,56486
23836,56487
23836,56488
23836,56489
23836,56490
23836,56491
23836,56492
23836,56493
23836,56494
23836,56495
23836,56496
23836,56497
23837,56399
23837,56400
23837,56401
23837,56402
23837,56403
23837,56404
23837,56405
23837,56406
23837,56407
23837,56408
23837,56409
23837,56410
23837,56411
23837,56412
23837,56413
23837,56414
23837,56415
23837,56416
23837,56417
23837,56418
23837,56419
23837,56420
23837,56421
23837,56422
23837,56423
23837,56424
23837,56425
23837,56426
23837,56427
23837,56428
23837,56429
23837,56430
23837,56431
23837,56432
23837,56433
23837,56434
23837,56483
23837,56484
23837,56485
23837,56486
23837,56487
23837,56488
23837,56489
23837,56490
23837,56491
23837,56492
23837,56493
23837,56494
23837,56495
23837,56496
23837,56497
23838,56396
23838,56397
23838,56398
23838,56399
23838,56400
23838,56401
23838,56402
23838,56403
23838,56404
23838,56405
23838,56406
23838,56407
23838,56408
23838,56409
23838,56410
23838,56411
23838,56412
23838,56413
23838,56414
23838,56415
23838,56416
23838,56417
23838,56418
23838,56419
23838,56420
23838,56421
23838,56422
23838,56423
23838,56424
23838,56425
23838,56426
23838,56427
23838,56428
23838,56429
23838,56430
23838,56431
23838,56432
23838,56433
23838,56434
23838,56483
23838,56484
23838,56485
23838,56486
23838,56487
23838,56488
23838,56489
23838,56490
23838,56491
23838,56492
23838,56493
23838,56494
23838,56495
23838,56496
23838,56497
23839,56393
23839,56394
23839,56395
23839,56396
23839,56397
23839,56398
23839,56399
23839,56400
23839,56401
23839,56402
23839,56403
23839,56404
23839,56405
23839,56406
23839,56407
23839,56408
23839,56409
23839,56410
23839,56411
23839,56412
23839,56413
23839,56414
23839,56415
23839,56416
23839,56417
23839,56418
23839,56419
23839,56420
23839,56421
23839,56422
23839,56423
23839,56424
23839,56425
23839,56426
23839,56427
23839,56428
23839,56429
23839,56430
23839,56431
23839,56432
23839,56433
23839,56434
23839,56435
23839,56436
23839,56437
23839,56482
23839,56483
23839,56484
23839,56485
23839,56486
23839,56487
23839,56488
23839,56489
23839,56490
23839,56491
23839,56492
23839,56493
23839,56494
23839,56495
23839,56496
23840,56393
23840,56394
23840,56395
23840,56396
23840,56397
23840,56398
23840,56399
23840,56400
23840,56401
23840,56402
23840,56403
23840,56404
23840,56405
23840,56406
23840,56407
23840,56408
23840,56409
23840,56410
23840,56411
23840,56412
23840,56413
23840,56414
23840,56415
23840,56416
23840,56417
23840,56418
23840,56419
23840,56420
23840,56421
23840,56422
23840,56423
23840,56424
23840,56425
23840,56426
23840,56427
23840,56428
23840,56429
23840,56430
23840,56431
23840,56432
23840,56433
23840,56434
23840,56435
23840,56436
23840,56437
23840,56481
23840,56482
23840,56483
23840,56484
23840,56485
23840,56486
23840,56487
23840,56488
23840,56489
23840,56490
23840,56491
23840,56492
23840,56493
23840,56494
23840,56495
23841,56393
23841,56394
23841,56395
23841,56396
23841,56397
23841,56398
23841,56399
23841,56400
23841,56401
23841,56402
23841,56403
