y_tile,x_tile
25964,54028
25964,54029
25964,54030
25965,54028
25965,54029
25965,54030
25965,54031
25965,54032
25965,54033
25966,54028
25966,54029
25966,54030
25966,54031
25966,54032
25966,54033
25966,54034
25967,54027
25967,54028
25967,54029
25967,54030
25967,54031
25967,54032
25967,54033
25967,54034
25968,54027
25968,54028
25968,54029
25968,54030
25968,54031
25968,54032
25968,54033
25968,54034
25968,54035
25968,54036
25969,54027
25969,54028
25969,54029
25969,54030
25969,54031
25969,54032
25969,54033
25969,54034
25969,54035
25969,54036
25969,54037
25969,54038
25970,54028
25970,54029
25970,54030
25970,54031
25970,54032
25970,54033
25970,54034
25970,54035
25970,54036
25970,54037
25970,54038
25970,54039
25971,54028
25971,54029
25971,54030
25971,54031
25971,54032
25971,54033
25971,54034
25971,54035
25971,54036
25971,54037
25971,54038
25971,54039
25971,54040
25972,54028
25972,54029
25972,54030
25972,54031
25972,54032
25972,54033
25972,54034
25972,54035
25972,54036
25972,54037
25972,54038
25972,54039
25972,54040
25972,54041
25972,54042
25973,54028
25973,54029
25973,54030
25973,54032
25973,54033
25973,54034
25973,54035
25973,54036
25973,54037
25973,54038
25973,54040
25973,54041
25973,54042
25973,54043
25974,54027
25974,54028
25974,54029
25974,54030
25974,54031
25974,54032
25974,54033
25974,54034
25974,54035
25974,54036
25974,54041
25974,54042
25974,54043
25974,54044
25975,54018
25975,54019
25975,54020
25975,54027
25975,54028
25975,54029
25975,54030
25975,54031
25975,54032
25975,54033
25975,54034
25975,54035
25975,54036
25975,54037
25975,54038
25975,54039
25975,54040
25975,54041
25975,54042
25975,54043
25975,54044
25975,54045
25975,54046
25976,54017
25976,54018
25976,54019
25976,54020
25976,54021
25976,54022
25976,54027
25976,54028
25976,54029
25976,54030
25976,54031
25976,54032
25976,54033
25976,54034
25976,54035
25976,54036
25976,54037
25976,54038
25976,54039
25976,54040
25976,54041
25976,54042
25976,54043
25976,54044
25976,54045
25976,54046
25976,54047
25977,54017
25977,54018
25977,54019
25977,54020
25977,54021
25977,54022
25977,54023
25977,54024
25977,54025
25977,54026
25977,54027
25977,54028
25977,54029
25977,54030
25977,54031
25977,54032
25977,54033
25977,54034
25977,54035
25977,54036
25977,54037
25977,54038
25977,54039
25977,54040
25977,54041
25977,54042
25977,54043
25977,54044
25977,54045
25977,54046
25977,54047
25977,54048
25978,54018
25978,54019
25978,54020
25978,54021
25978,54022
25978,54023
25978,54024
25978,54025
25978,54026
25978,54027
25978,54028
25978,54029
25978,54030
25978,54031
25978,54032
25978,54033
25978,54034
25978,54035
25978,54036
25978,54037
25978,54038
25978,54039
25978,54040
25978,54041
25978,54042
25978,54043
25978,54044
25978,54045
25978,54046
25978,54047
25978,54048
25978,54050
25979,54018
25979,54019
25979,54020
25979,54021
25979,54022
25979,54023
25979,54024
25979,54025
25979,54026
25979,54027
25979,54028
25979,54029
25979,54030
25979,54031
25979,54032
25979,54033
25979,54034
25979,54035
25979,54036
25979,54037
25979,54038
25979,54039
25979,54040
25979,54041
25979,54042
25979,54043
25979,54044
25979,54045
25979,54046
25979,54047
25979,54048
25979,54050
25979,54051
25979,54052
25980,54020
25980,54021
25980,54022
25980,54023
25980,54024
25980,54025
25980,54026
25980,54027
25980,54028
25980,54029
25980,54030
25980,54031
25980,54032
25980,54033
25980,54034
25980,54035
25980,54036
25980,54037
25980,54038
25980,54039
25980,54040
25980,54041
25980,54042
25980,54043
25980,54044
25980,54045
25980,54046
25980,54047
25980,54048
25980,54049
25980,54050
25980,54051
25980,54052
25980,54053
25981,54020
25981,54021
25981,54022
25981,54023
25981,54024
25981,54025
25981,54026
25981,54027
25981,54028
25981,54029
25981,54030
25981,54031
25981,54032
25981,54033
25981,54034
25981,54035
25981,54036
25981,54037
25981,54038
25981,54039
25981,54040
25981,54041
25981,54042
25981,54043
25981,54044
25981,54045
25981,54046
25981,54047
25981,54048
25981,54049
25981,54050
25981,54051
25981,54052
25981,54053
25982,54017
25982,54018
25982,54019
25982,54020
25982,54021
25982,54022
25982,54023
25982,54024
25982,54025
25982,54026
25982,54027
25982,54028
25982,54029
25982,54030
25982,54031
25982,54032
25982,54033
25982,54034
25982,54035
25982,54036
25982,54037
25982,54038
25982,54039
25982,54040
25982,54041
25982,54042
25982,54043
25982,54044
25982,54045
25982,54046
25982,54047
25982,54048
25982,54049
25982,54050
25982,54051
25982,54052
25982,54053
25983,54016
25983,54017
25983,54018
25983,54019
25983,54020
25983,54021
25983,54022
25983,54023
25983,54024
25983,54025
25983,54026
25983,54027
25983,54028
25983,54029
25983,54030
25983,54031
25983,54032
25983,54033
25983,54034
25983,54035
25983,54036
25983,54037
25983,54038
25983,54039
25983,54040
25983,54041
25983,54042
25983,54043
25983,54044
25983,54045
25983,54046
25983,54047
25983,54048
25983,54049
25983,54050
25983,54051
25983,54052
25983,54053
25984,54016
25984,54017
25984,54018
25984,54019
25984,54020
25984,54021
25984,54022
25984,54023
25984,54024
25984,54025
25984,54026
25984,54027
25984,54028
25984,54029
25984,54030
25984,54031
25984,54032
25984,54033
25984,54034
25984,54035
25984,54036
25984,54037
25984,54038
25984,54039
25984,54040
25984,54041
25984,54042
25984,54043
25984,54044
25984,54045
25984,54046
25984,54047
25984,54048
25984,54049
25984,54050
25984,54051
25984,54052
25984,54053
25985,54016
25985,54017
25985,54018
25985,54019
25985,54020
25985,54021
25985,54022
25985,54023
25985,54024
25985,54025
25985,54026
25985,54027
25985,54028
25985,54029
25985,54030
25985,54031
25985,54032
25985,54033
25985,54034
25985,54035
25985,54036
25985,54037
25985,54038
25985,54039
25985,54040
25985,54041
25985,54042
25985,54043
25985,54044
25985,54045
25985,54046
25985,54047
25985,54048
25985,54049
25985,54050
25985,54051
25985,54052
25985,54053
25986,54016
25986,54017
25986,54018
25986,54019
25986,54020
25986,54021
25986,54022
25986,54023
25986,54024
25986,54025
25986,54026
25986,54027
25986,54028
25986,54029
25986,54030
25986,54031
25986,54032
25986,54033
25986,54034
25986,54035
25986,54036
25986,54037
25986,54038
25986,54039
25986,54040
25986,54041
25986,54042
25986,54043
25986,54044
25986,54045
25986,54046
25986,54047
25986,54048
25986,54049
25986,54050
25986,54051
25986,54052
25986,54053
25986,54054
25986,54055
25986,54056
25987,54017
25987,54018
25987,54019
25987,54020
25987,54021
25987,54022
25987,54023
25987,54024
25987,54025
25987,54026
25987,54027
25987,54028
25987,54029
25987,54030
25987,54031
25987,54032
25987,54033
25987,54034
25987,54035
25987,54036
25987,54037
25987,54038
25987,54039
25987,54040
25987,54041
25987,54042
25987,54043
25987,54044
25987,54045
25987,54046
25987,54047
25987,54048
25987,54049
25987,54050
25987,54051
25987,54052
25987,54053
25987,54054
25987,54055
25987,54056
25987,54057
25987,54058
25987,54059
25987,54060
25987,54061
25988,54018
25988,54019
25988,54020
25988,54021
25988,54022
25988,54023
25988,54024
25988,54025
25988,54026
25988,54027
25988,54028
25988,54029
25988,54030
25988,54031
25988,54032
25988,54033
25988,54034
25988,54035
25988,54036
25988,54037
25988,54038
25988,54039
25988,54040
25988,54041
25988,54042
25988,54043
25988,54044
25988,54045
25988,54046
25988,54047
25988,54048
25988,54049
25988,54050
25988,54051
25988,54052
25988,54053
25988,54054
25988,54055
25988,54056
25988,54057
25988,54058
25988,54059
25988,54060
25988,54061
25989,54018
25989,54019
25989,54020
25989,54021
25989,54022
25989,54023
25989,54024
25989,54025
25989,54026
25989,54027
25989,54028
25989,54029
25989,54030
25989,54031
25989,54032
25989,54033
25989,54034
25989,54035
25989,54036
25989,54037
25989,54038
25989,54039
25989,54040
25989,54041
25989,54042
25989,54043
25989,54044
25989,54045
25989,54046
25989,54047
25989,54048
25989,54049
25989,54050
25989,54051
25989,54052
25989,54053
25989,54054
25989,54055
25989,54056
25989,54057
25990,54018
25990,54019
25990,54020
25990,54021
25990,54022
25990,54023
25990,54024
25990,54025
25990,54026
25990,54027
25990,54028
25990,54029
25990,54030
25990,54031
25990,54032
25990,54033
25990,54034
25990,54035
25990,54036
25990,54037
25990,54038
25990,54039
25990,54040
25990,54041
25990,54042
25990,54043
25990,54044
25990,54045
25990,54046
25990,54047
25990,54048
25990,54049
25990,54050
25990,54051
25990,54052
25990,54053
25990,54054
25990,54055
25991,54018
25991,54019
25991,54020
25991,54021
25991,54022
25991,54023
25991,54024
25991,54025
25991,54026
25991,54027
25991,54028
25991,54029
25991,54030
25991,54031
25991,54032
25991,54033
25991,54034
25991,54035
25991,54036
25991,54037
25991,54038
25991,54039
25991,54040
25991,54041
25991,54042
25991,54043
25991,54044
25991,54045
25991,54046
25991,54047
25991,54048
25991,54049
25991,54050
25991,54051
25991,54052
25991,54053
25991,54054
25992,54016
25992,54017
25992,54018
25992,54019
25992,54020
25992,54021
25992,54022
25992,54023
25992,54024
25992,54025
25992,54026
25992,54027
25992,54028
25992,54029
25992,54030
25992,54031
25992,54032
25992,54033
25992,54034
25992,54035
25992,54036
25992,54037
25992,54038
25992,54039
25992,54040
25992,54041
25992,54042
25992,54043
25992,54044
25992,54045
25992,54046
25992,54047
25992,54048
25992,54049
25992,54050
25992,54051
25992,54052
25992,54053
25992,54054
25993,54016
25993,54017
25993,54018
25993,54019
25993,54020
25993,54021
25993,54022
25993,54023
25993,54024
25993,54025
25993,54026
25993,54027
25993,54028
25993,54029
25993,54030
25993,54031
25993,54032
25993,54033
25993,54034
25993,54035
25993,54036
25993,54037
25993,54038
25993,54039
25993,54040
25993,54041
25993,54042
25993,54043
25993,54044
25993,54045
25993,54046
25993,54047
25993,54048
25993,54049
25993,54050
25993,54051
25993,54052
25993,54053
25993,54054
25993,54055
25993,54056
25993,54057
25993,54058
25993,54059
25993,54060
25993,54061
25994,54016
25994,54017
25994,54018
25994,54019
25994,54020
25994,54021
25994,54022
25994,54023
25994,54024
25994,54025
25994,54026
25994,54027
25994,54028
25994,54029
25994,54030
25994,54031
25994,54032
25994,54033
25994,54034
25994,54035
25994,54036
25994,54037
25994,54038
25994,54039
25994,54040
25994,54041
25994,54042
25994,54043
25994,54044
25994,54045
25994,54046
25994,54047
25994,54048
25994,54049
25994,54050
25994,54051
25994,54052
25994,54053
25994,54054
25994,54055
25994,54056
25994,54057
25994,54058
25994,54059
25994,54060
25994,54061
25995,54015
25995,54016
25995,54017
25995,54018
25995,54019
25995,54020
25995,54021
25995,54022
25995,54023
25995,54024
25995,54025
25995,54026
25995,54027
25995,54028
25995,54029
25995,54030
25995,54031
25995,54032
25995,54033
25995,54034
25995,54035
25995,54036
25995,54037
25995,54038
25995,54039
25995,54040
25995,54041
25995,54042
25995,54043
25995,54044
25995,54045
25995,54046
25995,54047
25995,54048
25995,54049
25995,54050
25995,54051
25995,54052
25995,54053
25995,54054
25995,54055
25995,54056
25995,54057
25995,54058
25995,54059
25995,54060
25995,54061
25995,54062
25996,54015
25996,54016
25996,54017
25996,54018
25996,54019
25996,54020
25996,54021
25996,54022
25996,54023
25996,54024
25996,54025
25996,54026
25996,54027
25996,54028
25996,54029
25996,54030
25996,54031
25996,54032
25996,54033
25996,54034
25996,54035
25996,54036
25996,54037
25996,54038
25996,54039
25996,54040
25996,54041
25996,54042
25996,54043
25996,54044
25996,54045
25996,54046
25996,54047
25996,54048
25996,54049
25996,54050
25996,54051
25996,54052
25996,54053
25996,54054
25996,54055
25996,54056
25996,54057
25996,54058
25996,54059
25996,54060
25996,54061
25996,54062
25997,54014
25997,54015
25997,54016
25997,54017
25997,54018
25997,54019
25997,54020
25997,54021
25997,54022
25997,54023
25997,54024
25997,54025
25997,54026
25997,54027
25997,54028
25997,54029
25997,54030
25997,54031
25997,54032
25997,54033
25997,54034
25997,54035
25997,54036
25997,54037
25997,54038
25997,54039
25997,54040
25997,54041
25997,54042
25997,54043
25997,54044
25997,54045
25997,54046
25997,54047
25997,54048
25997,54049
25997,54050
25997,54051
25997,54052
25997,54053
25997,54054
25997,54055
25997,54056
25997,54057
25997,54058
25997,54059
25997,54060
25997,54061
25997,54062
25998,54014
25998,54015
25998,54016
25998,54017
25998,54018
25998,54019
25998,54020
25998,54021
25998,54022
25998,54023
25998,54024
25998,54025
25998,54026
25998,54027
25998,54028
25998,54029
25998,54030
25998,54031
25998,54032
25998,54033
25998,54034
25998,54035
25998,54036
25998,54037
25998,54038
25998,54039
25998,54040
25998,54041
25998,54042
25998,54043
25998,54044
25998,54045
25998,54046
25998,54047
25998,54048
25998,54049
25998,54050
25998,54051
25998,54052
25998,54053
25998,54054
25998,54055
25998,54056
25998,54057
25998,54058
25998,54059
25998,54060
25998,54061
25998,54062
25998,54063
25999,54014
25999,54015
25999,54016
25999,54017
25999,54018
25999,54019
25999,54020
25999,54021
25999,54022
25999,54023
25999,54024
25999,54025
25999,54026
25999,54027
25999,54028
25999,54029
25999,54030
25999,54031
25999,54032
25999,54033
25999,54034
25999,54035
25999,54036
25999,54037
25999,54038
25999,54039
25999,54040
25999,54041
25999,54042
25999,54043
25999,54044
25999,54045
25999,54046
25999,54047
25999,54048
25999,54049
25999,54050
25999,54051
25999,54052
25999,54053
25999,54054
25999,54055
25999,54056
25999,54057
25999,54058
25999,54059
25999,54060
25999,54061
25999,54062
25999,54063
26000,54012
26000,54013
26000,54014
26000,54015
26000,54016
26000,54017
26000,54018
26000,54019
26000,54020
26000,54021
26000,54022
26000,54023
26000,54024
26000,54025
26000,54026
26000,54027
26000,54028
26000,54029
26000,54030
26000,54031
26000,54032
26000,54033
26000,54034
26000,54035
26000,54036
26000,54037
26000,54038
26000,54039
26000,54040
26000,54041
26000,54042
