y_tile,x_tile
27584,52910
27584,52911
27584,52912
27584,52913
27584,52914
27585,52910
27585,52911
27585,52912
27585,52913
27585,52914
27585,52915
27586,52909
27586,52910
27586,52911
27586,52912
27586,52913
27586,52914
27586,52915
27586,52931
27586,52932
27586,52933
27586,52934
27587,52908
27587,52909
27587,52910
27587,52911
27587,52912
27587,52913
27587,52914
27587,52915
27587,52928
27587,52929
27587,52930
27587,52931
27587,52932
27587,52933
27587,52934
27587,52935
27588,52908
27588,52909
27588,52910
27588,52911
27588,52912
27588,52913
27588,52914
27588,52915
27588,52928
27588,52929
27588,52930
27588,52931
27588,52932
27588,52933
27588,52934
27588,52935
27589,52907
27589,52908
27589,52909
27589,52910
27589,52911
27589,52912
27589,52913
27589,52914
27589,52915
27589,52916
27589,52917
27589,52918
27589,52919
27589,52920
27589,52921
27589,52927
27589,52928
27589,52929
27589,52930
27589,52931
27589,52932
27589,52933
27589,52934
27589,52935
27590,52907
27590,52908
27590,52909
27590,52910
27590,52911
27590,52912
27590,52913
27590,52914
27590,52915
27590,52916
27590,52917
27590,52918
27590,52919
27590,52920
27590,52921
27590,52927
27590,52928
27590,52929
27590,52930
27590,52931
27590,52932
27590,52933
27590,52934
27590,52935
27591,52906
27591,52907
27591,52908
27591,52909
27591,52910
27591,52911
27591,52912
27591,52913
27591,52914
27591,52915
27591,52916
27591,52917
27591,52918
27591,52919
27591,52920
27591,52921
27591,52922
27591,52923
27591,52924
27591,52925
27591,52926
27591,52927
27591,52928
27591,52929
27591,52930
27591,52931
27591,52932
27591,52933
27591,52934
27591,52935
27592,52905
27592,52906
27592,52907
27592,52908
27592,52909
27592,52910
27592,52911
27592,52912
27592,52913
27592,52914
27592,52915
27592,52916
27592,52917
27592,52918
27592,52919
27592,52920
27592,52921
27592,52922
27592,52923
27592,52924
27592,52925
27592,52926
27592,52927
27592,52928
27592,52929
27592,52930
27592,52931
27592,52932
27592,52933
27592,52934
27592,52935
27593,52904
27593,52905
27593,52906
27593,52907
27593,52908
27593,52909
27593,52910
27593,52911
27593,52912
27593,52913
27593,52914
27593,52915
27593,52916
27593,52917
27593,52918
27593,52919
27593,52920
27593,52921
27593,52922
27593,52923
27593,52924
27593,52925
27593,52926
27593,52927
27593,52928
27593,52929
27593,52930
27593,52931
27593,52932
27593,52933
27593,52934
27593,52935
27594,52903
27594,52904
27594,52905
27594,52906
27594,52907
27594,52908
27594,52909
27594,52910
