y_tile,x_tile
26913,54732
26914,54731
26914,54732
26914,54733
26915,54731
26915,54732
26915,54733
26915,54734
26915,54736
26915,54737
26915,54738
26915,54739
26915,54740
26915,54741
26915,54742
26915,54743
26915,54744
26915,54745
26916,54731
26916,54732
26916,54733
26916,54734
26916,54735
26916,54736
26916,54737
26916,54738
26916,54739
26916,54740
26916,54741
26916,54742
26916,54743
26916,54744
26916,54745
26916,54746
26917,54732
26917,54733
26917,54734
26917,54735
26917,54736
26917,54737
26917,54738
26917,54739
26917,54740
26917,54741
26917,54742
26917,54743
26917,54744
26917,54745
26917,54746
26918,54732
26918,54733
26918,54734
26918,54735
26918,54736
26918,54737
26918,54738
26918,54739
26918,54740
26918,54741
26918,54742
26918,54743
26918,54744
26918,54745
26918,54746
26918,54747
26919,54733
26919,54734
26919,54735
26919,54736
26919,54737
26919,54738
26919,54739
26919,54740
26919,54741
26919,54742
26919,54743
26919,54744
26919,54745
26919,54746
26919,54747
26919,54748
26919,54749
26920,54733
26920,54734
26920,54735
26920,54736
26920,54737
26920,54738
26920,54739
26920,54740
26920,54741
26920,54742
26920,54743
26920,54744
26920,54745
26920,54746
26920,54747
26920,54748
26920,54749
26920,54750
26921,54733
26921,54734
26921,54735
26921,54736
26921,54737
26921,54738
26921,54739
26921,54740
26921,54741
26921,54742
26921,54743
26921,54744
26921,54745
26921,54746
26921,54747
26921,54748
26921,54749
26921,54750
26922,54733
26922,54734
26922,54735
26922,54736
26922,54737
26922,54738
26922,54739
26922,54740
26922,54741
26922,54742
26922,54743
26922,54744
26922,54745
26922,54746
26922,54747
26922,54748
26922,54749
26922,54750
26923,54733
26923,54734
26923,54735
26923,54736
26923,54737
26923,54738
26923,54739
26923,54740
26923,54741
26923,54742
26923,54743
26923,54744
26923,54745
26923,54746
26923,54747
26923,54748
26923,54749
26923,54750
26924,54732
26924,54733
26924,54734
26924,54735
26924,54736
26924,54737
26924,54738
26924,54739
26924,54740
26924,54741
26924,54742
26924,54743
26924,54744
26924,54745
26924,54746
26924,54747
26924,54748
26924,54749
26924,54750
26925,54725
26925,54726
26925,54727
26925,54728
26925,54729
26925,54730
26925,54731
26925,54732
26925,54733
26925,54734
26925,54735
26925,54736
26925,54737
26925,54738
26925,54739
26925,54740
26925,54741
26925,54742
26925,54743
26925,54744
26925,54745
26925,54746
26925,54747
26925,54748
26925,54749
26925,54750
26926,54721
26926,54722
26926,54723
26926,54724
26926,54725
26926,54726
26926,54727
26926,54728
26926,54729
26926,54730
26926,54731
26926,54732
26926,54733
26926,54734
26926,54735
26926,54736
26926,54737
26926,54738
26926,54739
26926,54740
26926,54741
26926,54742
26926,54743
26926,54744
26926,54745
26926,54746
26926,54747
26926,54748
26926,54749
26927,54721
26927,54722
26927,54723
26927,54724
26927,54725
26927,54726
26927,54727
26927,54728
26927,54729
26927,54730
26927,54731
26927,54732
26927,54733
26927,54734
26927,54735
26927,54736
26927,54737
26927,54738
26927,54739
26927,54740
26927,54741
26927,54742
26927,54743
26927,54744
26927,54745
26927,54746
26927,54747
26927,54748
26927,54749
26927,54750
26928,54717
26928,54718
26928,54719
26928,54720
26928,54721
26928,54722
26928,54723
26928,54724
26928,54725
26928,54726
26928,54727
26928,54728
26928,54729
26928,54730
26928,54731
26928,54732
26928,54733
26928,54734
26928,54735
26928,54736
26928,54737
26928,54738
26928,54739
26928,54740
26928,54741
26928,54742
26928,54743
26928,54744
26928,54745
26928,54746
26928,54747
26928,54748
26928,54749
26928,54750
26929,54717
26929,54718
26929,54719
26929,54720
26929,54721
26929,54722
26929,54723
26929,54724
26929,54725
26929,54726
26929,54727
26929,54728
26929,54729
26929,54730
26929,54731
26929,54732
26929,54733
26929,54734
26929,54735
26929,54736
26929,54737
26929,54738
26929,54739
26929,54740
26929,54741
26929,54742
26929,54743
26929,54744
26929,54745
26929,54746
26929,54747
26929,54748
26929,54749
26929,54750
26929,54751
26929,54752
26930,54717
26930,54718
26930,54719
26930,54720
26930,54721
26930,54722
26930,54723
26930,54724
26930,54725
26930,54726
26930,54727
26930,54728
26930,54729
26930,54730
26930,54731
26930,54732
26930,54733
26930,54734
26930,54735
26930,54736
26930,54737
26930,54738
26930,54739
26930,54740
26930,54741
26930,54742
26930,54743
26930,54744
26930,54745
26930,54746
26930,54747
26930,54748
26930,54749
26930,54750
26930,54751
26930,54752
26930,54753
26930,54754
26931,54715
26931,54716
26931,54717
26931,54718
26931,54719
26931,54720
26931,54721
26931,54722
26931,54723
26931,54724
26931,54725
26931,54726
26931,54727
26931,54728
26931,54729
26931,54730
26931,54731
26931,54732
26931,54733
26931,54734
26931,54735
26931,54736
26931,54737
26931,54738
26931,54739
26931,54740
26931,54741
26931,54742
26931,54743
26931,54744
26931,54745
26931,54746
26931,54747
26931,54748
26931,54749
26931,54750
26931,54751
26931,54752
26931,54753
26931,54754
26932,54691
26932,54692
26932,54698
26932,54699
26932,54700
26932,54714
26932,54715
26932,54716
26932,54717
26932,54718
26932,54719
26932,54720
26932,54721
26932,54722
26932,54723
26932,54724
26932,54725
26932,54726
26932,54727
26932,54728
26932,54729
26932,54730
26932,54731
26932,54732
26932,54733
26932,54734
26932,54735
26932,54736
26932,54737
26932,54738
26932,54739
26932,54740
26932,54741
26932,54742
26932,54743
26932,54744
26932,54745
26932,54746
26932,54747
26932,54748
26932,54749
26932,54750
26932,54751
26932,54752
26932,54753
26932,54754
26932,54755
26933,54691
26933,54692
26933,54693
26933,54696
26933,54697
26933,54698
26933,54699
26933,54700
26933,54703
26933,54704
26933,54714
26933,54715
26933,54716
26933,54717
26933,54718
26933,54719
26933,54720
26933,54721
26933,54722
26933,54723
26933,54724
26933,54725
26933,54726
26933,54727
26933,54728
26933,54729
26933,54730
26933,54731
26933,54732
26933,54733
26933,54734
26933,54735
26933,54736
26933,54737
26933,54738
26933,54739
26933,54740
26933,54741
26933,54742
26933,54743
26933,54744
26933,54745
26933,54746
26933,54747
26933,54748
26933,54749
26933,54750
26933,54751
26933,54752
26933,54753
26933,54754
26933,54755
26934,54682
26934,54683
26934,54684
26934,54685
26934,54691
26934,54692
26934,54693
26934,54694
26934,54695
26934,54696
26934,54697
26934,54698
26934,54699
26934,54700
26934,54701
26934,54702
26934,54703
26934,54704
26934,54705
26934,54715
26934,54716
26934,54717
26934,54718
26934,54719
26934,54720
26934,54721
26934,54722
26934,54723
26934,54724
26934,54725
26934,54726
26934,54727
26934,54728
26934,54729
26934,54730
26934,54731
26934,54732
26934,54733
26934,54734
26934,54735
26934,54736
26934,54737
26934,54738
26934,54739
26934,54740
26934,54741
26934,54742
26934,54743
26934,54744
26934,54745
26934,54746
26934,54747
26934,54748
26934,54749
26934,54750
26934,54751
26934,54752
26934,54753
26934,54754
26934,54755
26934,54756
26935,54681
26935,54682
26935,54683
26935,54684
26935,54685
26935,54686
26935,54687
26935,54688
26935,54691
26935,54692
26935,54693
26935,54694
26935,54695
26935,54696
26935,54697
26935,54698
26935,54699
26935,54700
26935,54701
26935,54702
26935,54703
26935,54704
26935,54705
26935,54706
26935,54715
26935,54716
26935,54717
26935,54718
26935,54719
26935,54720
26935,54721
26935,54722
26935,54723
26935,54724
26935,54725
26935,54726
26935,54727
26935,54728
26935,54729
26935,54730
26935,54731
26935,54732
26935,54733
26935,54734
26935,54735
26935,54736
26935,54737
26935,54738
26935,54739
26935,54740
26935,54741
26935,54742
26935,54743
26935,54744
26935,54745
26935,54746
26935,54747
26935,54748
26935,54749
26935,54750
26935,54751
26935,54752
26935,54753
26935,54754
26935,54755
26935,54756
26936,54681
26936,54682
26936,54683
26936,54684
26936,54685
26936,54686
26936,54687
26936,54688
26936,54689
26936,54690
26936,54691
26936,54692
26936,54693
26936,54694
26936,54695
26936,54696
26936,54697
26936,54698
26936,54699
26936,54700
26936,54701
26936,54702
26936,54703
26936,54704
26936,54705
26936,54706
26936,54707
26936,54708
26936,54709
26936,54711
26936,54712
26936,54713
26936,54714
26936,54715
26936,54716
26936,54717
26936,54718
26936,54719
26936,54720
26936,54721
26936,54722
26936,54723
26936,54724
26936,54725
26936,54726
26936,54727
26936,54728
26936,54729
26936,54730
26936,54731
26936,54732
26936,54733
26936,54734
26936,54735
26936,54736
26936,54737
26936,54738
26936,54739
26936,54740
26936,54741
26936,54742
26936,54743
26936,54744
26936,54745
26936,54746
26936,54747
26936,54748
26936,54749
26936,54750
26936,54751
26936,54752
26936,54753
26936,54754
26936,54755
26936,54756
26936,54757
26937,54676
26937,54677
26937,54678
26937,54679
26937,54680
26937,54681
26937,54682
26937,54683
26937,54684
26937,54685
26937,54686
26937,54687
26937,54688
26937,54689
26937,54690
26937,54691
26937,54692
26937,54693
26937,54694
26937,54695
26937,54696
26937,54697
26937,54698
26937,54699
26937,54700
26937,54701
26937,54702
26937,54703
26937,54704
26937,54705
26937,54706
26937,54707
26937,54708
26937,54709
26937,54710
26937,54711
26937,54712
26937,54713
26937,54714
26937,54715
26937,54716
26937,54717
26937,54718
26937,54719
26937,54720
26937,54721
26937,54722
26937,54723
26937,54724
26937,54725
26937,54726
26937,54727
26937,54728
26937,54729
26937,54730
26937,54731
26937,54732
26937,54733
26937,54734
26937,54735
26937,54736
26937,54737
26937,54738
26937,54739
26937,54740
26937,54741
26937,54742
26937,54743
26937,54744
26937,54745
26937,54746
26937,54747
26937,54748
26937,54749
26937,54750
26937,54751
26937,54752
26937,54753
26937,54754
26937,54755
26937,54756
26937,54757
26938,54676
26938,54677
26938,54678
26938,54679
26938,54680
26938,54681
26938,54682
26938,54683
26938,54684
26938,54685
26938,54686
26938,54687
26938,54688
26938,54689
26938,54690
26938,54691
26938,54692
26938,54693
26938,54694
26938,54695
26938,54696
26938,54697
26938,54698
26938,54699
26938,54700
26938,54701
26938,54702
26938,54703
26938,54704
26938,54705
26938,54706
26938,54707
26938,54708
26938,54709
26938,54710
26938,54711
26938,54712
26938,54713
26938,54714
26938,54715
26938,54716
26938,54717
26938,54718
26938,54719
26938,54720
26938,54721
26938,54722
26938,54723
26938,54724
