y_tile,x_tile
26961,54233
26961,54234
26962,54233
26962,54234
26962,54235
26963,54226
26963,54227
26963,54228
26963,54234
26963,54235
26963,54236
26964,54224
26964,54225
26964,54226
26964,54227
26964,54228
26964,54229
26964,54230
26964,54234
26964,54235
26964,54236
26964,54237
26965,54217
26965,54218
26965,54219
26965,54220
26965,54221
26965,54222
26965,54223
26965,54224
26965,54225
26965,54226
26965,54227
26965,54228
26965,54229
26965,54230
26965,54231
26965,54232
26965,54233
26965,54234
26965,54235
26965,54236
26965,54237
26966,54216
26966,54217
26966,54218
26966,54219
26966,54220
26966,54221
26966,54222
26966,54223
26966,54224
26966,54225
26966,54226
26966,54227
26966,54228
26966,54229
26966,54230
26966,54231
26966,54232
26966,54233
26966,54234
26966,54235
26966,54236
26966,54237
26966,54238
26967,54155
26967,54156
26967,54208
26967,54215
26967,54216
26967,54217
26967,54218
26967,54219
26967,54220
26967,54221
26967,54222
26967,54223
26967,54224
26967,54225
26967,54226
26967,54227
26967,54228
26967,54229
26967,54230
26967,54231
26967,54232
26967,54233
26967,54234
26967,54235
26967,54236
26967,54237
26967,54238
26968,54153
26968,54154
26968,54155
26968,54156
26968,54207
26968,54208
26968,54209
26968,54210
26968,54215
26968,54216
26968,54217
26968,54218
26968,54219
26968,54220
26968,54221
26968,54222
26968,54223
26968,54224
26968,54225
26968,54226
26968,54227
26968,54228
26968,54229
26968,54230
26968,54231
26968,54232
26968,54233
26968,54234
26968,54235
26968,54236
26968,54237
26968,54238
26969,54152
26969,54153
26969,54154
26969,54155
26969,54156
26969,54157
26969,54194
26969,54195
26969,54196
26969,54206
26969,54207
26969,54208
26969,54209
26969,54210
26969,54211
26969,54212
26969,54214
26969,54215
26969,54216
26969,54217
26969,54218
26969,54219
26969,54220
26969,54221
26969,54222
26969,54223
26969,54224
26969,54225
26969,54226
26969,54227
26969,54228
26969,54229
26969,54230
26969,54231
26969,54232
26969,54233
26969,54234
26969,54235
26969,54236
26970,54150
26970,54151
26970,54152
26970,54153
26970,54154
26970,54155
26970,54156
26970,54157
26970,54193
26970,54194
26970,54195
26970,54196
26970,54197
26970,54205
26970,54206
26970,54207
26970,54208
26970,54209
26970,54210
26970,54211
26970,54212
26970,54213
26970,54214
26970,54215
26970,54216
26970,54217
26970,54218
26970,54219
26970,54220
26970,54221
26970,54222
26970,54223
26970,54224
26970,54225
26970,54226
26970,54227
26970,54228
26970,54229
26970,54230
26970,54231
26970,54232
26970,54233
26970,54234
26970,54235
26970,54236
26971,54122
26971,54123
26971,54124
26971,54125
26971,54150
26971,54151
26971,54152
26971,54153
26971,54154
26971,54155
26971,54156
26971,54157
26971,54193
26971,54194
26971,54195
26971,54196
26971,54197
26971,54198
26971,54199
26971,54200
26971,54201
26971,54202
26971,54203
26971,54204
26971,54205
26971,54206
26971,54207
26971,54208
26971,54209
26971,54210
26971,54211
26971,54212
26971,54213
26971,54214
26971,54215
26971,54216
26971,54217
26971,54218
26971,54219
26971,54220
26971,54221
26971,54222
26971,54223
26971,54224
26971,54225
26971,54226
26971,54227
26971,54228
26971,54229
26971,54230
26971,54231
26971,54232
26971,54233
26971,54234
26971,54235
26971,54236
26972,54120
26972,54121
26972,54122
26972,54123
26972,54124
26972,54125
26972,54126
26972,54149
26972,54150
26972,54151
26972,54152
26972,54153
26972,54154
26972,54155
26972,54156
26972,54157
26972,54192
26972,54193
26972,54194
26972,54195
26972,54196
26972,54197
26972,54198
26972,54199
26972,54200
26972,54201
26972,54202
26972,54203
26972,54204
26972,54205
26972,54206
26972,54207
26972,54208
26972,54209
26972,54210
26972,54211
26972,54212
26972,54213
26972,54214
26972,54215
26972,54216
26972,54217
26972,54218
26972,54219
26972,54220
26972,54221
26972,54222
26972,54223
26972,54224
26972,54225
26972,54226
26972,54227
26972,54228
26972,54229
26972,54230
26972,54231
26972,54232
26972,54233
26972,54234
26973,54119
26973,54120
26973,54121
26973,54122
26973,54123
26973,54124
26973,54125
26973,54126
26973,54139
26973,54140
26973,54148
26973,54149
26973,54150
26973,54151
26973,54152
26973,54153
26973,54154
26973,54155
26973,54156
26973,54157
26973,54192
26973,54193
26973,54194
26973,54195
26973,54196
26973,54197
26973,54198
26973,54199
26973,54200
26973,54201
26973,54202
26973,54203
26973,54204
26973,54205
26973,54206
26973,54207
26973,54208
26973,54209
26973,54210
26973,54211
26973,54212
26973,54213
26973,54214
26973,54215
26973,54216
26973,54217
26973,54218
26973,54219
26973,54220
26973,54221
26973,54222
26973,54223
26973,54224
26973,54225
26973,54226
26973,54227
26973,54228
26973,54229
26973,54230
26973,54231
26973,54232
26973,54233
26974,54117
26974,54118
26974,54119
26974,54120
26974,54121
26974,54122
26974,54123
26974,54124
26974,54125
26974,54126
26974,54136
26974,54137
26974,54138
26974,54139
26974,54140
26974,54141
26974,54142
26974,54143
26974,54147
26974,54148
26974,54149
26974,54150
26974,54151
26974,54152
26974,54153
26974,54154
26974,54155
26974,54156
26974,54157
