y_tile,x_tile
25447,52912
25447,52913
25447,52914
25447,52915
25448,52911
25448,52912
25448,52913
25448,52914
25448,52915
25449,52911
25449,52912
25449,52913
25449,52914
25449,52915
25450,52910
25450,52911
25450,52912
25450,52913
25450,52914
25450,52915
25451,52909
25451,52910
25451,52911
25451,52912
25451,52913
25451,52914
25451,52915
25451,52916
25451,52935
25451,52936
25451,52937
25452,52908
25452,52909
25452,52910
25452,52911
25452,52912
25452,52913
25452,52914
25452,52915
25452,52916
25452,52933
25452,52934
25452,52935
25452,52936
25452,52937
25452,52938
25453,52908
25453,52909
25453,52910
25453,52911
25453,52912
25453,52913
25453,52914
25453,52915
25453,52916
25453,52917
25453,52918
25453,52919
25453,52920
25453,52921
25453,52931
25453,52932
25453,52933
25453,52934
25453,52935
25453,52936
25453,52937
25453,52938
25453,52939
25454,52908
25454,52909
25454,52910
25454,52911
25454,52912
25454,52913
25454,52914
25454,52915
25454,52916
25454,52917
25454,52918
25454,52919
25454,52920
25454,52921
25454,52930
25454,52931
25454,52932
25454,52933
25454,52934
25454,52935
25454,52936
25454,52937
25454,52938
25454,52939
25454,52940
25455,52907
25455,52908
25455,52909
25455,52910
25455,52911
25455,52912
25455,52913
25455,52914
25455,52915
25455,52916
25455,52917
25455,52918
25455,52919
25455,52920
25455,52921
25455,52922
25455,52929
25455,52930
25455,52931
25455,52932
25455,52933
25455,52934
25455,52935
25455,52936
25455,52937
25455,52938
25455,52939
25455,52940
25455,52941
25456,52906
25456,52907
25456,52908
25456,52909
25456,52910
25456,52911
25456,52912
25456,52913
25456,52914
25456,52915
25456,52916
25456,52917
25456,52918
25456,52919
25456,52920
25456,52921
25456,52922
25456,52928
25456,52929
25456,52930
25456,52931
25456,52932
25456,52933
25456,52934
25456,52935
25456,52936
25456,52937
25456,52938
25456,52939
25456,52940
25456,52941
25457,52905
25457,52906
25457,52907
25457,52908
25457,52909
25457,52910
25457,52911
25457,52912
25457,52913
25457,52914
25457,52915
25457,52916
25457,52917
25457,52918
25457,52919
25457,52920
25457,52921
25457,52922
25457,52923
25457,52924
25457,52927
25457,52928
25457,52929
25457,52930
25457,52931
25457,52932
25457,52933
25457,52934
25457,52935
25457,52936
25457,52937
25457,52938
25457,52939
25457,52940
25457,52941
25458,52904
25458,52905
25458,52906
25458,52907
25458,52908
25458,52909
25458,52910
25458,52911
25458,52912
25458,52913
25458,52914
25458,52915
25458,52916
25458,52917
25458,52918
25458,52919
25458,52920
25458,52921
25458,52922
25458,52923
25458,52924
25458,52925
25458,52927
25458,52928
25458,52929
25458,52930
25458,52931
25458,52932
25458,52933
25458,52934
25458,52935
25458,52936
25458,52937
25458,52938
25458,52939
25458,52940
25459,52904
25459,52905
25459,52906
25459,52907
25459,52908
25459,52909
25459,52910
25459,52911
25459,52912
25459,52913
25459,52914
25459,52915
25459,52916
25459,52917
25459,52918
25459,52919
25459,52920
25459,52921
25459,52922
25459,52923
25459,52924
25459,52925
25459,52926
25459,52927
25459,52928
25459,52929
25459,52930
25459,52931
25459,52932
25459,52933
25459,52934
25459,52935
25459,52936
25459,52937
25459,52938
25459,52939
25459,52940
25460,52903
25460,52904
25460,52905
25460,52906
25460,52907
25460,52908
25460,52909
25460,52910
25460,52911
25460,52912
25460,52913
25460,52914
25460,52915
25460,52916
25460,52917
25460,52918
25460,52919
25460,52920
25460,52921
25460,52922
25460,52923
25460,52924
25460,52925
25460,52926
25460,52927
25460,52928
25460,52929
25460,52930
25460,52931
25460,52932
25460,52933
25460,52934
25460,52935
25460,52936
25460,52937
25460,52938
25460,52939
25460,52940
25461,52902
25461,52903
25461,52904
25461,52905
25461,52906
25461,52907
25461,52908
25461,52909
25461,52910
25461,52911
25461,52912
25461,52913
25461,52914
25461,52915
25461,52916
25461,52917
25461,52918
25461,52919
25461,52920
25461,52921
25461,52922
25461,52923
25461,52924
25461,52925
25461,52926
25461,52927
25461,52928
25461,52929
25461,52930
25461,52931
25461,52932
25461,52933
25461,52934
25461,52935
25461,52936
25461,52937
25461,52938
25461,52939
25461,52940
25462,52902
25462,52903
25462,52904
25462,52905
25462,52906
25462,52907
25462,52908
25462,52909
25462,52910
25462,52911
25462,52912
25462,52913
25462,52914
25462,52915
25462,52916
25462,52917
25462,52918
25462,52919
25462,52920
25462,52921
25462,52922
25462,52923
25462,52924
25462,52925
25462,52926
25462,52927
25462,52928
25462,52929
25462,52930
25462,52931
25462,52932
25462,52933
25462,52934
25462,52935
25462,52936
25462,52937
25462,52938
25462,52939
25462,52940
25463,52901
25463,52902
25463,52903
25463,52904
25463,52905
25463,52906
25463,52907
25463,52908
25463,52909
25463,52910
25463,52911
25463,52912
25463,52913
25463,52914
25463,52915
25463,52916
25463,52917
25463,52918
25463,52919
25463,52920
25463,52921
25463,52922
25463,52923
25463,52924
25463,52925
25463,52926
25463,52927
25463,52928
25463,52929
25463,52930
25463,52931
25463,52932
25463,52933
25463,52934
25463,52935
25463,52936
25463,52937
25463,52938
25463,52939
25463,52940
25464,52900
25464,52901
25464,52902
25464,52903
25464,52904
25464,52905
25464,52906
25464,52907
25464,52908
25464,52909
25464,52910
25464,52911
25464,52912
25464,52913
25464,52914
25464,52915
25464,52916
25464,52917
25464,52918
25464,52919
25464,52920
25464,52921
25464,52922
25464,52923
25464,52924
25464,52925
25464,52926
25464,52927
25464,52928
25464,52929
25464,52930
25464,52931
25464,52932
25464,52933
25464,52934
25464,52935
25464,52936
25464,52937
25464,52938
25464,52939
25464,52940
25464,52941
25465,52900
25465,52901
25465,52902
25465,52903
25465,52904
25465,52905
25465,52906
25465,52907
25465,52908
25465,52909
25465,52910
25465,52911
25465,52912
25465,52913
25465,52914
25465,52915
25465,52916
25465,52917
25465,52918
25465,52919
25465,52920
25465,52921
25465,52922
25465,52923
25465,52924
25465,52925
25465,52926
25465,52927
25465,52928
25465,52929
25465,52930
25465,52931
25465,52932
25465,52933
25465,52934
25465,52935
25465,52936
25465,52937
25465,52938
25465,52939
25465,52940
25465,52941
25465,52942
25466,52899
25466,52900
25466,52901
25466,52902
25466,52903
25466,52904
25466,52905
25466,52906
25466,52907
25466,52908
25466,52909
25466,52910
25466,52911
25466,52912
25466,52913
25466,52914
25466,52915
25466,52916
25466,52917
25466,52918
25466,52919
25466,52920
25466,52921
25466,52922
25466,52923
25466,52924
25466,52925
25466,52926
25466,52927
25466,52928
25466,52929
25466,52930
25466,52931
25466,52932
25466,52933
25466,52934
25466,52935
25466,52936
25466,52937
25466,52938
25466,52939
25466,52940
25466,52941
25466,52942
25467,52898
25467,52899
25467,52900
25467,52901
25467,52902
25467,52903
25467,52904
25467,52905
25467,52906
25467,52907
25467,52908
25467,52909
25467,52910
25467,52911
25467,52912
25467,52913
25467,52914
25467,52915
25467,52916
25467,52917
25467,52918
25467,52919
25467,52920
25467,52921
25467,52922
25467,52923
25467,52924
25467,52925
25467,52926
25467,52927
25467,52928
25467,52929
25467,52930
25467,52931
25467,52932
25467,52933
25467,52934
25467,52935
25467,52936
25467,52937
25467,52938
25467,52939
25467,52940
25467,52941
25467,52942
25467,52943
25468,52897
25468,52898
25468,52899
25468,52900
25468,52901
25468,52902
25468,52903
25468,52904
25468,52905
25468,52906
25468,52907
25468,52908
25468,52909
25468,52910
25468,52911
25468,52912
25468,52913
25468,52914
25468,52915
25468,52916
25468,52917
