y_tile,x_tile
26133,50573
26133,50574
26133,50575
26133,50576
26133,50578
26133,50579
26133,50580
26133,50589
26133,50590
26133,50591
26134,50573
26134,50574
26134,50575
26134,50576
26134,50577
26134,50578
26134,50579
26134,50580
26134,50581
26134,50582
26134,50583
26134,50584
26134,50585
26134,50586
26134,50587
26134,50588
26134,50589
26134,50590
26134,50591
26134,50592
26135,50571
26135,50572
26135,50573
26135,50574
26135,50575
26135,50576
26135,50577
26135,50578
26135,50579
26135,50580
26135,50581
26135,50582
26135,50583
26135,50584
26135,50585
26135,50586
26135,50587
26135,50588
26135,50589
26135,50590
26135,50591
26135,50592
26135,50593
26135,50594
26135,50595
26135,50598
26136,50571
26136,50572
26136,50573
26136,50574
26136,50575
26136,50576
26136,50577
26136,50578
26136,50579
26136,50580
26136,50581
26136,50582
26136,50583
26136,50584
26136,50585
26136,50586
26136,50587
26136,50588
26136,50589
26136,50590
26136,50591
26136,50592
26136,50593
26136,50594
26136,50595
26136,50596
26136,50597
26136,50598
26136,50599
26137,50570
26137,50571
26137,50572
26137,50573
26137,50574
26137,50575
26137,50576
26137,50577
26137,50578
26137,50579
26137,50580
26137,50581
26137,50582
26137,50583
26137,50584
26137,50585
26137,50586
26137,50587
26137,50588
26137,50589
26137,50590
26137,50591
26137,50592
26137,50593
26137,50594
26137,50595
26137,50596
26137,50597
26137,50598
26137,50599
26137,50600
26138,50570
26138,50571
26138,50572
26138,50573
26138,50574
26138,50575
26138,50576
26138,50577
26138,50578
26138,50579
26138,50580
26138,50581
26138,50582
26138,50583
26138,50584
26138,50585
26138,50586
26138,50587
26138,50588
26138,50589
26138,50590
26138,50591
26138,50592
26138,50593
26138,50594
26138,50595
26138,50596
26138,50597
26138,50598
26138,50599
26138,50600
26139,50569
26139,50570
26139,50571
26139,50572
26139,50573
26139,50574
26139,50575
26139,50576
26139,50577
26139,50578
26139,50579
26139,50580
26139,50581
26139,50582
26139,50583
26139,50584
26139,50585
26139,50586
26139,50587
26139,50588
26139,50589
26139,50590
26139,50591
26139,50592
26139,50593
26139,50594
26139,50595
26139,50596
26139,50597
26139,50598
26139,50599
26139,50600
26139,50601
26140,50569
26140,50570
26140,50571
26140,50572
26140,50573
26140,50574
26140,50575
26140,50576
26140,50577
26140,50578
26140,50579
26140,50580
26140,50581
26140,50582
26140,50583
26140,50584
26140,50585
26140,50586
26140,50587
26140,50588
26140,50589
26140,50590
26140,50591
26140,50592
26140,50593
26140,50594
26140,50595
26140,50596
26140,50597
26140,50598
26140,50599
26140,50600
26140,50601
26140,50602
26141,50569
26141,50570
26141,50571
26141,50572
26141,50573
26141,50574
26141,50575
26141,50576
26141,50577
26141,50578
26141,50579
26141,50580
26141,50581
26141,50582
26141,50583
26141,50584
26141,50585
26141,50586
26141,50587
26141,50588
26141,50589
26141,50590
26141,50591
26141,50592
26141,50593
26141,50594
26141,50595
26141,50596
26141,50597
26141,50598
26141,50599
26141,50600
26141,50601
26141,50602
26141,50603
26142,50568
26142,50569
26142,50570
26142,50571
26142,50572
26142,50573
26142,50574
26142,50575
26142,50576
26142,50577
26142,50578
26142,50579
26142,50580
26142,50581
26142,50582
26142,50583
26142,50584
26142,50585
26142,50586
26142,50587
26142,50588
26142,50589
26142,50590
26142,50591
26142,50592
26142,50593
26142,50594
26142,50595
26142,50596
26142,50597
26142,50598
26142,50599
26142,50600
26142,50601
26142,50602
26142,50603
26142,50604
26142,50605
26143,50565
26143,50566
26143,50567
26143,50568
26143,50569
26143,50570
26143,50571
26143,50572
26143,50573
26143,50574
26143,50575
26143,50576
26143,50577
26143,50578
26143,50579
26143,50580
26143,50581
26143,50582
26143,50583
26143,50584
26143,50585
26143,50586
26143,50587
26143,50588
26143,50589
26143,50590
26143,50591
26143,50592
26143,50593
26143,50594
26143,50595
26143,50596
26143,50597
26143,50598
26143,50599
26143,50600
26143,50601
26143,50602
26143,50603
26143,50604
26143,50605
26144,50564
26144,50565
26144,50566
26144,50567
26144,50568
26144,50569
26144,50570
26144,50571
26144,50572
26144,50573
26144,50574
26144,50575
26144,50576
26144,50577
26144,50578
26144,50579
26144,50580
26144,50581
26144,50582
26144,50583
26144,50584
26144,50585
26144,50586
26144,50587
26144,50588
26144,50589
26144,50590
26144,50591
26144,50592
26144,50593
26144,50594
26144,50595
26144,50596
26144,50597
26144,50598
26144,50599
26144,50600
26144,50601
26144,50602
26144,50603
26144,50604
26144,50605
26144,50606
26144,50607
26145,50560
26145,50561
26145,50562
26145,50563
26145,50564
26145,50565
26145,50566
26145,50567
26145,50568
26145,50569
26145,50570
26145,50571
26145,50572
26145,50573
26145,50574
26145,50575
26145,50576
26145,50577
26145,50578
26145,50579
26145,50580
26145,50581
26145,50582
26145,50583
26145,50584
26145,50585
26145,50586
26145,50587
26145,50588
26145,50589
26145,50590
26145,50591
26145,50592
26145,50593
26145,50594
26145,50595
26145,50596
26145,50597
26145,50598
26145,50599
26145,50600
26145,50601
26145,50602
26145,50603
26145,50604
26145,50605
26145,50606
26145,50607
26145,50608
26146,50559
26146,50560
26146,50561
26146,50562
26146,50563
26146,50564
26146,50565
26146,50566
26146,50567
26146,50568
26146,50569
26146,50570
26146,50571
26146,50572
26146,50573
26146,50574
26146,50575
