y_tile,x_tile
26365,53345
26365,53346
26365,53347
26365,53348
26365,53363
26365,53364
26365,53365
26365,53366
26365,53367
26365,53368
26365,53369
26365,53370
26365,53371
26365,53372
26366,53342
26366,53343
26366,53344
26366,53345
26366,53346
26366,53347
26366,53348
26366,53361
26366,53362
26366,53363
26366,53364
26366,53365
26366,53366
26366,53367
26366,53368
26366,53369
26366,53370
26366,53371
26366,53372
26366,53373
26367,53339
26367,53340
26367,53341
26367,53342
26367,53343
26367,53344
26367,53345
26367,53346
26367,53347
26367,53348
26367,53360
26367,53361
26367,53362
26367,53363
26367,53364
26367,53365
26367,53366
26367,53367
26367,53368
26367,53369
26367,53370
26367,53371
26367,53372
26367,53373
26367,53374
26368,53331
26368,53332
26368,53333
26368,53334
26368,53335
26368,53339
26368,53340
26368,53341
26368,53342
26368,53343
26368,53344
26368,53345
26368,53346
26368,53347
26368,53348
26368,53349
26368,53355
26368,53356
26368,53359
26368,53360
26368,53361
26368,53362
26368,53363
26368,53364
26368,53365
26368,53366
26368,53367
26368,53368
26368,53369
26368,53370
26368,53371
26368,53372
26368,53373
26368,53374
26369,53330
26369,53331
26369,53332
26369,53333
26369,53334
26369,53335
26369,53339
26369,53340
26369,53341
26369,53342
26369,53343
26369,53344
26369,53345
26369,53346
26369,53347
26369,53348
26369,53349
26369,53350
26369,53351
26369,53355
26369,53356
26369,53357
26369,53358
26369,53359
26369,53360
26369,53361
26369,53362
26369,53363
26369,53364
26369,53365
26369,53366
26369,53367
26369,53368
26369,53369
26369,53370
26369,53371
26369,53372
26369,53373
26369,53374
26370,53329
26370,53330
26370,53331
26370,53332
26370,53333
26370,53334
26370,53335
26370,53336
26370,53337
26370,53339
26370,53340
26370,53341
26370,53342
26370,53343
26370,53344
26370,53345
26370,53346
26370,53347
26370,53348
26370,53349
26370,53350
26370,53351
26370,53356
26370,53357
26370,53358
26370,53359
26370,53360
26370,53361
26370,53362
26370,53363
26370,53364
26370,53365
26370,53366
26370,53367
26370,53368
26370,53369
26370,53370
26370,53371
26370,53372
26370,53373
26371,53329
26371,53330
26371,53331
26371,53332
26371,53333
26371,53334
26371,53335
26371,53336
26371,53337
26371,53338
26371,53339
26371,53340
26371,53341
26371,53342
26371,53343
26371,53344
26371,53345
26371,53346
26371,53347
26371,53348
26371,53349
26371,53350
26371,53351
26371,53352
26371,53357
26371,53358
26371,53359
26371,53360
26371,53361
26371,53362
26371,53363
26371,53364
26371,53365
26371,53366
26371,53367
26371,53368
26371,53369
26371,53370
26371,53371
26371,53372
26371,53373
26371,53374
26372,53317
26372,53318
26372,53319
26372,53320
26372,53321
26372,53322
26372,53329
26372,53330
26372,53331
26372,53332
26372,53333
26372,53334
26372,53335
26372,53336
26372,53337
26372,53338
26372,53339
26372,53340
26372,53341
26372,53342
26372,53343
26372,53344
26372,53345
26372,53346
26372,53347
26372,53348
26372,53349
26372,53350
26372,53351
26372,53352
26372,53356
26372,53357
26372,53358
26372,53359
26372,53360
26372,53361
26372,53362
26372,53363
26372,53364
26372,53365
26372,53366
26372,53367
26372,53368
26372,53369
26372,53370
26372,53371
26372,53372
26372,53373
26372,53374
26373,53302
26373,53303
26373,53304
26373,53305
26373,53306
26373,53307
26373,53308
26373,53309
26373,53310
26373,53311
26373,53312
26373,53313
26373,53314
26373,53315
26373,53316
26373,53317
26373,53318
26373,53319
26373,53320
26373,53321
26373,53322
26373,53323
26373,53328
26373,53329
26373,53330
26373,53331
26373,53332
26373,53333
26373,53334
26373,53335
26373,53336
26373,53337
26373,53338
26373,53339
26373,53340
26373,53341
26373,53342
26373,53343
26373,53344
26373,53345
26373,53346
26373,53347
26373,53348
26373,53349
26373,53350
26373,53351
26373,53352
26373,53353
26373,53354
26373,53355
26373,53356
26373,53357
26373,53358
26373,53359
26373,53360
26373,53361
26373,53362
26373,53363
26373,53364
26373,53365
26373,53366
26373,53367
26373,53368
26373,53369
26373,53370
26373,53371
26373,53372
26373,53373
26373,53374
26374,53302
26374,53303
26374,53304
26374,53305
26374,53306
26374,53307
26374,53308
26374,53309
26374,53310
26374,53311
26374,53312
26374,53313
26374,53314
26374,53315
26374,53316
26374,53317
26374,53318
26374,53319
26374,53320
26374,53321
26374,53322
26374,53323
26374,53324
26374,53325
26374,53326
26374,53327
26374,53328
26374,53329
26374,53330
26374,53331
26374,53332
26374,53333
26374,53334
26374,53335
26374,53336
26374,53337
26374,53338
26374,53339
26374,53340
26374,53341
26374,53342
26374,53343
26374,53344
26374,53345
26374,53346
26374,53347
26374,53348
26374,53349
26374,53350
26374,53351
26374,53352
26374,53353
26374,53354
26374,53355
26374,53356
26374,53357
26374,53358
26374,53359
26374,53360
26374,53361
26374,53362
26374,53363
26374,53364
26374,53365
26374,53366
26374,53367
26374,53368
26374,53369
26374,53370
26374,53371
26374,53372
26374,53373
26374,53374
26375,53301
26375,53302
26375,53303
26375,53304
26375,53305
26375,53306
26375,53307
26375,53308
26375,53309
26375,53310
26375,53311
26375,53312
26375,53313
26375,53314
26375,53315
26375,53316
26375,53317
26375,53318
26375,53319
26375,53320
26375,53321
26375,53322
26375,53323
26375,53324
26375,53325
26375,53326
26375,53327
26375,53328
26375,53329
26375,53330
26375,53331
26375,53332
26375,53333
26375,53334
26375,53335
26375,53336
26375,53337
26375,53338
26375,53339
26375,53340
26375,53341
26375,53342
26375,53343
26375,53344
26375,53345
26375,53346
26375,53347
26375,53348
26375,53349
26375,53350
26375,53351
26375,53352
26375,53353
26375,53354
26375,53355
26375,53356
26375,53357
26375,53358
26375,53359
26375,53360
26375,53361
26375,53362
26375,53363
26375,53364
26375,53365
26375,53366
26375,53367
26375,53368
26375,53369
26375,53370
26375,53371
26375,53372
26375,53373
26375,53374
26375,53375
26376,53300
26376,53301
26376,53302
26376,53303
26376,53304
26376,53305
26376,53306
26376,53307
26376,53308
26376,53309
26376,53310
26376,53311
26376,53312
26376,53313
26376,53314
26376,53315
26376,53316
26376,53317
26376,53318
26376,53319
26376,53320
26376,53321
26376,53322
26376,53323
26376,53324
26376,53325
26376,53326
26376,53327
26376,53328
26376,53329
26376,53330
26376,53331
26376,53332
26376,53333
26376,53334
26376,53335
26376,53336
26376,53337
26376,53338
26376,53339
26376,53340
26376,53341
26376,53342
26376,53343
26376,53344
26376,53345
26376,53346
26376,53347
26376,53348
26376,53349
26376,53350
26376,53351
26376,53352
26376,53353
26376,53354
26376,53355
26376,53356
26376,53357
26376,53358
26376,53359
26376,53360
