y_tile,x_tile
24939,52818
24939,52819
24939,52820
24939,52821
24940,52817
24940,52818
24940,52819
24940,52820
24940,52821
24940,52822
24940,52823
24941,52816
24941,52817
24941,52818
24941,52819
24941,52820
24941,52821
24941,52822
24941,52823
24941,52824
24941,52825
24941,52826
24942,52816
24942,52817
24942,52818
24942,52819
24942,52820
24942,52821
24942,52822
24942,52823
24942,52824
24942,52825
24942,52826
24942,52827
24942,52828
24942,52830
24942,52831
24942,52832
24942,52833
24943,52816
24943,52817
24943,52818
24943,52819
24943,52820
24943,52821
24943,52822
24943,52823
24943,52824
24943,52825
24943,52826
24943,52827
24943,52828
24943,52829
24943,52830
24943,52831
24943,52832
24943,52833
24943,52834
24944,52815
24944,52816
24944,52817
24944,52818
24944,52819
24944,52820
24944,52821
24944,52822
24944,52823
24944,52824
24944,52825
24944,52826
24944,52827
24944,52828
24944,52829
24944,52830
24944,52831
24944,52832
24944,52833
24944,52834
24944,52835
24945,52815
24945,52816
24945,52817
24945,52818
24945,52819
24945,52820
24945,52821
24945,52822
24945,52823
24945,52824
24945,52825
24945,52826
24945,52827
24945,52828
24945,52829
24945,52830
24945,52831
24945,52832
24945,52833
24945,52834
24945,52835
24945,52836
24946,52815
24946,52816
24946,52817
24946,52818
24946,52819
24946,52820
24946,52821
24946,52822
24946,52823
24946,52824
24946,52825
24946,52826
24946,52827
24946,52828
24946,52829
24946,52830
24946,52831
24946,52832
24946,52833
24946,52834
24946,52835
24946,52836
24946,52837
24946,52838
24946,52839
24946,52840
24946,52841
24946,52842
24946,52843
24947,52815
24947,52816
24947,52817
24947,52818
24947,52819
24947,52820
24947,52821
24947,52822
24947,52823
24947,52824
24947,52825
24947,52826
24947,52827
24947,52828
24947,52829
24947,52830
24947,52831
24947,52832
24947,52833
24947,52834
24947,52835
24947,52836
24947,52837
24947,52838
24947,52839
24947,52840
24947,52841
24947,52842
24947,52843
24948,52815
24948,52816
24948,52817
24948,52818
24948,52819
24948,52820
24948,52821
24948,52822
24948,52823
24948,52824
24948,52825
24948,52826
24948,52827
24948,52828
24948,52829
24948,52830
24948,52831
24948,52832
24948,52833
24948,52834
24948,52835
24948,52836
24948,52837
24948,52838
24948,52839
24948,52840
24948,52841
24948,52842
24948,52843
24949,52816
24949,52817
24949,52818
24949,52819
24949,52820
24949,52821
