y_tile,x_tile
27893,54482
27893,54483
27894,54480
27894,54481
27894,54482
27894,54483
27895,54478
27895,54479
27895,54480
27895,54481
27895,54482
27895,54483
27896,54470
27896,54471
27896,54474
27896,54475
27896,54476
27896,54477
27896,54478
27896,54479
27896,54480
27896,54481
27896,54482
27896,54483
27896,54487
27896,54488
27896,54508
27897,54468
27897,54469
27897,54470
27897,54471
27897,54472
27897,54473
27897,54474
27897,54475
27897,54476
27897,54477
27897,54478
27897,54479
27897,54480
27897,54481
27897,54482
27897,54483
27897,54486
27897,54487
27897,54488
27897,54489
27897,54507
27897,54508
27897,54509
27898,54467
27898,54468
27898,54469
27898,54470
27898,54471
27898,54472
27898,54473
27898,54474
27898,54475
27898,54476
27898,54477
27898,54478
27898,54479
27898,54480
27898,54481
27898,54482
27898,54483
27898,54484
27898,54485
27898,54486
27898,54487
27898,54488
27898,54489
27898,54505
27898,54506
27898,54507
27898,54508
27898,54509
27899,54466
27899,54467
27899,54468
27899,54469
27899,54470
27899,54471
27899,54472
27899,54473
27899,54474
27899,54475
27899,54476
27899,54477
27899,54478
27899,54479
27899,54480
27899,54481
27899,54482
27899,54483
27899,54484
27899,54485
27899,54486
27899,54487
27899,54488
27899,54489
27899,54490
27899,54505
27899,54506
27899,54507
27899,54508
27899,54509
27899,54510
27899,54511
27899,54512
27900,54464
27900,54465
27900,54466
27900,54467
27900,54468
27900,54469
27900,54470
27900,54471
27900,54472
27900,54473
27900,54474
27900,54475
27900,54476
27900,54477
27900,54478
27900,54479
27900,54480
27900,54481
27900,54482
27900,54483
27900,54484
27900,54485
27900,54486
27900,54487
27900,54488
27900,54489
27900,54490
27900,54504
27900,54505
27900,54506
27900,54507
27900,54508
27900,54509
27900,54510
27900,54511
27900,54512
27900,54513
27901,54462
27901,54463
27901,54464
27901,54465
27901,54466
27901,54467
27901,54468
27901,54469
27901,54470
27901,54471
27901,54472
27901,54473
27901,54474
27901,54475
27901,54476
27901,54477
27901,54478
27901,54479
27901,54480
27901,54481
27901,54482
27901,54483
27901,54484
27901,54485
27901,54486
27901,54487
27901,54488
