y_tile,x_tile
27554,50753
27554,50754
27555,50733
27555,50734
27555,50735
27555,50736
27555,50737
27555,50738
27555,50739
27555,50740
27555,50741
27555,50742
27555,50750
27555,50751
27555,50752
27555,50753
27555,50754
27555,50755
27555,50756
27555,50757
27555,50758
27555,50759
27555,50760
27555,50761
27555,50763
27555,50764
27555,50765
27556,50734
27556,50735
27556,50736
27556,50737
27556,50738
27556,50739
27556,50740
27556,50741
27556,50742
27556,50743
27556,50744
27556,50745
27556,50746
27556,50747
27556,50748
27556,50749
27556,50750
27556,50751
27556,50752
27556,50753
27556,50754
27556,50755
27556,50756
27556,50757
27556,50758
27556,50759
27556,50760
27556,50761
27556,50762
27556,50763
27556,50764
27556,50765
27556,50766
27556,50767
27557,50734
27557,50735
27557,50736
27557,50737
27557,50738
27557,50739
27557,50740
27557,50741
27557,50742
27557,50743
27557,50744
27557,50745
27557,50746
27557,50747
27557,50748
27557,50749
27557,50750
27557,50751
27557,50752
27557,50753
27557,50754
27557,50755
27557,50756
27557,50757
27557,50758
27557,50759
27557,50760
27557,50761
27557,50762
27557,50763
27557,50764
27557,50765
27557,50766
27557,50767
27557,50768
27558,50733
27558,50734
27558,50735
27558,50736
27558,50737
27558,50738
27558,50739
27558,50740
27558,50741
27558,50742
27558,50743
27558,50744
27558,50745
27558,50746
27558,50747
27558,50748
27558,50749
27558,50750
27558,50751
27558,50752
27558,50753
27558,50754
27558,50755
27558,50756
27558,50757
27558,50758
27558,50759
27558,50760
27558,50761
27558,50762
27558,50763
27558,50764
27558,50765
27558,50766
27558,50767
27558,50768
27558,50769
27559,50733
27559,50734
27559,50735
27559,50736
27559,50737
27559,50738
27559,50739
27559,50740
27559,50741
27559,50742
27559,50743
27559,50744
27559,50745
27559,50746
27559,50747
27559,50748
27559,50749
27559,50750
27559,50751
27559,50752
27559,50753
27559,50754
27559,50755
27559,50756
27559,50757
27559,50758
27559,50759
27559,50760
27559,50761
27559,50762
27559,50763
27559,50764
27559,50765
27559,50766
27559,50767
27559,50768
27559,50769
27559,50770
27560,50733
27560,50734
27560,50735
27560,50736
27560,50737
27560,50738
27560,50739
27560,50740
27560,50741
27560,50742
27560,50743
27560,50744
27560,50745
27560,50746
27560,50747
27560,50748
27560,50749
27560,50750
27560,50751
27560,50752
27560,50753
27560,50754
27560,50755
27560,50756
27560,50757
27560,50758
27560,50759
27560,50760
27560,50761
27560,50762
27560,50763
27560,50764
27560,50765
27560,50766
27560,50767
27560,50768
27560,50769
27560,50770
27560,50771
27560,50772
27561,50733
27561,50734
27561,50735
27561,50736
27561,50737
27561,50738
27561,50739
27561,50740
27561,50741
27561,50742
27561,50743
27561,50744
27561,50745
27561,50746
27561,50747
27561,50748
27561,50749
27561,50750
27561,50751
27561,50752
27561,50753
27561,50754
27561,50755
27561,50756
27561,50757
27561,50758
27561,50759
27561,50760
27561,50761
27561,50762
27561,50763
27561,50764
27561,50765
27561,50766
27561,50767
27561,50768
27561,50769
27561,50770
27561,50771
27561,50772
27562,50733
27562,50734
27562,50735
27562,50736
27562,50737
27562,50738
27562,50739
27562,50740
27562,50741
27562,50742
27562,50743
27562,50744
27562,50745
27562,50746
27562,50747
27562,50748
27562,50749
27562,50750
27562,50751
27562,50752
27562,50753
27562,50754
27562,50755
27562,50756
27562,50757
27562,50758
27562,50759
27562,50760
27562,50761
27562,50762
27562,50763
27562,50764
27562,50765
27562,50766
27562,50767
27562,50768
27562,50769
27562,50770
27562,50771
27562,50772
27562,50773
27563,50734
27563,50735
27563,50736
27563,50737
27563,50738
27563,50739
27563,50740
27563,50741
27563,50742
27563,50743
27563,50744
27563,50745
27563,50746
27563,50747
27563,50748
27563,50749
27563,50750
27563,50751
27563,50752
27563,50753
27563,50754
27563,50755
27563,50756
27563,50757
27563,50758
27563,50759
27563,50760
27563,50761
27563,50762
27563,50763
27563,50764
27563,50765
27563,50766
27563,50767
27563,50768
27563,50769
27563,50770
27563,50771
27563,50772
27563,50773
27564,50735
27564,50736
27564,50737
27564,50738
27564,50739
27564,50740
27564,50741
27564,50742
27564,50743
27564,50744
27564,50745
27564,50746
27564,50747
27564,50748
27564,50749
27564,50750
27564,50751
27564,50752
27564,50753
27564,50754
27564,50755
27564,50756
27564,50757
27564,50758
27564,50759
27564,50760
27564,50761
27564,50762
27564,50763
27564,50764
27564,50765
27564,50766
27564,50767
27564,50768
27564,50769
27564,50770
27564,50771
27564,50772
27564,50773
27564,50774
27565,50736
27565,50737
27565,50738
27565,50739
27565,50740
27565,50741
27565,50742
27565,50743
27565,50744
27565,50745
27565,50746
27565,50747
27565,50748
27565,50749
27565,50750
27565,50751
27565,50752
27565,50753
27565,50754
27565,50755
27565,50756
27565,50757
27565,50758
27565,50759
27565,50760
27565,50761
27565,50762
27565,50763
27565,50764
27565,50765
27565,50766
27565,50767
27565,50768
27565,50769
27565,50770
27565,50771
27565,50772
27565,50773
27565,50774
27566,50736
27566,50737
27566,50738
27566,50739
27566,50740
27566,50741
27566,50742
27566,50743
27566,50744
27566,50745
27566,50746
27566,50747
27566,50748
27566,50749
27566,50750
27566,50751
27566,50752
27566,50753
27566,50754
27566,50755
27566,50756
27566,50757
27566,50758
27566,50759
27566,50760
27566,50761
27566,50762
27566,50763
27566,50764
27566,50765
27566,50766
27566,50767
27566,50768
27566,50769
27566,50770
27566,50771
27566,50772
27566,50773
27566,50774
27567,50736
27567,50737
27567,50738
27567,50739
27567,50740
27567,50741
27567,50742
27567,50743
27567,50744
27567,50745
27567,50746
27567,50747
27567,50748
27567,50749
27567,50750
27567,50751
27567,50752
27567,50753
27567,50754
27567,50755
27567,50756
27567,50757
27567,50758
27567,50759
27567,50760
27567,50761
27567,50762
27567,50763
27567,50764
27567,50765
27567,50766
27567,50767
27567,50768
27567,50769
27567,50770
27567,50771
27567,50772
27567,50773
27567,50774
27568,50733
27568,50734
27568,50735
27568,50736
27568,50737
27568,50738
27568,50739
27568,50740
27568,50741
27568,50742
27568,50743
27568,50744
27568,50745
27568,50746
27568,50747
27568,50748
27568,50749
27568,50750
27568,50751
27568,50752
27568,50753
27568,50754
27568,50755
27568,50756
27568,50757
27568,50758
27568,50759
27568,50760
27568,50761
27568,50762
27568,50763
27568,50764
27568,50765
27568,50766
27568,50767
27568,50768
27568,50769
27568,50770
27568,50771
27568,50772
27568,50773
27568,50774
27569,50733
27569,50734
27569,50735
27569,50736
27569,50737
27569,50738
27569,50739
27569,50740
27569,50741
27569,50742
27569,50743
27569,50744
27569,50745
27569,50746
27569,50747
27569,50748
27569,50749
27569,50750
27569,50751
27569,50752
27569,50753
27569,50754
27569,50755
27569,50756
27569,50757
27569,50758
27569,50759
27569,50760
27569,50761
27569,50762
27569,50763
27569,50764
27569,50765
27569,50766
27569,50767
27569,50768
27569,50769
27569,50770
27569,50771
27569,50772
27569,50773
27569,50774
27570,50733
27570,50734
27570,50735
27570,50736
27570,50737
27570,50738
27570,50739
27570,50740
27570,50741
27570,50742
27570,50743
27570,50744
27570,50745
27570,50746
27570,50747
27570,50748
27570,50749
27570,50750
27570,50751
27570,50752
27570,50753
27570,50754
27570,50755
27570,50756
27570,50757
27570,50758
27570,50759
27570,50760
27570,50761
27570,50762
27570,50763
