y_tile,x_tile
26480,52809
26480,52810
26480,52811
26480,52812
26480,52813
26480,52814
26480,52815
26480,52826
26481,52808
26481,52809
26481,52810
26481,52811
26481,52812
26481,52813
26481,52814
26481,52815
26481,52816
26481,52817
26481,52825
26481,52826
26481,52827
26481,52828
26482,52739
26482,52740
26482,52741
26482,52742
26482,52743
26482,52808
26482,52809
26482,52810
26482,52811
26482,52812
26482,52813
26482,52814
26482,52815
26482,52816
26482,52817
26482,52818
26482,52824
26482,52825
26482,52826
26482,52827
26482,52828
26482,52829
26482,52830
26483,52732
26483,52733
26483,52734
26483,52735
26483,52736
26483,52737
26483,52738
26483,52739
26483,52740
26483,52741
26483,52742
26483,52743
26483,52744
26483,52808
26483,52809
26483,52810
26483,52811
26483,52812
26483,52813
26483,52814
26483,52815
26483,52816
26483,52817
26483,52818
26483,52824
26483,52825
26483,52826
26483,52827
26483,52828
26483,52829
26483,52830
26483,52831
26484,52724
26484,52725
26484,52726
26484,52727
26484,52728
26484,52729
26484,52730
26484,52731
26484,52732
26484,52733
26484,52734
26484,52735
26484,52736
26484,52737
26484,52738
26484,52739
26484,52740
26484,52741
26484,52742
26484,52743
26484,52744
26484,52745
26484,52808
26484,52809
26484,52810
26484,52811
26484,52812
26484,52813
26484,52814
26484,52815
26484,52816
26484,52817
26484,52818
26484,52819
26484,52823
26484,52824
26484,52825
26484,52826
26484,52827
26484,52828
26484,52829
26484,52830
26484,52831
26485,52723
26485,52724
26485,52725
26485,52726
26485,52727
26485,52728
26485,52729
26485,52730
26485,52731
26485,52732
26485,52733
26485,52734
26485,52735
26485,52736
26485,52737
26485,52738
26485,52739
26485,52740
26485,52741
26485,52742
26485,52743
26485,52744
26485,52745
26485,52746
26485,52747
26485,52773
26485,52774
26485,52775
26485,52809
26485,52810
26485,52811
26485,52812
26485,52813
26485,52814
26485,52815
26485,52816
26485,52817
26485,52818
26485,52819
26485,52820
26485,52821
26485,52822
26485,52823
26485,52824
26485,52825
26485,52826
26485,52827
26485,52828
26485,52829
26485,52830
26485,52831
26486,52723
26486,52724
26486,52725
26486,52726
26486,52727
26486,52728
26486,52729
26486,52730
26486,52731
26486,52732
26486,52733
26486,52734
26486,52735
26486,52736
26486,52737
26486,52738
26486,52739
26486,52740
26486,52741
26486,52742
26486,52743
26486,52744
26486,52745
26486,52747
26486,52748
26486,52749
26486,52750
26486,52769
26486,52770
26486,52771
26486,52772
26486,52773
26486,52774
26486,52775
26486,52776
26486,52777
26486,52778
26486,52779
26486,52809
26486,52810
26486,52811
26486,52812
26486,52813
26486,52814
26486,52815
26486,52816
26486,52817
26486,52818
26486,52819
26486,52820
26486,52821
26486,52822
26486,52823
26486,52824
26486,52825
26486,52826
26486,52827
26486,52828
26486,52829
26486,52830
26486,52831
26487,52723
26487,52724
26487,52725
26487,52726
26487,52727
26487,52728
26487,52729
26487,52730
26487,52731
26487,52732
26487,52733
26487,52734
26487,52735
26487,52736
26487,52737
26487,52738
26487,52739
26487,52740
26487,52741
26487,52742
26487,52743
26487,52744
26487,52745
26487,52746
26487,52749
26487,52750
26487,52751
26487,52752
26487,52753
26487,52754
26487,52767
26487,52768
26487,52769
26487,52770
26487,52771
26487,52772
26487,52773
26487,52774
26487,52775
26487,52776
26487,52777
26487,52778
26487,52779
26487,52780
