y_tile,x_tile
28378,51370
28378,51371
28379,51369
28379,51370
28379,51371
28379,51372
28379,51373
28379,51377
28379,51378
28379,51379
28379,51380
28379,51381
28379,51382
28379,51383
28379,51384
28379,51385
28379,51386
28380,51369
28380,51370
28380,51371
28380,51372
28380,51373
28380,51376
28380,51377
28380,51378
28380,51379
28380,51380
28380,51381
28380,51382
28380,51383
28380,51384
28380,51385
28380,51386
28380,51387
28380,51388
28381,51368
28381,51369
28381,51370
28381,51371
28381,51372
28381,51373
28381,51376
28381,51377
28381,51378
28381,51379
28381,51380
28381,51381
28381,51382
28381,51383
28381,51384
28381,51385
28381,51386
28381,51387
28381,51388
28381,51389
28381,51390
28381,51391
28381,51392
28381,51393
28381,51394
28382,51368
28382,51369
28382,51370
28382,51371
28382,51372
28382,51373
28382,51374
28382,51375
28382,51376
28382,51377
28382,51378
28382,51379
28382,51380
28382,51381
28382,51382
28382,51383
28382,51384
28382,51385
28382,51386
28382,51387
28382,51388
28382,51389
28382,51390
28382,51391
28382,51392
28382,51393
28382,51394
28382,51395
28383,51367
28383,51368
28383,51369
28383,51370
28383,51371
28383,51372
28383,51373
28383,51374
28383,51375
28383,51376
28383,51377
28383,51378
28383,51379
28383,51380
28383,51381
28383,51382
28383,51383
28383,51384
28383,51385
28383,51386
28383,51387
28383,51388
28383,51389
28383,51390
28383,51391
28383,51392
28383,51393
28383,51394
28383,51395
28383,51396
28384,51367
28384,51368
28384,51369
28384,51370
28384,51371
28384,51372
28384,51373
28384,51374
28384,51375
28384,51376
28384,51377
28384,51378
28384,51379
28384,51380
28384,51381
28384,51382
28384,51383
28384,51384
28384,51385
28384,51386
28384,51387
28384,51388
28384,51389
28384,51390
28384,51391
28384,51392
28384,51393
28384,51394
28384,51395
28384,51396
28384,51397
28384,51398
28384,51399
28385,51366
28385,51367
28385,51368
28385,51369
28385,51370
28385,51371
28385,51372
28385,51373
28385,51374
28385,51375
28385,51376
28385,51377
28385,51378
28385,51379
28385,51380
28385,51381
28385,51382
28385,51383
28385,51384
28385,51385
28385,51386
28385,51387
28385,51388
28385,51389
28385,51390
28385,51391
28385,51392
28385,51393
28385,51394
28385,51395
28385,51396
28385,51397
28385,51398
28385,51399
28385,51400
28386,51365
28386,51366
28386,51367
28386,51368
28386,51369
28386,51370
28386,51371
28386,51372
28386,51373
28386,51374
28386,51375
28386,51376
28386,51377
28386,51378
28386,51379
28386,51380
28386,51381
28386,51382
28386,51383
28386,51384
28386,51385
28386,51386
28386,51387
28386,51388
28386,51389
28386,51390
28386,51391
28386,51392
28386,51393
28386,51394
28386,51395
28386,51396
28386,51397
28386,51398
28386,51399
28386,51400
28387,51365
28387,51366
28387,51367
28387,51368
28387,51369
28387,51370
28387,51371
28387,51372
28387,51373
28387,51374
28387,51375
28387,51376
28387,51377
28387,51378
28387,51379
28387,51380
28387,51381
28387,51382
28387,51383
28387,51384
28387,51385
28387,51386
28387,51387
28387,51388
28387,51389
28387,51390
28387,51391
28387,51392
28387,51393
28387,51394
28387,51395
28387,51396
28387,51397
28387,51398
28387,51399
28387,51400
28387,51401
28387,51402
28387,51403
28387,51404
28387,51409
28387,51410
28387,51411
28387,51412
28387,51413
28387,51421
28388,51365
28388,51366
28388,51367
28388,51368
28388,51369
28388,51370
28388,51371
28388,51372
28388,51373
28388,51374
28388,51375
28388,51376
28388,51377
28388,51378
28388,51379
28388,51380
28388,51381
28388,51382
28388,51383
28388,51384
28388,51385
28388,51386
28388,51387
28388,51388
28388,51389
28388,51390
28388,51391
28388,51392
28388,51393
28388,51394
28388,51395
28388,51396
28388,51397
28388,51398
28388,51399
28388,51400
28388,51401
28388,51402
28388,51403
28388,51404
28388,51405
28388,51406
