y_tile,x_tile
27283,51544
27283,51545
27283,51546
27283,51547
27283,51548
27283,51549
27283,51550
27283,51551
27283,51552
27283,51553
27284,51541
27284,51542
27284,51543
27284,51544
27284,51545
27284,51546
27284,51547
27284,51548
27284,51549
27284,51550
27284,51551
27284,51552
27284,51553
27284,51554
27285,51540
27285,51541
27285,51542
27285,51543
27285,51544
27285,51545
27285,51546
27285,51547
27285,51548
27285,51549
27285,51550
27285,51551
27285,51552
27285,51553
27285,51554
27285,51555
27286,51538
27286,51539
27286,51540
27286,51541
27286,51542
27286,51543
27286,51544
27286,51545
27286,51546
27286,51547
27286,51548
27286,51549
27286,51550
27286,51551
27286,51552
27286,51553
27286,51554
27286,51555
27286,51556
27286,51561
27286,51562
27287,51538
27287,51539
27287,51540
27287,51541
27287,51542
27287,51543
27287,51544
27287,51545
27287,51546
27287,51547
27287,51548
27287,51549
27287,51550
27287,51551
27287,51552
27287,51553
27287,51554
27287,51555
27287,51556
27287,51557
27287,51558
27287,51559
27287,51560
27287,51561
27287,51562
27287,51563
27287,51564
27287,51565
27287,51566
27287,51567
27288,51538
27288,51539
27288,51540
27288,51541
27288,51542
27288,51543
27288,51544
27288,51545
27288,51546
27288,51547
27288,51548
27288,51549
27288,51550
27288,51551
27288,51552
27288,51553
27288,51554
27288,51555
27288,51556
27288,51557
27288,51558
27288,51559
27288,51560
27288,51561
27288,51562
27288,51563
27288,51564
27288,51565
27288,51566
27288,51567
27288,51568
27289,51538
27289,51539
27289,51540
27289,51541
27289,51542
27289,51543
27289,51544
27289,51545
27289,51546
27289,51547
27289,51548
27289,51549
27289,51550
27289,51551
27289,51552
27289,51553
27289,51554
27289,51555
27289,51556
27289,51557
27289,51558
27289,51559
27289,51560
27289,51561
27289,51562
27289,51563
27289,51564
27289,51565
27289,51566
27289,51567
27289,51568
27289,51569
27290,51538
27290,51539
27290,51540
27290,51541
27290,51542
27290,51543
27290,51544
27290,51545
27290,51546
27290,51547
27290,51548
27290,51549
27290,51550
27290,51551
27290,51552
27290,51553
27290,51554
27290,51555
27290,51556
27290,51557
27290,51558
27290,51559
27290,51560
27290,51561
27290,51562
27290,51563
27290,51564
27290,51565
27290,51566
27290,51567
27290,51568
27290,51569
27290,51570
27291,51538
27291,51539
27291,51540
27291,51541
27291,51542
27291,51543
27291,51544
27291,51545
27291,51546
27291,51547
27291,51548
27291,51549
27291,51550
27291,51551
27291,51552
27291,51553
27291,51554
27291,51555
27291,51556
27291,51557
27291,51558
27291,51559
27291,51560
27291,51561
27291,51562
27291,51563
27291,51564
27291,51565
27291,51566
27291,51567
27291,51568
27291,51569
27291,51570
27292,51538
27292,51539
27292,51540
27292,51541
27292,51542
27292,51543
27292,51544
27292,51545
27292,51546
27292,51547
27292,51548
27292,51549
27292,51550
27292,51551
27292,51552
27292,51553
27292,51554
27292,51555
27292,51556
27292,51557
27292,51558
27292,51559
27292,51560
27292,51561
27292,51562
27292,51563
27292,51564
27292,51565
27292,51566
27292,51567
27292,51568
27292,51569
27292,51570
27292,51571
27293,51538
27293,51539
27293,51540
27293,51541
27293,51542
27293,51543
27293,51544
27293,51545
27293,51546
27293,51547
27293,51548
27293,51549
27293,51550
27293,51551
27293,51552
27293,51553
27293,51554
27293,51555
27293,51556
27293,51557
27293,51558
27293,51559
27293,51560
27293,51561
27293,51562
27293,51563
27293,51564
27293,51565
27293,51566
27293,51567
27293,51568
27293,51569
27293,51570
27293,51571
27294,51538
27294,51539
27294,51540
27294,51541
27294,51542
27294,51543
27294,51544
27294,51545
27294,51546
27294,51547
27294,51548
27294,51549
27294,51550
27294,51551
27294,51552
27294,51553
27294,51554
27294,51555
27294,51556
27294,51557
27294,51558
27294,51559
27294,51560
27294,51561
27294,51562
27294,51563
27294,51564
27294,51565
27294,51566
27294,51567
27294,51568
27294,51569
27294,51570
27294,51571
27294,51572
27295,51537
27295,51538
27295,51539
27295,51540
27295,51541
27295,51542
27295,51543
27295,51544
27295,51545
27295,51546
27295,51547
27295,51548
27295,51549
27295,51550
27295,51551
27295,51552
27295,51553
27295,51554
27295,51555
27295,51556
27295,51557
27295,51558
27295,51559
27295,51560
27295,51561
27295,51562
27295,51563
27295,51564
27295,51565
27295,51566
27295,51567
27295,51568
27295,51569
27295,51570
27295,51571
27295,51572
27295,51573
27296,51536
27296,51537
27296,51538
27296,51539
27296,51540
27296,51541
27296,51542
27296,51543
27296,51544
27296,51545
27296,51546
27296,51547
