y_tile,x_tile
26622,54040
26623,54039
26623,54040
26623,54041
26624,54038
26624,54039
26624,54040
26624,54041
26625,54037
26625,54038
26625,54039
26625,54040
26625,54041
26626,54036
26626,54037
26626,54038
26626,54039
26626,54040
26626,54041
26626,54042
26627,54035
26627,54036
26627,54037
26627,54038
26627,54039
26627,54040
26627,54041
26627,54042
26627,54043
26628,54034
26628,54035
26628,54036
26628,54037
26628,54038
26628,54039
26628,54040
26628,54041
26628,54042
26628,54043
26628,54044
26629,54033
26629,54034
26629,54035
26629,54036
26629,54037
26629,54038
26629,54039
26629,54040
26629,54041
26629,54042
26629,54043
26629,54044
26630,54027
26630,54028
26630,54029
26630,54030
26630,54031
26630,54032
26630,54033
26630,54034
26630,54035
26630,54036
26630,54037
26630,54038
26630,54039
26630,54040
26630,54041
26630,54042
26630,54043
26630,54044
26630,54045
26631,54026
26631,54027
26631,54028
26631,54029
26631,54030
26631,54031
26631,54032
26631,54033
26631,54034
26631,54035
26631,54036
26631,54037
26631,54038
26631,54039
26631,54040
26631,54041
26631,54042
26631,54043
26631,54044
26631,54045
26631,54046
26631,54047
26632,54025
26632,54026
26632,54027
26632,54028
26632,54029
26632,54030
26632,54031
26632,54032
26632,54033
26632,54034
26632,54035
26632,54036
26632,54037
26632,54038
26632,54039
26632,54040
26632,54041
26632,54042
26632,54043
26632,54044
26632,54045
26632,54046
26632,54047
26633,54024
26633,54025
26633,54026
26633,54027
26633,54028
26633,54029
26633,54030
26633,54031
26633,54032
26633,54033
26633,54034
26633,54035
26633,54036
26633,54037
26633,54038
26633,54039
26633,54040
26633,54041
26633,54042
26633,54043
26633,54044
26633,54045
26633,54046
26633,54047
26633,54048
26634,54022
26634,54023
26634,54024
26634,54025
26634,54026
26634,54027
26634,54028
26634,54029
26634,54030
26634,54031
26634,54032
26634,54033
26634,54034
26634,54035
26634,54036
26634,54037
26634,54038
26634,54039
26634,54040
26634,54041
26634,54042
26634,54043
26634,54044
26634,54045
26634,54046
26634,54047
26634,54048
26634,54049
26635,54020
26635,54021
26635,54022
26635,54023
26635,54024
26635,54025
26635,54026
26635,54027
26635,54028
26635,54029
26635,54030
26635,54031
26635,54032
26635,54033
26635,54034
26635,54035
26635,54036
26635,54037
26635,54038
26635,54039
26635,54040
26635,54041
26635,54042
26635,54043
26635,54044
26635,54045
26635,54046
26635,54047
26635,54048
26635,54049
26636,54019
26636,54020
26636,54021
26636,54022
26636,54023
26636,54024
26636,54025
26636,54026
26636,54027
26636,54028
26636,54029
26636,54030
26636,54031
26636,54032
26636,54033
26636,54034
26636,54035
26636,54036
26636,54037
26636,54038
26636,54039
26636,54040
26636,54041
26636,54042
26636,54043
26636,54044
26636,54045
26636,54046
26636,54047
26636,54048
26636,54049
26636,54050
26637,54016
26637,54017
26637,54018
26637,54019
26637,54020
26637,54021
26637,54022
26637,54023
26637,54024
26637,54025
26637,54026
26637,54027
26637,54028
26637,54029
26637,54030
26637,54031
26637,54032
26637,54033
26637,54034
26637,54035
26637,54036
26637,54037
26637,54038
26637,54039
26637,54040
26637,54041
26637,54042
26637,54043
26637,54044
26637,54045
26637,54046
26637,54047
26637,54048
26637,54049
26637,54050
26637,54051
26637,54052
26637,54053
26637,54054
26638,54015
26638,54016
26638,54017
26638,54018
26638,54019
26638,54020
26638,54021
26638,54022
26638,54023
26638,54024
26638,54025
26638,54026
26638,54027
26638,54028
26638,54029
26638,54030
26638,54031
26638,54032
26638,54033
26638,54034
26638,54035
26638,54036
26638,54037
26638,54038
26638,54039
26638,54040
26638,54041
26638,54042
26638,54043
26638,54044
26638,54045
26638,54046
26638,54047
26638,54048
26638,54049
26638,54050
26638,54051
26638,54052
26638,54053
26638,54054
26639,54015
26639,54016
26639,54017
26639,54018
26639,54019
26639,54020
26639,54021
26639,54022
26639,54023
26639,54024
26639,54025
26639,54026
26639,54027
26639,54028
26639,54029
26639,54030
26639,54031
26639,54032
26639,54033
26639,54034
26639,54035
26639,54036
26639,54037
26639,54038
26639,54039
26639,54040
26639,54041
26639,54042
26639,54043
26639,54044
26639,54045
26639,54046
26639,54047
26639,54048
26639,54049
26639,54050
26639,54051
26639,54052
26639,54053
26640,54015
26640,54016
26640,54017
26640,54018
26640,54019
26640,54020
26640,54021
26640,54022
26640,54023
26640,54024
26640,54025
26640,54026
26640,54027
26640,54028
26640,54029
26640,54030
26640,54031
26640,54032
26640,54033
26640,54034
26640,54035
26640,54036
26640,54037
26640,54038
26640,54039
26640,54040
26640,54041
26640,54042
26640,54043
26640,54044
26640,54045
26640,54046
26640,54047
26640,54048
26640,54049
26640,54050
26640,54051
26640,54052
26640,54053
26640,54054
26641,54016
26641,54017
26641,54018
26641,54019
26641,54020
26641,54021
26641,54022
26641,54023
26641,54024
26641,54025
26641,54026
26641,54027
26641,54028
26641,54029
26641,54030
26641,54031
26641,54032
26641,54033
26641,54034
26641,54035
26641,54036
26641,54037
26641,54038
26641,54039
26641,54040
26641,54041
26641,54042
26641,54043
26641,54044
26641,54045
26641,54046
26641,54047
26641,54048
26641,54049
26641,54050
26641,54051
26641,54052
26641,54053
26641,54054
26642,54016
26642,54017
26642,54018
26642,54019
26642,54020
26642,54021
26642,54022
26642,54023
26642,54024
26642,54025
26642,54026
26642,54027
26642,54028
26642,54029
26642,54030
26642,54031
26642,54032
26642,54033
26642,54034
26642,54035
26642,54036
26642,54037
26642,54038
26642,54039
26642,54040
26642,54041
26642,54042
26642,54043
26642,54044
26642,54045
26642,54046
26642,54047
26642,54048
26642,54049
26642,54050
26642,54051
26642,54052
26642,54053
26642,54054
26643,54016
26643,54017
26643,54018
26643,54019
26643,54020
26643,54021
26643,54022
26643,54023
26643,54024
26643,54025
26643,54026
26643,54027
26643,54028
26643,54029
26643,54030
26643,54031
26643,54032
26643,54033
26643,54034
26643,54035
26643,54036
26643,54037
26643,54038
26643,54039
26643,54040
26643,54041
26643,54042
26643,54043
26643,54044
26643,54045
26643,54046
26643,54047
26643,54048
26643,54049
26643,54050
26643,54051
26643,54052
26643,54053
26644,54016
26644,54017
26644,54018
26644,54019
26644,54020
26644,54021
26644,54022
26644,54023
26644,54024
26644,54025
26644,54026
26644,54027
26644,54028
26644,54029
26644,54030
26644,54031
26644,54032
26644,54033
26644,54034
26644,54035
26644,54036
26644,54037
26644,54038
26644,54039
26644,54040
26644,54041
26644,54042
26644,54043
26644,54044
26644,54045
26644,54046
26644,54047
26644,54048
26644,54049
26644,54050
26644,54051
26644,54052
26644,54053
26645,54018
26645,54019
26645,54020
26645,54021
26645,54022
26645,54023
26645,54024
26645,54025
26645,54026
26645,54027
26645,54028
26645,54029
26645,54030
26645,54031
26645,54032
26645,54033
26645,54034
26645,54035
26645,54036
26645,54037
26645,54038
26645,54039
26645,54040
26645,54041
26645,54042
26645,54043
26645,54044
26645,54045
26645,54046
26645,54047
26645,54048
26645,54049
26645,54050
26645,54051
26645,54052
26645,54053
26646,54017
26646,54018
26646,54019
26646,54020
26646,54021
26646,54022
26646,54023
26646,54024
26646,54025
26646,54026
26646,54027
26646,54028
26646,54029
26646,54030
26646,54031
26646,54032
26646,54033
26646,54034
26646,54035
26646,54036
26646,54037
26646,54038
26646,54039
26646,54040
26646,54041
26646,54042
26646,54043
26646,54044
26646,54045
26646,54046
26646,54047
26646,54048
26646,54049
26646,54050
26646,54051
26646,54052
26646,54053
26646,54054
26647,54015
26647,54016
26647,54017
26647,54018
26647,54019
26647,54020
26647,54021
26647,54022
26647,54023
26647,54024
26647,54025
26647,54026
26647,54027
26647,54028
26647,54029
26647,54030
26647,54031
26647,54032
26647,54033
26647,54034
26647,54035
26647,54036
26647,54037
26647,54038
26647,54039
26647,54040
