y_tile,x_tile
25622,54614
25622,54615
25623,54614
25623,54615
25623,54616
25623,54636
25623,54637
25624,54614
25624,54615
25624,54616
25624,54617
25624,54619
25624,54620
25624,54621
25624,54627
25624,54628
25624,54629
25624,54633
25624,54634
25624,54635
25624,54636
25624,54637
25624,54638
25625,54614
25625,54615
25625,54616
25625,54617
25625,54618
25625,54619
25625,54620
25625,54621
25625,54622
25625,54625
25625,54626
25625,54627
25625,54628
25625,54629
25625,54630
25625,54631
25625,54632
25625,54633
25625,54634
25625,54635
25625,54636
25625,54637
25625,54638
25625,54639
25625,54640
25625,54641
25626,54614
25626,54615
25626,54616
25626,54617
25626,54618
25626,54619
25626,54620
25626,54621
25626,54622
25626,54623
25626,54624
25626,54625
25626,54626
25626,54627
25626,54628
25626,54629
25626,54630
25626,54631
25626,54632
25626,54633
25626,54634
25626,54635
25626,54636
25626,54637
25626,54638
25626,54639
25626,54640
25626,54641
25626,54642
25626,54643
25627,54614
25627,54615
25627,54616
25627,54617
25627,54618
25627,54619
25627,54620
25627,54621
25627,54622
25627,54623
25627,54624
25627,54625
25627,54626
25627,54627
25627,54628
25627,54629
25627,54630
25627,54631
25627,54632
25627,54633
25627,54634
25627,54635
25627,54636
25627,54637
25627,54638
25627,54639
25627,54640
25627,54641
25627,54642
25627,54643
25627,54644
25628,54614
25628,54615
25628,54616
25628,54617
25628,54618
25628,54619
25628,54620
25628,54621
25628,54622
25628,54623
25628,54624
25628,54625
25628,54626
25628,54627
25628,54628
25628,54629
25628,54630
25628,54631
25628,54632
25628,54633
25628,54634
25628,54635
25628,54636
25628,54637
25628,54638
25628,54639
25628,54640
25628,54641
25628,54642
25628,54643
25628,54644
25629,54614
25629,54615
25629,54616
25629,54617
25629,54618
25629,54619
25629,54620
25629,54621
25629,54622
25629,54623
25629,54624
25629,54625
25629,54626
25629,54627
25629,54628
25629,54629
25629,54630
25629,54631
25629,54632
25629,54633
25629,54634
25629,54635
25629,54636
25629,54637
25629,54638
25629,54639
25629,54640
25629,54641
25630,54615
25630,54616
25630,54617
25630,54618
25630,54619
25630,54620
25630,54621
25630,54622
25630,54623
25630,54624
25630,54625
25630,54626
25630,54627
25630,54628
25630,54629
25630,54630
25630,54631
25630,54632
25630,54633
25630,54634
25630,54635
25630,54636
25630,54637
25630,54638
25630,54639
25630,54640
25630,54641
25631,54615
25631,54616
25631,54617
25631,54618
25631,54619
25631,54620
25631,54621
25631,54622
25631,54623
25631,54624
25631,54625
25631,54626
25631,54627
25631,54628
25631,54629
25631,54630
25631,54631
25631,54632
25631,54633
25631,54634
25631,54635
25631,54636
25631,54637
25631,54638
25631,54639
25631,54640
25631,54641
25632,54614
25632,54615
25632,54616
25632,54617
25632,54618
25632,54619
25632,54620
25632,54621
25632,54622
25632,54623
25632,54624
25632,54625
25632,54626
25632,54627
25632,54628
25632,54629
25632,54630
25632,54631
25632,54632
25632,54633
25632,54634
25632,54635
25632,54636
25632,54637
25632,54638
25633,54605
25633,54606
