y_tile,x_tile
27935,52388
27935,52389
27936,52387
27936,52388
27936,52389
27936,52390
27936,52391
27936,52392
27937,52387
27937,52388
27937,52389
27937,52390
27937,52391
27937,52392
27937,52393
27938,52387
27938,52388
27938,52389
27938,52390
27938,52391
27938,52392
27938,52393
27938,52394
27938,52471
27938,52472
27938,52473
27939,52387
27939,52388
27939,52389
27939,52390
27939,52391
27939,52392
27939,52393
27939,52394
27939,52461
27939,52470
27939,52471
27939,52472
27939,52473
27940,52381
27940,52382
27940,52387
27940,52388
27940,52389
27940,52390
27940,52391
27940,52392
27940,52393
27940,52394
27940,52460
27940,52461
27940,52469
27940,52470
27940,52471
27940,52472
27940,52473
27941,52381
27941,52382
27941,52383
27941,52384
27941,52385
27941,52386
27941,52387
27941,52388
27941,52389
27941,52390
27941,52391
27941,52392
27941,52393
27941,52394
27941,52459
27941,52460
27941,52461
27941,52462
27941,52463
27941,52465
27941,52466
27941,52468
27941,52469
27941,52470
27941,52471
27941,52472
27941,52473
27942,52374
27942,52375
27942,52376
27942,52377
27942,52378
27942,52381
27942,52382
27942,52383
27942,52384
27942,52385
27942,52386
27942,52387
27942,52388
27942,52389
27942,52390
27942,52391
27942,52392
27942,52393
27942,52394
27942,52457
27942,52458
27942,52459
27942,52460
27942,52461
27942,52462
27942,52463
27942,52464
27942,52465
27942,52466
27942,52467
27942,52468
27942,52469
27942,52470
27942,52471
27942,52472
27942,52473
27943,52366
27943,52367
27943,52368
27943,52369
27943,52370
27943,52371
27943,52373
27943,52374
27943,52375
27943,52376
27943,52377
27943,52378
27943,52379
27943,52380
27943,52381
27943,52382
27943,52383
27943,52384
27943,52385
27943,52386
27943,52387
27943,52388
27943,52389
27943,52390
27943,52391
27943,52392
27943,52393
27943,52394
27943,52455
27943,52456
27943,52457
27943,52458
27943,52459
27943,52460
27943,52461
27943,52462
27943,52463
27943,52464
27943,52465
27943,52466
27943,52467
27943,52468
27943,52469
27943,52470
27943,52471
27943,52472
27943,52473
27944,52364
27944,52365
27944,52366
27944,52367
27944,52368
27944,52369
27944,52370
27944,52371
27944,52372
27944,52373
27944,52374
27944,52375
27944,52376
27944,52377
27944,52378
27944,52379
27944,52380
27944,52381
27944,52382
27944,52383
27944,52384
27944,52385
27944,52386
27944,52387
27944,52388
27944,52389
27944,52390
27944,52391
27944,52392
27944,52393
27944,52394
27944,52454
27944,52455
27944,52456
27944,52457
27944,52458
27944,52459
27944,52460
27944,52461
27944,52462
27944,52463
27944,52464
27944,52465
27944,52466
27944,52467
27944,52468
27944,52469
27944,52470
27944,52471
27944,52472
27944,52473
27945,52363
27945,52364
27945,52365
27945,52366
27945,52367
27945,52368
27945,52369
27945,52370
27945,52371
27945,52372
27945,52373
27945,52374
27945,52375
27945,52376
27945,52377
27945,52378
27945,52379
27945,52380
27945,52381
27945,52382
27945,52383
27945,52384
27945,52385
27945,52386
27945,52387
27945,52388
27945,52389
27945,52390
27945,52391
27945,52392
27945,52393
27945,52394
27945,52448
27945,52449
27945,52450
27945,52451
27945,52452
27945,52453
27945,52454
27945,52455
27945,52456
27945,52457
27945,52458
27945,52459
27945,52460
27945,52461
27945,52462
27945,52463
27945,52464
27945,52465
27945,52466
27945,52467
27945,52468
27945,52469
27945,52470
27945,52471
27945,52472
27945,52473
27946,52362
27946,52363
27946,52364
27946,52365
27946,52366
27946,52367
27946,52368
27946,52369
27946,52370
27946,52371
27946,52372
27946,52373
27946,52374
27946,52375
27946,52376
27946,52377
27946,52378
27946,52379
27946,52380
27946,52381
27946,52382
27946,52383
27946,52384
27946,52385
27946,52386
27946,52387
27946,52388
27946,52389
27946,52390
27946,52391
27946,52392
27946,52393
27946,52394
27946,52448
27946,52449
27946,52450
27946,52451
27946,52452
27946,52453
27946,52454
27946,52455
27946,52456
27946,52457
27946,52458
27946,52459
27946,52460
27946,52461
27946,52462
27946,52463
27946,52464
27946,52465
27946,52466
27946,52467
27946,52468
27946,52469
27946,52470
27946,52471
27946,52472
27946,52473
27946,52474
27946,52475
27946,52476
27947,52362
27947,52363
27947,52364
27947,52365
27947,52366
27947,52367
27947,52368
27947,52369
27947,52370
27947,52371
27947,52372
27947,52373
27947,52374
27947,52375
27947,52376
27947,52377
27947,52378
27947,52379
27947,52380
27947,52381
27947,52382
27947,52383
27947,52384
27947,52385
27947,52386
27947,52387
27947,52388
27947,52389
27947,52390
27947,52391
27947,52392
27947,52393
27947,52394
27947,52448
27947,52449
27947,52450
27947,52451
27947,52452
27947,52453
27947,52454
27947,52455
27947,52456
27947,52457
27947,52458
27947,52459
27947,52460
27947,52461
27947,52462
27947,52463
27947,52464
27947,52465
27947,52466
27947,52467
27947,52468
27947,52469
27947,52470
27947,52471
27947,52472
27947,52473
27947,52474
27947,52475
27947,52476
27947,52477
27947,52478
27948,52362
27948,52363
27948,52364
27948,52365
27948,52366
27948,52367
27948,52368
27948,52369
27948,52370
27948,52371
27948,52372
27948,52373
27948,52374
27948,52375
27948,52376
27948,52377
27948,52378
27948,52379
27948,52380
27948,52381
27948,52382
27948,52383
27948,52384
27948,52385
27948,52386
27948,52387
27948,52388
27948,52389
27948,52390
27948,52391
27948,52392
27948,52393
27948,52394
27948,52395
27948,52447
27948,52448
27948,52449
27948,52450
27948,52451
27948,52452
27948,52453
27948,52454
27948,52455
27948,52456
27948,52457
27948,52458
27948,52459
27948,52460
27948,52461
27948,52462
27948,52463
27948,52464
27948,52465
27948,52466
27948,52467
27948,52468
27948,52469
27948,52470
27948,52471
27948,52472
27948,52473
27948,52474
27948,52475
27948,52476
27948,52477
27948,52478
27949,52362
27949,52363
27949,52364
27949,52365
27949,52366
27949,52367
27949,52368
27949,52369
27949,52370
27949,52371
27949,52372
27949,52373
27949,52374
27949,52375
27949,52376
27949,52377
27949,52378
27949,52379
27949,52380
27949,52381
27949,52382
27949,52383
27949,52384
27949,52385
27949,52386
27949,52387
27949,52388
27949,52389
27949,52390
27949,52391
27949,52392
27949,52393
27949,52394
27949,52395
27949,52396
27949,52397
27949,52447
27949,52448
27949,52449
27949,52450
27949,52451
27949,52452
27949,52453
27949,52454
27949,52455
27949,52456
27949,52457
27949,52458
27949,52459
27949,52460
27949,52461
27949,52462
27949,52463
27949,52464
27949,52465
27949,52466
27949,52467
27949,52468
27949,52469
27949,52470
27949,52471
27949,52472
27949,52473
27949,52474
27949,52475
27949,52476
27949,52477
27949,52478
27949,52479
27949,52480
27950,52362
27950,52363
27950,52364
27950,52365
27950,52366
27950,52367
27950,52368
27950,52369
27950,52370
27950,52371
27950,52372
27950,52373
27950,52374
27950,52375
27950,52376
27950,52377
27950,52378
27950,52379
27950,52380
27950,52381
27950,52382
27950,52383
27950,52384
27950,52385
27950,52386
27950,52387
27950,52388
27950,52389
27950,52390
27950,52391
27950,52392
27950,52393
27950,52394
27950,52395
27950,52396
27950,52397
27950,52398
27950,52445
27950,52446
27950,52447
27950,52448
27950,52449
27950,52450
27950,52451
27950,52452
27950,52453
27950,52454
27950,52455
27950,52456
27950,52457
27950,52458
27950,52459
27950,52460
27950,52461
27950,52462
27950,52463
27950,52464
27950,52465
27950,52466
27950,52467
27950,52468
27950,52469
27950,52470
27950,52471
27950,52472
27950,52473
27950,52474
27950,52475
27950,52476
