y_tile,x_tile
27949,52744
27949,52745
27950,52742
27950,52743
27950,52744
27950,52745
27951,52734
27951,52735
27951,52736
27951,52737
27951,52738
27951,52739
27951,52740
27951,52741
27951,52742
27951,52743
27951,52744
27951,52745
27951,52746
27952,52728
27952,52729
27952,52730
27952,52731
27952,52732
27952,52733
27952,52734
27952,52735
27952,52736
27952,52737
27952,52738
27952,52739
27952,52740
27952,52741
27952,52742
27952,52743
27952,52744
27952,52745
27952,52746
27952,52747
27953,52726
27953,52727
27953,52728
27953,52729
27953,52730
27953,52731
27953,52732
27953,52733
27953,52734
27953,52735
27953,52736
27953,52737
27953,52738
27953,52739
27953,52740
27953,52741
27953,52742
27953,52743
27953,52744
27953,52745
27953,52746
27953,52747
27954,52726
27954,52727
27954,52728
27954,52729
27954,52730
27954,52731
27954,52732
27954,52733
27954,52734
27954,52735
27954,52736
27954,52737
27954,52738
27954,52739
27954,52740
27954,52741
27954,52742
27954,52743
27954,52744
27954,52745
27954,52746
27954,52747
27955,52725
27955,52726
27955,52727
27955,52728
27955,52729
27955,52730
27955,52731
27955,52732
27955,52733
27955,52734
27955,52735
27955,52736
27955,52737
27955,52738
27955,52739
27955,52740
27955,52741
27955,52742
27955,52743
27955,52744
27955,52745
27955,52746
27955,52747
27955,52748
27956,52725
27956,52726
27956,52727
27956,52728
27956,52729
27956,52730
27956,52731
27956,52732
27956,52733
27956,52734
27956,52735
27956,52736
27956,52737
27956,52738
27956,52739
27956,52740
27956,52741
27956,52742
27956,52743
27956,52744
27956,52745
27956,52746
27956,52747
27956,52748
27956,52749
27956,52750
27957,52725
27957,52726
27957,52727
27957,52728
27957,52729
27957,52730
27957,52731
27957,52732
27957,52733
27957,52734
27957,52735
27957,52736
27957,52737
27957,52738
27957,52739
27957,52740
27957,52741
27957,52742
27957,52743
27957,52744
27957,52745
27957,52746
27957,52747
27957,52748
27957,52749
27957,52750
27957,52751
27958,52724
27958,52725
27958,52726
27958,52727
27958,52728
27958,52729
27958,52730
27958,52731
27958,52732
27958,52733
27958,52734
27958,52735
27958,52736
27958,52737
27958,52738
27958,52739
27958,52740
27958,52741
27958,52742
27958,52743
27958,52744
27958,52745
27958,52746
27958,52747
27958,52748
27958,52749
27958,52750
27958,52751
27959,52724
27959,52725
27959,52726
27959,52727
27959,52728
27959,52729
27959,52730
27959,52731
27959,52732
27959,52733
27959,52734
27959,52735
27959,52736
27959,52737
27959,52738
27959,52739
27959,52740
27959,52741
27959,52742
27959,52743
27959,52744
27959,52745
27959,52746
27959,52747
27959,52748
27959,52749
27959,52750
27959,52751
27960,52723
27960,52724
27960,52725
27960,52726
27960,52727
27960,52728
27960,52729
27960,52730
27960,52731
27960,52732
27960,52733
27960,52734
27960,52735
27960,52736
27960,52737
27960,52738
27960,52739
27960,52740
27960,52741
27960,52742
27960,52743
27960,52744
27960,52745
27960,52746
27960,52747
27960,52748
27960,52749
27960,52750
27960,52751
27961,52722
27961,52723
27961,52724
27961,52725
27961,52726
27961,52727
27961,52728
27961,52729
27961,52730
27961,52731
27961,52732
27961,52733
27961,52734
27961,52735
27961,52736
27961,52737
27961,52738
27961,52739
27961,52740
27961,52741
27961,52742
27961,52743
27961,52744
27961,52745
27961,52746
27961,52747
27961,52748
27961,52749
27961,52750
27961,52751
27961,52752
27962,52721
27962,52722
27962,52723
27962,52724
27962,52725
27962,52726
27962,52727
27962,52728
27962,52729
27962,52730
27962,52731
27962,52732
27962,52733
27962,52734
27962,52735
27962,52736
27962,52737
27962,52738
27962,52739
27962,52740
27962,52741
27962,52742
27962,52743
27962,52744
27962,52745
27962,52746
27962,52747
27962,52748
27962,52749
27962,52750
27962,52751
27962,52752
27963,52719
27963,52720
27963,52721
27963,52722
27963,52723
27963,52724
27963,52725
27963,52726
27963,52727
27963,52728
27963,52729
27963,52730
27963,52731
27963,52732
27963,52733
27963,52734
27963,52735
27963,52736
27963,52737
27963,52738
27963,52739
27963,52740
27963,52741
27963,52742
27963,52743
27963,52744
27963,52745
27963,52746
27963,52747
27963,52748
27963,52749
27963,52750
27963,52751
27963,52752
27963,52753
27964,52716
27964,52717
27964,52718
27964,52719
27964,52720
27964,52721
27964,52722
27964,52723
27964,52724
27964,52725
27964,52726
27964,52727
27964,52728
27964,52729
27964,52730
27964,52731
27964,52732
27964,52733
27964,52734
27964,52735
27964,52736
27964,52737
27964,52738
27964,52739
27964,52740
27964,52741
27964,52742
27964,52743
27964,52744
27964,52745
27964,52746
27964,52747
27964,52748
27964,52749
27964,52750
27964,52751
27964,52752
27964,52753
27965,52715
27965,52716
27965,52717
27965,52718
27965,52719
27965,52720
27965,52721
27965,52722
27965,52723
27965,52724
27965,52725
27965,52726
27965,52727
27965,52728
27965,52729
27965,52730
27965,52731
27965,52732
27965,52733
27965,52734
27965,52735
27965,52736
27965,52737
27965,52738
27965,52739
27965,52740
27965,52741
27965,52742
27965,52743
27965,52744
27965,52745
27965,52746
27965,52747
27965,52748
27965,52749
27965,52750
27965,52751
27965,52752
27965,52753
27966,52714
27966,52715
27966,52716
27966,52717
27966,52718
27966,52719
27966,52720
27966,52721
27966,52722
