y_tile,x_tile
26347,52437
26348,52437
26349,52436
26349,52437
26349,52438
26349,52439
26350,52436
26350,52437
26350,52438
26350,52439
26350,52440
26350,52441
26351,52436
26351,52437
26351,52438
26351,52439
26351,52440
26351,52441
26351,52442
26351,52445
26351,52446
26352,52436
26352,52437
26352,52438
26352,52439
26352,52440
26352,52441
26352,52442
26352,52443
26352,52444
26352,52445
26352,52446
26352,52447
26352,52448
26353,52436
26353,52437
26353,52438
26353,52439
26353,52440
26353,52441
26353,52443
26353,52444
26353,52445
26353,52446
26353,52447
26353,52448
26354,52436
26354,52437
26354,52438
26354,52439
26354,52440
26354,52441
26354,52442
26354,52443
26354,52444
26354,52445
26354,52446
26354,52447
26354,52448
26354,52449
26355,52430
26355,52431
26355,52433
26355,52434
26355,52435
26355,52436
26355,52437
26355,52438
26355,52439
26355,52440
26355,52441
26355,52442
26355,52443
26355,52444
26355,52445
26355,52446
26355,52447
26355,52448
26356,52430
26356,52431
26356,52432
26356,52433
26356,52434
26356,52435
26356,52436
26356,52437
26356,52438
26356,52439
26356,52440
26356,52441
26356,52442
26356,52443
26356,52444
26356,52445
26356,52446
26356,52447
26357,52430
26357,52431
26357,52432
26357,52433
26357,52434
26357,52435
26357,52436
26357,52437
26357,52438
26357,52439
26357,52440
26357,52441
26357,52442
26357,52443
26357,52444
26357,52445
26357,52446
26358,52423
26358,52424
26358,52427
26358,52428
26358,52430
26358,52431
26358,52432
26358,52433
26358,52434
26358,52435
26358,52436
26358,52437
26358,52438
26358,52439
26358,52440
26358,52441
26358,52442
26358,52443
26358,52444
26358,52445
26358,52446
26359,52423
26359,52424
26359,52425
26359,52426
26359,52427
26359,52428
26359,52429
26359,52430
26359,52431
26359,52432
26359,52433
26359,52434
26359,52435
26359,52436
26359,52437
26359,52438
26359,52439
26359,52440
26359,52441
26359,52442
26359,52443
26359,52444
26359,52445
26359,52446
26360,52401
26360,52402
26360,52403
26360,52404
26360,52405
26360,52406
26360,52415
26360,52416
26360,52417
26360,52418
26360,52419
26360,52423
26360,52424
26360,52425
26360,52426
26360,52427
26360,52428
26360,52429
26360,52430
26360,52431
26360,52432
26360,52433
26360,52434
26360,52435
26360,52436
26360,52437
26360,52438
26360,52439
26360,52440
26360,52441
26360,52442
26360,52443
26360,52444
26360,52445
26360,52446
26360,52447
26361,52399
26361,52400
26361,52401
26361,52402
26361,52403
26361,52404
26361,52405
26361,52406
26361,52407
26361,52408
26361,52409
26361,52410
26361,52413
26361,52414
26361,52415
26361,52416
26361,52417
26361,52418
26361,52419
26361,52420
26361,52421
26361,52423
26361,52424
26361,52425
26361,52426
26361,52427
26361,52428
26361,52429
26361,52430
26361,52431
26361,52432
26361,52433
26361,52434
26361,52435
26361,52436
26361,52437
26361,52438
26361,52439
26361,52440
26361,52441
26361,52442
26361,52443
26361,52444
26361,52445
26361,52446
26361,52447
26362,52398
26362,52399
26362,52400
26362,52401
26362,52402
26362,52403
26362,52404
26362,52405
26362,52406
26362,52407
26362,52408
26362,52409
26362,52410
26362,52411
26362,52412
26362,52413
26362,52414
26362,52415
26362,52416
26362,52417
26362,52418
26362,52419
26362,52420
26362,52421
26362,52423
26362,52424
26362,52425
26362,52426
26362,52427
26362,52428
26362,52429
26362,52430
26362,52431
26362,52432
26362,52433
26362,52434
26362,52435
26362,52436
26362,52437
26362,52438
26362,52439
26362,52440
26362,52441
26362,52442
26362,52443
26362,52444
26362,52445
26362,52446
26362,52447
26363,52397
26363,52398
26363,52399
26363,52400
26363,52401
26363,52402
26363,52403
26363,52404
26363,52405
26363,52406
26363,52407
26363,52408
26363,52409
26363,52410
26363,52411
26363,52412
26363,52413
26363,52414
26363,52415
26363,52416
26363,52417
26363,52418
26363,52419
26363,52420
26363,52421
26363,52422
26363,52423
26363,52424
26363,52425
26363,52426
26363,52427
26363,52428
26363,52429
26363,52430
26363,52431
26363,52432
26363,52433
26363,52434
26363,52435
26363,52436
26363,52437
26363,52438
26363,52439
26363,52440
26363,52441
26363,52442
26363,52443
26363,52444
26363,52445
26363,52446
26363,52447
26364,52396
26364,52397
26364,52398
26364,52399
26364,52400
26364,52401
26364,52402
26364,52403
26364,52404
26364,52405
26364,52406
26364,52407
26364,52408
26364,52409
26364,52410
26364,52411
26364,52412
26364,52413
26364,52414
26364,52415
26364,52416
26364,52417
26364,52418
26364,52419
26364,52420
26364,52421
26364,52422
26364,52423
26364,52424
26364,52425
26364,52426
26364,52427
26364,52428
26364,52429
26364,52430
26364,52431
26364,52432
26364,52433
26364,52434
26364,52435
26364,52436
26364,52437
26364,52438
26364,52439
26364,52440
26364,52441
26364,52442
26364,52443
26364,52444
26364,52445
26364,52446
26364,52447
26365,52396
26365,52397
26365,52398
26365,52399
26365,52400
26365,52401
26365,52402
26365,52403
26365,52404
26365,52405
26365,52406
26365,52407
26365,52408
26365,52409
26365,52410
26365,52411
26365,52412
26365,52413
26365,52414
26365,52415
26365,52416
26365,52417
26365,52418
26365,52419
26365,52420
26365,52421
26365,52422
26365,52423
26365,52424
26365,52425
26365,52426
26365,52427
26365,52428
26365,52429
26365,52430
26365,52431
26365,52432
26365,52433
26365,52434
26365,52435
26365,52436
26365,52437
26365,52438
26365,52439
26365,52440
26365,52441
26365,52442
26365,52443
26365,52444
26365,52445
26365,52446
26365,52447
26366,52395
26366,52396
26366,52397
26366,52398
26366,52399
26366,52400
26366,52401
26366,52402
26366,52403
26366,52404
26366,52405
26366,52406
26366,52407
26366,52408
26366,52409
26366,52410
26366,52411
26366,52412
26366,52413
26366,52414
26366,52415
26366,52416
26366,52417
26366,52418
26366,52419
26366,52420
26366,52421
26366,52422
26366,52423
26366,52424
26366,52425
26366,52426
26366,52427
26366,52428
26366,52429
26366,52430
26366,52431
26366,52432
26366,52433
26366,52434
26366,52435
26366,52436
26366,52437
26366,52438
26366,52439
26366,52440
26366,52441
26366,52442
26366,52443
26366,52444
26366,52445
26366,52446
26366,52447
26367,52394
26367,52395
26367,52396
26367,52397
26367,52398
26367,52399
26367,52400
26367,52401
26367,52402
26367,52403
26367,52404
26367,52405
26367,52406
26367,52407
26367,52408
26367,52409
26367,52410
26367,52411
26367,52412
26367,52413
26367,52414
26367,52415
26367,52416
26367,52417
26367,52418
26367,52419
26367,52420
26367,52421
26367,52422
26367,52423
26367,52424
26367,52425
26367,52426
26367,52427
26367,52428
26367,52429
26367,52430
26367,52431
26367,52432
26367,52433
26367,52434
26367,52435
26367,52436
26367,52437
26367,52438
26367,52439
26367,52440
26367,52441
26367,52442
26367,52443
26367,52444
26367,52445
26367,52446
26367,52447
26368,52394
26368,52395
26368,52396
26368,52397
26368,52398
26368,52399
26368,52400
26368,52401
26368,52402
26368,52403
26368,52404
26368,52405
26368,52406
26368,52407
26368,52408
26368,52409
26368,52410
26368,52411
26368,52412
26368,52413
26368,52414
26368,52415
26368,52416
26368,52417
26368,52418
26368,52419
26368,52420
26368,52421
26368,52422
26368,52423
