y_tile,x_tile
25681,51987
25681,51988
25681,51989
25681,51990
25682,51986
25682,51987
25682,51988
25682,51989
25682,51990
25682,51991
25682,51992
25683,51984
25683,51985
25683,51986
25683,51987
25683,51988
25683,51989
25683,51990
25683,51991
25683,51992
25683,51993
25684,51982
25684,51983
25684,51984
25684,51985
25684,51986
25684,51987
25684,51988
25684,51989
25684,51990
25684,51991
25684,51992
25684,51993
25685,51980
25685,51981
25685,51982
25685,51983
25685,51984
25685,51985
25685,51986
25685,51987
25685,51988
25685,51989
25685,51990
25685,51991
25685,51992
25685,51993
25686,51979
25686,51980
25686,51981
25686,51982
25686,51983
25686,51984
25686,51985
25686,51986
25686,51987
25686,51988
25686,51989
25686,51990
25686,51991
25686,51992
25686,51993
25686,52043
25686,52044
25686,52045
25686,52046
25686,52047
25686,52048
25686,52049
25686,52050
25686,52051
25686,52052
25686,52053
25686,52054
25686,52055
25687,51977
25687,51978
25687,51979
25687,51980
25687,51981
25687,51982
25687,51983
25687,51984
25687,51985
25687,51986
25687,51987
25687,51988
25687,51989
25687,51990
25687,51991
25687,51992
25687,51993
25687,51994
25687,51995
25687,52043
25687,52044
25687,52045
25687,52046
25687,52047
25687,52048
25687,52049
25687,52050
25687,52051
25687,52052
25687,52053
25687,52054
25687,52055
25687,52056
25687,52057
25688,51976
25688,51977
25688,51978
25688,51979
25688,51980
25688,51981
25688,51982
25688,51983
25688,51984
25688,51985
25688,51986
25688,51987
25688,51988
25688,51989
25688,51990
25688,51991
25688,51992
25688,51993
25688,51994
25688,51995
25688,52043
25688,52044
25688,52045
25688,52046
25688,52047
25688,52048
25688,52049
25688,52050
25688,52051
25688,52052
25688,52053
25688,52054
25688,52055
25688,52056
25688,52057
25688,52058
25689,51975
25689,51976
25689,51977
25689,51978
25689,51979
25689,51980
25689,51981
25689,51982
25689,51983
25689,51984
25689,51985
25689,51986
25689,51987
25689,51988
25689,51989
25689,51990
25689,51991
25689,51992
25689,51993
25689,51994
25689,51995
25689,51996
25689,52043
25689,52044
25689,52045
25689,52046
25689,52047
25689,52048
25689,52049
25689,52050
25689,52051
25689,52052
25689,52053
25689,52054
25689,52055
25689,52056
25689,52057
25689,52058
25689,52059
25690,51974
25690,51975
25690,51976
25690,51977
25690,51978
25690,51979
25690,51980
25690,51981
25690,51982
25690,51983
25690,51984
25690,51985
25690,51986
25690,51987
25690,51988
25690,51989
25690,51990
25690,51991
25690,51992
25690,51993
25690,51994
25690,51995
25690,51996
25690,52043
25690,52044
25690,52045
25690,52046
25690,52047
25690,52048
25690,52049
25690,52050
25690,52051
25690,52052
25690,52053
25690,52054
25690,52055
25690,52056
25690,52057
25690,52058
25690,52059
25690,52060
25690,52061
25691,51971
25691,51973
25691,51974
25691,51975
25691,51976
25691,51977
25691,51978
25691,51979
25691,51980
25691,51981
25691,51982
25691,51983
25691,51984
25691,51985
25691,51986
25691,51987
25691,51988
25691,51989
25691,51990
25691,51991
25691,51992
25691,51993
25691,51994
25691,51995
25691,51996
25691,51997
25691,52043
25691,52044
25691,52045
25691,52046
25691,52047
25691,52048
25691,52049
25691,52050
25691,52051
25691,52052
25691,52053
25691,52054
25691,52055
25691,52056
25691,52057
25691,52058
25691,52059
25691,52060
25691,52061
25691,52062
25691,52063
25691,52064
25691,52065
25692,51971
25692,51972
25692,51973
25692,51974
25692,51975
25692,51976
25692,51977
25692,51978
25692,51979
25692,51980
25692,51981
25692,51982
25692,51983
25692,51984
25692,51985
25692,51986
25692,51987
25692,51988
25692,51989
25692,51990
25692,51991
25692,51992
25692,51993
25692,51994
25692,51995
25692,51996
25692,51997
25692,51998
25692,52042
25692,52043
25692,52044
25692,52045
25692,52046
25692,52047
25692,52048
25692,52049
25692,52050
25692,52051
25692,52052
25692,52053
25692,52054
25692,52055
25692,52056
25692,52057
25692,52058
25692,52059
25692,52060
25692,52061
25692,52062
25692,52063
25692,52064
25692,52065
25693,51971
25693,51972
25693,51973
25693,51974
25693,51975
25693,51976
25693,51977
25693,51978
25693,51979
25693,51980
25693,51981
25693,51982
25693,51983
25693,51984
25693,51985
25693,51986
25693,51987
25693,51988
25693,51989
25693,51990
25693,51991
25693,51992
25693,51993
25693,51994
25693,51995
25693,51996
25693,51997
25693,51998
25693,51999
25693,52041
25693,52042
25693,52043
25693,52044
25693,52045
25693,52046
25693,52047
25693,52048
25693,52049
25693,52050
25693,52051
25693,52052
25693,52053
25693,52054
25693,52055
25693,52056
25693,52057
25693,52058
25693,52059
25693,52060
25693,52061
25693,52062
25693,52063
25693,52064
25693,52065
25693,52066
25694,51971
25694,51972
25694,51973
25694,51974
25694,51975
25694,51976
25694,51977
25694,51978
25694,51979
25694,51980
25694,51981
25694,51982
25694,51983
25694,51984
25694,51985
25694,51986
25694,51987
25694,51988
25694,51989
25694,51990
25694,51991
25694,51992
25694,51993
25694,51994
25694,51995
25694,51996
25694,51997
25694,51998
25694,51999
25694,52000
25694,52019
25694,52020
25694,52021
25694,52041
25694,52042
25694,52043
25694,52044
25694,52045
25694,52046
25694,52047
25694,52048
25694,52049
25694,52050
25694,52051
25694,52052
25694,52053
25694,52054
25694,52055
25694,52056
25694,52057
25694,52058
25694,52059
25694,52060
25694,52061
25694,52062
25694,52063
25694,52064
25694,52065
25694,52066
25695,51972
25695,51973
25695,51974
25695,51975
25695,51976
25695,51977
25695,51978
25695,51979
25695,51980
25695,51981
25695,51982
25695,51983
25695,51984
25695,51985
25695,51986
25695,51987
25695,51988
25695,51989
25695,51990
25695,51991
25695,51992
25695,51993
25695,51994
25695,51995
25695,51996
25695,51997
25695,51998
25695,51999
25695,52000
25695,52001
25695,52013
25695,52014
25695,52015
25695,52016
25695,52017
25695,52018
25695,52019
25695,52020
25695,52021
25695,52022
25695,52040
25695,52041
25695,52042
25695,52043
25695,52044
25695,52045
25695,52046
25695,52047
25695,52048
25695,52049
25695,52050
25695,52051
25695,52052
25695,52053
25695,52054
25695,52055
25695,52056
25695,52057
25695,52058
25695,52059
25695,52060
25695,52061
25695,52062
25695,52063
25695,52064
25695,52065
25695,52066
25696,51972
25696,51973
25696,51974
25696,51975
25696,51976
25696,51977
25696,51978
25696,51979
25696,51980
25696,51981
25696,51982
25696,51983
25696,51984
25696,51985
25696,51986
25696,51987
25696,51988
25696,51989
25696,51990
25696,51991
25696,51992
25696,51993
25696,51994
25696,51995
25696,51996
25696,51997
25696,51998
25696,51999
25696,52000
25696,52001
25696,52002
25696,52011
25696,52012
25696,52013
25696,52014
25696,52015
25696,52016
25696,52017
25696,52018
25696,52019
25696,52020
25696,52021
25696,52022
25696,52023
25696,52039
25696,52040
25696,52041
25696,52042
25696,52043
25696,52044
25696,52045
25696,52046
25696,52047
25696,52048
25696,52049
25696,52050
25696,52051
25696,52052
25696,52053
25696,52054
25696,52055
25696,52056
25696,52057
25696,52058
25696,52059
25696,52060
25696,52061
25696,52062
25696,52063
25696,52064
25696,52065
25696,52066
25697,51972
25697,51973
25697,51974
25697,51975
25697,51976
25697,51977
25697,51978
25697,51979
25697,51980
25697,51981
25697,51982
25697,51983
25697,51984
25697,51985
25697,51986
25697,51987
25697,51988
25697,51989
25697,51990
25697,51991
25697,51992
25697,51993
25697,51994
25697,51995
25697,51996
25697,51997
25697,51998
25697,51999
25697,52000
25697,52001
25697,52002
25697,52003
25697,52010
25697,52011
25697,52012
25697,52013
25697,52014
25697,52015
25697,52016
25697,52017
25697,52018
25697,52019
25697,52020
25697,52021
25697,52022
25697,52023
25697,52039
25697,52040
25697,52041
25697,52042
25697,52043
25697,52044
25697,52045
25697,52046
25697,52047
25697,52048
25697,52049
25697,52050
25697,52051
25697,52052
25697,52053
25697,52054
25697,52055
25697,52056
25697,52057
25697,52058
25697,52059
25697,52060
25697,52061
25697,52062
25697,52063
25697,52064
25697,52065
25697,52066
25697,52067
25698,51973
25698,51974
25698,51975
25698,51976
25698,51977
25698,51978
25698,51979
25698,51980
25698,51981
25698,51982
25698,51983
25698,51984
25698,51985
25698,51986
25698,51987
25698,51988
25698,51989
25698,51990
25698,51991
25698,51992
25698,51993
25698,51994
25698,51995
25698,51996
25698,51997
25698,51998
25698,51999
25698,52000
25698,52001
25698,52002
25698,52003
25698,52004
25698,52010
25698,52011
25698,52012
25698,52013
25698,52014
25698,52015
25698,52016
25698,52017
25698,52018
25698,52019
25698,52020
25698,52021
25698,52022
25698,52023
25698,52024
25698,52039
25698,52040
25698,52041
25698,52042
25698,52043
25698,52044
25698,52045
25698,52046
25698,52047
25698,52048
25698,52049
25698,52050
25698,52051
25698,52052
25698,52053
25698,52054
25698,52055
25698,52056
25698,52057
25698,52058
25698,52059
25698,52060
25698,52061
25698,52062
25698,52063
25698,52064
25698,52065
25698,52066
25698,52067
25699,51973
25699,51974
25699,51975
25699,51976
25699,51977
25699,51978
25699,51979
25699,51980
25699,51981
25699,51982
25699,51983
25699,51984
25699,51985
25699,51986
25699,51987
25699,51988
25699,51989
25699,51990
25699,51991
25699,51992
25699,51993
25699,51994
25699,51995
25699,51996
25699,51997
25699,51998
25699,51999
25699,52000
25699,52001
25699,52002
25699,52003
25699,52004
25699,52005
25699,52009
25699,52010
25699,52011
25699,52012
25699,52013
25699,52014
25699,52015
25699,52016
25699,52017
25699,52018
25699,52019
25699,52020
25699,52021
25699,52022
25699,52023
25699,52024
25699,52039
25699,52040
25699,52041
25699,52042
25699,52043
25699,52044
25699,52045
25699,52046
25699,52047
25699,52048
25699,52049
25699,52050
25699,52051
25699,52052
25699,52053
25699,52054
25699,52055
25699,52056
25699,52057
25699,52058
25699,52059
25699,52060
25699,52061
25699,52062
25699,52063
25699,52064
25699,52065
25699,52066
25699,52067
25700,51974
25700,51975
25700,51976
25700,51977
25700,51978
25700,51979
25700,51980
25700,51981
25700,51982
25700,51983
25700,51984
25700,51985
25700,51986
25700,51987
25700,51988
25700,51989
25700,51990
25700,51991
25700,51992
25700,51993
25700,51994
25700,51995
25700,51996
25700,51997
25700,51998
25700,51999
25700,52000
25700,52001
25700,52002
25700,52003
25700,52004
25700,52005
25700,52006
25700,52007
25700,52008
25700,52009
25700,52010
25700,52011
25700,52012
25700,52013
25700,52014
25700,52015
25700,52016
25700,52017
25700,52018
25700,52019
25700,52020
25700,52021
25700,52022
25700,52023
25700,52024
25700,52038
25700,52039
25700,52040
25700,52041
25700,52042
25700,52043
25700,52044
25700,52045
25700,52046
25700,52047
25700,52048
25700,52049
25700,52050
25700,52051
25700,52052
25700,52053
25700,52054
25700,52055
25700,52056
25700,52057
25700,52058
25700,52059
25700,52060
25700,52061
25700,52062
25700,52063
25700,52064
25700,52065
25700,52066
25700,52067
25700,52068
25701,51975
25701,51976
25701,51977
25701,51978
25701,51979
25701,51980
