y_tile,x_tile
27271,51456
27271,51457
27271,51458
27272,51419
27272,51420
27272,51437
27272,51438
27272,51454
27272,51455
27272,51456
27272,51457
27272,51458
27273,51419
27273,51420
27273,51421
27273,51422
27273,51433
27273,51434
27273,51435
27273,51436
27273,51437
27273,51438
27273,51439
27273,51440
27273,51452
27273,51453
27273,51454
27273,51455
27273,51456
27273,51457
27274,51417
27274,51418
27274,51419
27274,51420
27274,51421
27274,51422
27274,51423
27274,51424
27274,51431
27274,51432
27274,51433
27274,51434
27274,51435
27274,51436
27274,51437
27274,51438
27274,51439
27274,51440
27274,51441
27274,51451
27274,51452
27274,51453
27274,51454
27274,51455
27274,51456
27274,51457
27275,51416
27275,51417
27275,51418
27275,51419
27275,51420
27275,51421
27275,51422
27275,51423
27275,51424
27275,51425
27275,51426
27275,51427
27275,51428
27275,51429
27275,51430
27275,51431
27275,51432
27275,51433
27275,51434
27275,51435
27275,51436
27275,51437
27275,51438
27275,51439
27275,51440
27275,51441
27275,51442
27275,51451
27275,51452
27275,51453
27275,51454
27275,51455
27275,51456
27275,51457
27276,51416
27276,51417
27276,51418
27276,51419
27276,51420
27276,51421
27276,51422
27276,51423
27276,51424
27276,51425
27276,51426
27276,51427
27276,51428
27276,51429
27276,51430
27276,51431
27276,51432
27276,51433
27276,51434
27276,51435
27276,51436
27276,51437
27276,51438
27276,51439
27276,51440
27276,51441
27276,51442
27276,51443
27276,51444
27276,51450
27276,51451
27276,51452
27276,51453
27276,51454
27276,51455
27276,51456
27276,51457
27277,51416
27277,51417
27277,51418
27277,51419
27277,51420
27277,51421
27277,51422
27277,51423
27277,51424
27277,51425
27277,51426
27277,51427
27277,51428
27277,51429
27277,51430
27277,51431
27277,51432
27277,51433
27277,51434
27277,51435
27277,51436
27277,51437
27277,51438
27277,51439
27277,51440
27277,51441
27277,51442
27277,51443
27277,51444
27277,51445
27277,51447
27277,51448
27277,51449
27277,51450
27277,51451
27277,51452
27277,51453
27277,51454
27277,51455
27277,51456
27277,51457
27278,51415
27278,51416
27278,51417
27278,51418
27278,51419
27278,51420
27278,51421
27278,51422
27278,51423
27278,51424
27278,51425
27278,51426
27278,51427
27278,51428
27278,51429
27278,51430
27278,51431
27278,51432
27278,51433
27278,51434
