y_tile,x_tile
27463,51543
27463,51544
27463,51545
27463,51546
27463,51547
27464,51538
27464,51539
27464,51540
27464,51541
27464,51542
27464,51543
27464,51544
27464,51545
27464,51546
27464,51547
27464,51548
27464,51549
27464,51550
27464,51551
27465,51535
27465,51536
27465,51537
27465,51538
27465,51539
27465,51540
27465,51541
27465,51542
27465,51543
27465,51544
27465,51545
27465,51546
27465,51547
27465,51548
27465,51549
27465,51550
27465,51551
27465,51552
27466,51533
27466,51534
27466,51535
27466,51536
27466,51537
27466,51538
27466,51539
27466,51540
27466,51541
27466,51542
27466,51543
27466,51544
27466,51545
27466,51546
27466,51547
27466,51548
27466,51549
27466,51550
27466,51551
27466,51552
27466,51553
27467,51532
27467,51533
27467,51534
27467,51535
27467,51536
27467,51537
27467,51538
27467,51539
27467,51540
27467,51541
27467,51542
27467,51543
27467,51544
27467,51545
27467,51546
27467,51547
27467,51548
27467,51549
27467,51550
27467,51551
27467,51552
27467,51553
27468,51531
27468,51532
27468,51533
27468,51534
27468,51535
27468,51536
27468,51537
27468,51538
27468,51539
27468,51540
27468,51541
27468,51542
27468,51543
27468,51544
27468,51545
27468,51546
27468,51547
27468,51548
27468,51549
27468,51550
27468,51551
27468,51552
27468,51553
27468,51554
27469,51532
27469,51533
27469,51534
27469,51535
27469,51536
27469,51537
27469,51538
27469,51539
27469,51540
27469,51541
27469,51542
27469,51543
27469,51544
27469,51545
27469,51546
27469,51547
27469,51548
27469,51549
27469,51550
27469,51551
27469,51552
27469,51553
27469,51554
27469,51555
27470,51532
27470,51533
27470,51534
27470,51535
27470,51536
27470,51537
27470,51538
27470,51539
27470,51540
27470,51541
27470,51542
27470,51543
27470,51544
27470,51545
27470,51546
27470,51547
27470,51548
27470,51549
27470,51550
27470,51551
27470,51552
27470,51553
27470,51554
27470,51555
27470,51556
27471,51531
27471,51532
27471,51533
27471,51534
27471,51535
27471,51536
27471,51537
27471,51538
27471,51539
27471,51540
27471,51541
27471,51542
27471,51543
27471,51544
27471,51545
27471,51546
27471,51547
27471,51548
27471,51549
27471,51550
27471,51551
27471,51552
27471,51553
27471,51554
27471,51555
27471,51556
27471,51557
27471,51558
27471,51559
27471,51560
27471,51561
27471,51562
27472,51531
27472,51532
27472,51533
27472,51534
27472,51535
27472,51536
27472,51537
27472,51538
27472,51539
27472,51540
27472,51541
27472,51542
27472,51543
27472,51544
27472,51545
27472,51546
27472,51547
27472,51548
27472,51549
27472,51550
27472,51551
27472,51552
27472,51553
27472,51554
27472,51555
27472,51556
27472,51557
27472,51558
27472,51559
27472,51560
27472,51561
27472,51562
27473,51531
27473,51532
27473,51533
27473,51534
27473,51535
27473,51536
27473,51537
27473,51538
27473,51539
27473,51540
27473,51541
27473,51542
27473,51543
27473,51544
27473,51545
27473,51546
27473,51547
27473,51548
27473,51549
27473,51550
27473,51551
27473,51552
27473,51553
27473,51554
27473,51555
27473,51556
27473,51557
27473,51558
27473,51559
27473,51560
27473,51561
27473,51562
27474,51531
27474,51532
27474,51533
27474,51534
27474,51535
27474,51536
27474,51537
27474,51538
27474,51539
27474,51540
27474,51541
27474,51542
27474,51543
27474,51544
27474,51545
27474,51546
27474,51547
27474,51548
27474,51549
27474,51550
27474,51551
27474,51552
27474,51553
27474,51554
27474,51555
27474,51556
27474,51557
27474,51558
27474,51559
27474,51560
27474,51561
27474,51562
27475,51532
27475,51533
27475,51534
27475,51535
27475,51536
27475,51537
27475,51538
27475,51539
27475,51540
