y_tile,x_tile
27318,53381
27318,53382
27318,53383
27319,53381
27319,53382
27319,53383
27320,53381
27320,53382
27320,53383
27321,53380
27321,53381
27321,53382
27321,53383
27321,53384
27321,53407
27321,53408
27321,53409
27321,53410
27322,53378
27322,53379
27322,53380
27322,53381
27322,53382
27322,53383
27322,53384
27322,53389
27322,53390
27322,53391
27322,53405
27322,53406
27322,53407
27322,53408
27322,53409
27322,53410
27322,53411
27323,53377
27323,53378
27323,53379
27323,53380
27323,53381
27323,53382
27323,53383
27323,53384
27323,53389
27323,53390
27323,53391
27323,53392
27323,53393
27323,53394
27323,53395
27323,53404
27323,53405
27323,53406
27323,53407
27323,53408
27323,53409
27323,53410
27323,53411
27323,53412
27323,53413
27323,53414
27323,53415
27323,53416
27324,53377
27324,53378
27324,53379
27324,53380
27324,53381
27324,53382
27324,53383
27324,53384
27324,53385
27324,53386
27324,53387
27324,53388
27324,53389
27324,53390
27324,53391
27324,53392
27324,53393
27324,53394
27324,53395
27324,53396
27324,53404
27324,53405
27324,53406
27324,53407
27324,53408
27324,53409
27324,53410
27324,53411
27324,53412
27324,53413
27324,53414
27324,53415
27324,53416
27325,53378
27325,53379
27325,53380
27325,53381
27325,53382
27325,53383
27325,53384
27325,53385
27325,53386
27325,53387
27325,53388
27325,53389
27325,53390
27325,53391
27325,53392
27325,53393
27325,53394
27325,53395
27325,53396
27325,53404
27325,53405
27325,53406
27325,53407
27325,53408
27325,53409
27325,53410
27325,53411
27325,53412
27325,53413
27325,53414
27325,53415
27325,53416
27326,53377
27326,53378
27326,53379
27326,53380
27326,53381
27326,53382
27326,53383
27326,53384
27326,53385
27326,53386
27326,53387
27326,53388
27326,53389
27326,53390
27326,53391
27326,53392
27326,53393
27326,53394
27326,53395
27326,53396
27326,53399
27326,53400
27326,53401
27326,53403
27326,53404
27326,53405
27326,53406
27326,53407
27326,53408
27326,53409
27326,53410
27326,53411
27326,53412
27326,53413
27326,53414
27326,53415
27326,53416
27327,53376
27327,53377
27327,53378
27327,53379
27327,53380
27327,53381
27327,53382
27327,53383
27327,53384
27327,53385
