y_tile,x_tile
27740,54441
27740,54442
27741,54436
27741,54440
27741,54441
27741,54442
27741,54443
27742,54435
27742,54436
27742,54437
27742,54438
27742,54439
27742,54440
27742,54441
27742,54442
27742,54443
27742,54444
27743,54434
27743,54435
27743,54436
27743,54437
27743,54438
27743,54439
27743,54440
27743,54441
27743,54442
27743,54443
27743,54444
27743,54445
27744,54434
27744,54435
27744,54436
27744,54437
27744,54438
27744,54439
27744,54440
27744,54441
27744,54442
27744,54443
27744,54444
27744,54445
27745,54433
27745,54434
27745,54435
27745,54436
27745,54437
27745,54438
27745,54439
27745,54440
27745,54441
27745,54442
27745,54443
27745,54444
27746,54433
27746,54434
27746,54435
27746,54436
27746,54437
27746,54438
27746,54439
27746,54440
27746,54441
27746,54442
27746,54443
27746,54448
27746,54449
27747,54433
27747,54434
27747,54435
27747,54436
27747,54437
27747,54438
27747,54439
27747,54440
27747,54441
27747,54442
27747,54443
27747,54446
27747,54448
27747,54449
27748,54432
27748,54433
27748,54434
27748,54435
27748,54436
27748,54437
27748,54438
27748,54439
27748,54440
27748,54441
27748,54442
27748,54443
27748,54444
27748,54445
27748,54446
27748,54447
27748,54448
27748,54449
27748,54450
27749,54432
27749,54433
27749,54434
27749,54435
27749,54436
27749,54437
27749,54438
27749,54439
27749,54440
27749,54441
27749,54442
27749,54443
27749,54444
27749,54445
27749,54446
27749,54447
27749,54448
27749,54449
27749,54450
27750,54430
27750,54431
27750,54432
27750,54433
27750,54434
27750,54435
27750,54436
27750,54437
27750,54438
27750,54439
27750,54440
27750,54441
27750,54442
27750,54443
27750,54444
27750,54445
27750,54446
27750,54447
27750,54448
27750,54449
27750,54450
27750,54451
27751,54430
27751,54431
27751,54432
27751,54433
27751,54434
27751,54435
27751,54436
27751,54437
27751,54438
27751,54439
27751,54440
27751,54441
27751,54442
27751,54443
27751,54444
27751,54445
27751,54446
27751,54447
27751,54448
27751,54449
27751,54450
27751,54451
27752,54430
27752,54431
27752,54432
27752,54433
27752,54434
27752,54435
27752,54436
27752,54437
27752,54438
27752,54439
27752,54440
27752,54441
27752,54442
27752,54443
27752,54444
27752,54445
27752,54446
27752,54447
27752,54448
27752,54449
27752,54450
27752,54451
27753,54431
27753,54432
27753,54433
27753,54434
27753,54435
27753,54436
27753,54437
27753,54438
27753,54439
27753,54440
27753,54441
27753,54442
27753,54443
27753,54444
27753,54445
27753,54446
27753,54447
27753,54448
27753,54449
27753,54450
27753,54451
27753,54452
27753,54453
27753,54454
27753,54455
27753,54456
27754,54433
27754,54434
27754,54435
27754,54436
27754,54437
27754,54438
27754,54439
27754,54440
27754,54441
27754,54442
27754,54443
27754,54444
27754,54445
27754,54446
27754,54447
27754,54448
27754,54449
27754,54450
27754,54451
27754,54452
27754,54453
27754,54454
27754,54455
27754,54456
27755,54434
27755,54435
27755,54436
27755,54437
27755,54438
27755,54439
27755,54440
27755,54441
27755,54442
27755,54443
27755,54444
27755,54445
27755,54446
27755,54447
27755,54448
27755,54449
27755,54450
27755,54451
27755,54452
27755,54453
27755,54454
27755,54455
27756,54431
27756,54432
27756,54433
27756,54434
27756,54435
27756,54436
27756,54437
27756,54438
27756,54439
27756,54440
27756,54441
27756,54442
27756,54443
27756,54444
27756,54445
27756,54446
27756,54447
27756,54448
27756,54449
27756,54450
27756,54451
27756,54452
27756,54453
27756,54454
27756,54455
27757,54429
27757,54430
27757,54431
27757,54432
27757,54433
27757,54434
27757,54435
27757,54436
27757,54437
27757,54438
27757,54439
27757,54440
27757,54441
27757,54442
27757,54443
27757,54444
27757,54445
27757,54446
27757,54447
27757,54448
27757,54449
27757,54450
27757,54451
27757,54452
27757,54453
27757,54454
27757,54455
27758,54429
27758,54430
27758,54431
27758,54432
27758,54433
27758,54434
27758,54435
27758,54436
27758,54437
27758,54438
27758,54439
27758,54440
27758,54441
27758,54442
27758,54443
27758,54444
27758,54445
27758,54446
27758,54447
27758,54448
27758,54449
27758,54450
27758,54451
27758,54452
27758,54453
27758,54454
27759,54429
27759,54430
27759,54431
27759,54432
27759,54433
27759,54434
27759,54435
27759,54436
27759,54437
27759,54438
27759,54439
27759,54440
27759,54441
27759,54442
27759,54443
27759,54444
27759,54445
27759,54446
27759,54447
27759,54448
27759,54449
27759,54450
27759,54451
27759,54452
27759,54453
27759,54454
27760,54430
27760,54431
27760,54432
27760,54433
27760,54434
27760,54435
27760,54436
27760,54437
27760,54438
27760,54439
27760,54440
27760,54441
27760,54442
27760,54443
27760,54444
27760,54445
27760,54446
27760,54447
27760,54448
27760,54449
27760,54450
27760,54451
27760,54452
27760,54453
27760,54454
27761,54432
27761,54433
27761,54434
27761,54435
27761,54436
27761,54437
27761,54438
27761,54439
27761,54440
27761,54441
27761,54442
27761,54443
27761,54444
27761,54445
27761,54446
27761,54447
27761,54448
27761,54449
27761,54450
27761,54451
27761,54452
27761,54453
27761,54454
27762,54434
27762,54435
27762,54436
27762,54437
27762,54438
27762,54439
27762,54440
27762,54441
27762,54442
27762,54443
27762,54444
27762,54445
27762,54446
27762,54447
27762,54448
27762,54449
27762,54450
27762,54451
27762,54452
27762,54453
27762,54454
27763,54434
27763,54435
27763,54436
27763,54437
27763,54438
27763,54439
27763,54440
27763,54441
27763,54442
27763,54443
27763,54444
27763,54445
27763,54446
27763,54447
27763,54448
27763,54449
27763,54450
27763,54451
27763,54452
27763,54453
27763,54454
27763,54455
27764,54434
27764,54435
27764,54436
27764,54437
27764,54438
27764,54439
27764,54440
27764,54441
27764,54442
27764,54443
27764,54444
27764,54445
27764,54446
27764,54447
27764,54448
27764,54449
27764,54450
27764,54451
27764,54452
27764,54453
27764,54454
27764,54455
27764,54456
27765,54433
27765,54434
27765,54435
27765,54436
27765,54437
27765,54438
27765,54439
27765,54440
27765,54441
27765,54442
27765,54443
27765,54444
27765,54445
27765,54446
27765,54447
27765,54448
27765,54449
27765,54450
27765,54451
27765,54452
27765,54453
27765,54454
27765,54455
27765,54456
27765,54457
27765,54458
27765,54459
27765,54460
27766,54433
27766,54434
27766,54435
27766,54436
27766,54437
27766,54438
27766,54439
27766,54440
27766,54441
27766,54442
27766,54443
27766,54444
27766,54445
27766,54446
27766,54447
27766,54448
27766,54449
27766,54450
27766,54451
27766,54452
27766,54453
27766,54454
27766,54455
27766,54456
27766,54457
27766,54458
27766,54459
27766,54460
27766,54461
27767,54432
27767,54433
27767,54434
27767,54435
27767,54436
27767,54437
27767,54438
27767,54439
27767,54440
27767,54441
27767,54442
27767,54443
27767,54444
27767,54445
27767,54446
27767,54447
27767,54448
27767,54449
27767,54450
27767,54451
27767,54452
27767,54453
27767,54454
27767,54455
27767,54456
27767,54457
27767,54458
27767,54459
27767,54460
27767,54461
27767,54462
27768,54432
27768,54433
27768,54434
27768,54435
27768,54436
27768,54437
27768,54438
27768,54439
27768,54440
27768,54441
27768,54442
27768,54443
27768,54444
27768,54445
27768,54446
27768,54447
27768,54448
27768,54449
27768,54450
27768,54451
27768,54452
27768,54453
27768,54454
27768,54455
27768,54456
27768,54457
27768,54458
27768,54459
27768,54460
27768,54461
27768,54462
27768,54463
27769,54432
27769,54433
27769,54434
27769,54435
27769,54436
27769,54437
27769,54438
27769,54439
27769,54440
27769,54441
27769,54442
27769,54443
27769,54444
27769,54445
27769,54446
27769,54447
27769,54448
27769,54449
27769,54450
27769,54451
27769,54452
27769,54453
27769,54454
27769,54455
27769,54456
27769,54457
27769,54458
27769,54459
27769,54460
27769,54461
27769,54462
27769,54463
27770,54432
27770,54433
27770,54434
27770,54435
27770,54436
27770,54437
27770,54438
27770,54439
27770,54440
27770,54441
27770,54442
27770,54443
27770,54444
27770,54445
27770,54446
27770,54447
27770,54448
27770,54449
27770,54450
27770,54451
27770,54452
27770,54453
27770,54454
27770,54455
27770,54456
27770,54457
27770,54458
27770,54459
27770,54460
27770,54461
27770,54462
27770,54463
27771,54432
27771,54433
27771,54434
27771,54435
27771,54436
27771,54437
27771,54438
27771,54439
27771,54440
27771,54441
27771,54442
27771,54443
27771,54444
27771,54445
27771,54446
27771,54447
27771,54448
27771,54449
27771,54450
27771,54451
27771,54452
27771,54453
27771,54454
27771,54455
27771,54456
27771,54457
27771,54458
27771,54459
27771,54460
27771,54461
27771,54462
27772,54431
27772,54432
27772,54433
27772,54434
27772,54435
27772,54436
