y_tile,x_tile
24119,55922
24119,55923
24120,55921
24120,55922
24120,55923
24121,55921
24121,55922
24121,55923
24121,55924
24122,55920
24122,55921
24122,55922
24122,55923
24122,55924
24123,55920
24123,55921
24123,55922
24123,55923
24124,55920
24124,55921
24124,55922
24124,55923
24125,55919
24125,55920
24125,55921
24125,55922
24126,55918
24126,55919
24126,55920
24126,55921
24126,55922
24127,55878
24127,55899
24127,55900
24127,55901
24127,55917
24127,55918
24127,55919
24127,55920
24127,55921
24127,55922
24128,55870
24128,55871
24128,55878
24128,55879
24128,55880
24128,55881
24128,55882
24128,55899
24128,55900
24128,55901
24128,55902
24128,55911
24128,55916
24128,55917
24128,55918
24128,55919
24128,55920
24128,55921
24128,55922
24129,55869
24129,55870
24129,55871
24129,55872
24129,55873
24129,55874
24129,55875
24129,55876
24129,55877
24129,55878
24129,55879
24129,55880
24129,55881
24129,55882
24129,55883
24129,55884
24129,55885
24129,55893
24129,55894
24129,55895
24129,55896
24129,55897
24129,55898
24129,55899
24129,55900
24129,55901
24129,55902
24129,55903
24129,55907
24129,55908
24129,55909
24129,55910
24129,55911
24129,55912
24129,55914
24129,55915
24129,55916
24129,55917
24129,55918
24129,55919
24129,55920
24129,55921
24129,55922
24130,55868
24130,55869
24130,55870
24130,55871
24130,55872
24130,55873
24130,55874
24130,55875
24130,55876
24130,55877
24130,55878
24130,55879
24130,55880
24130,55881
24130,55882
24130,55883
24130,55884
24130,55885
24130,55886
24130,55893
24130,55894
24130,55895
24130,55896
24130,55897
24130,55898
24130,55899
24130,55900
24130,55901
24130,55902
24130,55903
24130,55904
24130,55905
24130,55906
24130,55907
24130,55908
24130,55909
24130,55910
24130,55911
24130,55912
24130,55913
24130,55914
24130,55915
24130,55916
24130,55917
24130,55918
24130,55919
24130,55920
24130,55921
24130,55922
24130,55923
24131,55868
24131,55869
24131,55870
24131,55871
24131,55872
24131,55873
24131,55874
24131,55875
24131,55876
24131,55877
24131,55878
24131,55879
24131,55880
24131,55881
24131,55882
24131,55883
24131,55884
24131,55885
24131,55886
24131,55887
24131,55891
24131,55892
24131,55893
24131,55894
24131,55895
24131,55896
24131,55897
24131,55898
24131,55899
24131,55900
24131,55901
24131,55902
24131,55903
24131,55904
24131,55905
24131,55906
24131,55907
24131,55908
24131,55909
24131,55910
24131,55911
24131,55912
24131,55913
24131,55914
24131,55915
24131,55916
24131,55917
24131,55918
24131,55919
24131,55920
24131,55921
24131,55922
24131,55923
24132,55868
24132,55869
24132,55870
24132,55871
24132,55872
24132,55873
24132,55874
24132,55875
24132,55876
24132,55877
24132,55878
24132,55879
24132,55880
24132,55881
24132,55882
24132,55883
24132,55884
24132,55885
24132,55886
24132,55887
24132,55888
24132,55891
24132,55892
24132,55893
24132,55894
24132,55895
24132,55896
24132,55897
24132,55898
24132,55899
24132,55900
24132,55901
24132,55902
24132,55903
24132,55904
24132,55905
24132,55906
24132,55907
24132,55908
24132,55909
24132,55910
24132,55911
24132,55912
24132,55913
24132,55914
24132,55915
24132,55916
24132,55917
24132,55918
24132,55919
24132,55920
24132,55921
24132,55922
24132,55923
24132,55924
24133,55869
24133,55870
24133,55871
24133,55872
24133,55873
24133,55874
24133,55875
24133,55876
24133,55877
24133,55878
24133,55879
24133,55880
24133,55881
24133,55882
24133,55883
24133,55884
24133,55885
24133,55886
24133,55887
24133,55888
24133,55889
24133,55890
24133,55891
24133,55892
24133,55893
24133,55894
24133,55895
24133,55896
24133,55897
24133,55898
24133,55899
24133,55900
24133,55901
24133,55902
24133,55903
24133,55904
24133,55905
24133,55906
24133,55907
24133,55908
24133,55909
24133,55910
24133,55911
24133,55912
24133,55913
24133,55914
24133,55915
24133,55916
24133,55917
24133,55918
24133,55919
24133,55920
24133,55921
24133,55922
24133,55923
24133,55924
24134,55860
24134,55861
24134,55862
24134,55863
24134,55864
24134,55867
24134,55868
24134,55869
