y_tile,x_tile
26374,54547
26374,54548
26374,54549
26375,54547
26375,54548
26375,54549
26376,54547
26376,54548
26376,54549
26376,54550
26376,54551
26377,54547
26377,54548
26377,54549
26377,54550
26377,54551
26377,54552
26378,54546
26378,54547
26378,54548
26378,54549
26378,54550
26378,54551
26378,54552
26378,54553
26379,54542
26379,54543
26379,54544
26379,54545
26379,54546
26379,54547
26379,54548
26379,54549
26379,54550
26379,54551
26379,54552
26379,54553
26379,54554
26380,54541
26380,54542
26380,54543
26380,54544
26380,54545
26380,54546
26380,54547
26380,54548
26380,54549
26380,54550
26380,54551
26380,54552
26380,54553
26380,54554
26380,54555
26381,54540
26381,54541
26381,54542
26381,54543
26381,54544
26381,54545
26381,54546
26381,54547
26381,54548
26381,54549
26381,54550
26381,54551
26381,54552
26381,54553
26381,54554
26381,54555
26382,54539
26382,54540
26382,54541
26382,54542
26382,54543
26382,54544
26382,54545
26382,54546
26382,54547
26382,54548
26382,54549
26382,54550
26382,54551
26382,54552
26382,54553
26382,54554
26382,54555
26382,54556
26383,54538
26383,54539
26383,54540
26383,54541
26383,54542
26383,54543
26383,54544
26383,54545
26383,54546
26383,54547
26383,54548
26383,54549
26383,54550
26383,54551
26383,54552
26383,54553
26383,54554
26383,54555
26383,54556
26384,54538
26384,54539
26384,54540
26384,54541
26384,54542
26384,54543
26384,54544
26384,54545
26384,54546
26384,54547
26384,54548
26384,54549
26384,54550
26384,54551
26384,54552
26384,54553
26384,54554
26384,54555
26384,54556
26385,54537
26385,54538
26385,54539
26385,54540
26385,54541
26385,54542
26385,54543
26385,54544
26385,54545
26385,54546
26385,54547
26385,54548
26385,54549
26385,54550
26385,54551
26385,54552
26385,54553
26385,54554
26385,54555
26385,54556
26386,54537
26386,54538
26386,54539
26386,54540
26386,54541
26386,54542
26386,54543
26386,54544
26386,54545
26386,54546
26386,54547
26386,54548
26386,54549
26386,54550
26386,54551
26386,54552
26386,54553
26386,54554
26386,54555
26386,54556
26387,54537
26387,54538
26387,54539
26387,54540
26387,54541
26387,54542
26387,54543
26387,54544
26387,54545
26387,54546
26387,54547
26387,54548
26387,54549
26387,54550
26387,54551
26387,54552
26387,54553
26387,54554
26387,54555
26387,54556
26388,54497
26388,54537
26388,54538
26388,54539
26388,54540
26388,54541
26388,54542
26388,54543
26388,54544
26388,54545
26388,54546
26388,54547
26388,54548
26388,54549
26388,54550
26388,54551
26388,54552
26388,54553
26388,54554
26388,54555
26388,54556
26388,54557
26389,54497
26389,54498
26389,54499
26389,54537
26389,54538
26389,54539
26389,54540
26389,54541
26389,54542
26389,54543
26389,54544
26389,54545
26389,54546
26389,54547
26389,54548
26389,54549
26389,54550
26389,54551
26389,54552
26389,54553
26389,54554
26389,54555
26389,54556
26389,54557
26390,54496
26390,54497
26390,54498
26390,54499
26390,54500
26390,54537
26390,54538
26390,54539
26390,54540
26390,54541
26390,54542
26390,54543
26390,54544
26390,54545
26390,54546
26390,54547
26390,54548
26390,54549
26390,54550
26390,54551
26390,54552
26390,54553
26390,54554
26390,54555
26390,54556
26390,54557
26391,54496
26391,54497
26391,54498
26391,54499
26391,54500
26391,54501
26391,54502
26391,54513
26391,54514
26391,54529
26391,54530
26391,54531
26391,54532
26391,54535
26391,54536
26391,54537
26391,54538
26391,54539
26391,54540
26391,54541
26391,54542
26391,54543
26391,54544
26391,54545
26391,54546
